dec,xt,yt,se,n
0,-0.21138132646250232,-0.12982867173079052,0.0455235640917297,124755
1,-0.08476030097271384,-0.0774014969595739,0.03847723457643291,124755
2,-0.05336383691271772,-0.025983564071367756,0.027147527618502327,124754
3,-0.030630292189374984,-0.01394266363725583,0.022300856727116524,124755
4,-0.010693862898685801,-0.013299550653433419,0.022890653636650975,124754
5,0.009346329602775975,-0.020198599096809294,0.020037482098226096,124755
6,0.03115648333716221,0.014770392476459787,0.02550983621266431,124754
7,0.057668969865391745,0.04701317150778294,0.029161351264660833,124755
8,0.09621917237996516,0.05026353906116572,0.038591206698037624,124754
9,0.19643917178912207,0.16860764951492246,0.052588862220346595,124755
