serial,lat,lon,adm_cd,lu
V02Q1940655,37.580050842,126.985146172,11110600,commercial
V02Q1940539,37.576920428,127.00451366,11110640,commercial
V02Q1940737,37.605426219,126.967434876,11110560,mixed
V02Q1940721,37.586058682,127.000838323,11110650,commercial
V02Q1940522,37.57707481,127.012366545,11110690,residential
V02Q1940499,37.574960033,126.970272261,11110530,commercial
V02Q1940695,37.571836554,126.962031834,11110580,commercial
V02Q1940716,37.575952972,126.958181622,11110570,residential
V02Q1940649,37.5713404,126.9705036,11110530,commercial
V02Q1940232,37.585032927,126.981875888,11110540,commercial
V02Q1940710,37.577843118,127.01562884,11110700,commercial
V02Q1940796,37.574848152,127.019982768,11110710,commercial
V02Q1940719,37.574464343,126.990243912,11110615,commercial
V02Q1940818,37.570741306,127.016374099,11110670,commercial
V02Q1940720,37.574432258,127.010888926,11110680,residential
V02Q1940837,37.58414084,126.970563131,11110515,commercial
V02Q1940859,37.592431514,126.964090572,11110550,commercial
V02Q1940857,37.588018361,126.984056948,11110540,commercial
V02Q1940881,37.580372067,127.003028403,11110640,commercial
V02Q1940843,37.578936514,126.98591264,11110600,commercial
V02Q1940822,37.575423844,126.957780596,11110570,residential
V02Q1940797,37.597396662,126.963352166,11110550,commercial
V02Q1940883,37.576561959,126.965536299,11110530,commercial
V02Q1940886,37.582398821,126.982104196,11110540,commercial
V02Q1940807,37.573115622,127.020059004,11110710,commercial
V02Q1940848,37.577698183,127.006748049,11110640,commercial
V02Q1940687,37.581173137,127.00573413,11110640,commercial
V02Q1940827,37.583250447,127.005814953,11110640,commercial
V02Q1940839,37.571218817,126.990608589,11110615,commercial
V02Q1940718,37.573899271,127.004658247,11110630,commercial
V02Q1940810,37.573677936,127.013204061,11110670,commercial
V02Q1940875,37.578529489,127.009067983,11110680,residential
V02Q1940844,37.579110321,127.01458637,11110690,residential
V02Q1940802,37.605283318,126.966737815,11110560,mixed
V02Q1940877,37.607870193,126.956372518,11110560,mixed
V02Q1940817,37.584479904,126.996923175,11110650,commercial
V02Q1940840,37.58188025,126.998152524,11110650,commercial
V02Q1940808,37.568745241,126.968764924,11110530,commercial
V02Q1940841,37.572037343,127.005041449,11110630,commercial
V02Q1940536,37.563560918,126.997219571,11140590,commercial
V02Q1940570,37.554358673,127.008042572,11140625,commercial
V02Q1940436,37.560575664,126.979644431,11140540,commercial
V02Q1940541,37.562768984,126.976764495,11140520,commercial
V02Q1940546,37.564448469,127.022110315,11140650,mixed
V02Q1940568,37.562850728,127.013260366,11140615,commercial
V02Q1940598,37.56225664,127.01426035,11140615,commercial
V02Q1940562,37.56554217,126.991035069,11140605,commercial
V02Q1940564,37.560859569,127.008563128,11140580,commercial
V02Q1940508,37.558188462,126.964270835,11140680,commercial
V02Q1940599,37.557384557,127.016557496,11140645,residential
V02Q1940553,37.560826891,126.996000954,11140570,commercial
V02Q1940540,37.565310977,126.9843718,11140550,commercial
V02Q1940500,37.561552657,127.018748694,11140665,mixed
V02Q1940527,37.568985838,127.021883159,11140670,mixed
V02Q1940053,37.56500075,126.978715858,11140520,commercial
V02Q1940529,37.559400896,127.02043854,11140665,mixed
V02Q1940596,37.559046312,126.98031176,11140540,commercial
V02Q1940573,37.568390808,127.005469263,11140590,commercial
V02Q1940566,37.567234241,126.995184955,11140605,commercial
V02Q1940498,37.560812132,126.995525523,11140570,commercial
V02Q1940604,37.567837219,126.98094143,11140550,commercial
V02Q1940597,37.556195026,126.981160888,11140540,commercial
V02Q1940554,37.557286013,127.009175344,11140625,commercial
V02Q1940544,37.56174971,127.001153,11140580,commercial
V02Q1940302,37.559509204,126.971893203,11140540,commercial
V02Q1940438,37.56240118,126.9705698,11140520,commercial
V02Q1940567,37.567955619,126.996509941,11140605,commercial
V02Q1940602,37.554623618,126.98055898,11140540,commercial
V02Q1940608,37.55662898,126.985664183,11140570,commercial
V02Q1940780,37.564698899,126.975981023,11140520,commercial
V02Q1940571,37.546504106,126.975236492,11170510,residential
V02Q1940523,37.52570799,126.999222183,11170700,residential
V02Q1940726,37.539012287,126.957917034,11170590,residential
V02Q1940651,37.546239741,126.984790146,11170520,commercial
V02Q1940574,37.537191941,126.9656751,11170560,commercial
V02Q1940595,37.534418731,126.9513911,11170570,residential
V02Q1940572,37.521117972,126.97179047,11170630,commercial
V02Q1940600,37.52444602,126.956842648,11170640,mixed
V02Q1940648,37.532294579,126.995986461,11170650,commercial
V02Q1940686,37.541371627,126.991128742,11170660,mixed
V02Q1940637,37.525447033,126.968845768,11170625,commercial
V02Q1940698,37.534626724,127.000735898,11170685,commercial
V02Q1940525,37.542265658,126.960760204,11170580,mixed
V02Q1940584,37.549955116,126.978020139,11170510,residential
V02Q1940577,37.523642878,126.993653966,11170690,commercial
V02Q1940524,37.554374634,126.968131192,11170555,commercial
V02Q1940731,37.517989157,126.985318268,11170690,commercial
V02Q1940559,37.532936634,126.991219946,11170650,commercial
V02Q1940668,37.5190397,126.980569679,11170630,commercial
V02Q1940630,37.525540411,126.965070815,11170625,commercial
V02Q1940664,37.520370616,126.977056762,11170630,commercial
V02Q1940578,37.526352633,127.002884625,11170700,residential
V02Q1940856,37.5349991,127.000273647,11170685,commercial
V02Q1940830,37.521338691,126.959447221,11170640,mixed
V02Q1940473,37.556839663,127.019950184,11200590,residential
V02Q1940636,37.552372662,127.022960186,11200615,residential
V02Q1940526,37.546924916,127.021529388,11200620,mixed
V02Q1940156,37.566674857,127.045521513,11200540,mixed
V02Q1940590,37.560723571,127.048425106,11200550,commercial
V02Q1940502,37.54081481,127.049563967,11200650,commercial
V02Q1940545,37.546306095,127.043661494,11200660,commercial
V02Q1940556,37.540241557,127.054675329,11200670,commercial
V02Q1940594,37.549231792,127.053877502,11200690,commercial
V02Q1940503,37.554020674,127.068888201,11200720,mixed
V02Q1940617,37.541972102,127.016370616,11200645,mixed
V02Q1940616,37.560443166,127.030835302,11200520,residential
V02Q1940563,37.564129832,127.031439736,11200535,mixed
V02Q1940603,37.563368336,127.055964397,11200790,commercial
V02Q1940639,37.54966889,127.03182637,11200580,residential
V02Q1940644,37.561197184,127.034602965,11200560,commercial
V02Q1940504,37.55905889,127.02896077,11200570,residential
V02Q1940607,37.55887111,127.038552736,11200560,commercial
V02Q1940628,37.568356828,127.040528854,11200540,mixed
V02Q1940615,37.557838543,127.024148057,11200590,residential
V02Q1940642,37.560215516,127.064339113,11200790,commercial
V02Q1940670,37.539279182,127.049873167,11200650,commercial
V02Q1940454,37.561013865,127.059082462,11200790,commercial
V02Q1940582,37.548917364,127.030950576,11200580,residential
V02Q1940828,37.561332045,127.039688831,11200550,commercial
V02Q1940261,37.549808841,127.049770229,11200660,commercial
V02Q1940735,37.568406512,127.033660707,11200540,mixed
V02Q1940112,37.556514509,127.071193511,11200720,mixed
V02Q1940491,37.56727451,127.05169485,11200790,commercial
V02Q1940623,37.563719858,127.039492971,11200540,mixed
V02Q1940587,37.546671331,127.062139709,11200690,commercial
V02Q1940739,37.54976209,127.019608782,11200615,residential
V02Q1940870,37.538102738,127.046880664,11200650,commercial
V02Q1940588,37.55810867,127.050859556,11200550,commercial
V02Q1940601,37.560264565,127.048014605,11200550,commercial
V02Q1940441,37.558352332,127.037694516,11200560,commercial
V02Q1940738,37.55144214,127.021554176,11200615,residential
V02Q1940460,37.548894235,127.042497472,11200660,commercial
V02Q1940367,37.554394775,127.020099839,11200615,residential
V02Q1940758,37.560119488,127.031606382,11200560,commercial
V02Q1940270,37.547286983,127.046740172,11200660,commercial
V02Q1940842,37.55214248,127.03558479,11200580,residential
V02Q1940258,37.562998002,127.028435382,11200520,residential
V02Q1940871,37.57114665,127.037105979,11200540,mixed
V02Q1940868,37.560512835,127.052853492,11200790,commercial
V02Q1940627,37.551819341,127.067379627,11200720,mixed
V02Q1940753,37.549364662,127.026655727,11200590,residential
V02Q1940866,37.558038604,127.029649353,11200570,residential
V02Q1940575,37.555822871,127.032318247,11200570,residential
V02Q1940263,37.560874377,127.062747282,11200790,commercial
V02Q1940733,37.54818971,127.056597845,11200690,commercial
