priority,no,verdict,year,journal,title,doi,proxy_link
P1-INCLUDE,520,INCLUDE,2019,ACTA ACUSTICA UNITED WITH ACUSTICA,An Exploratory Study on the Influence of Activities on Public Space Users' Descriptions of Their Auditory Environments on Site: The Case of Amsterdam,10.3813/aaa.919327,https://doi-org-ssl.access.yonsei.ac.kr/10.3813/aaa.919327
P1-INCLUDE,744,INCLUDE,2021,ADVANCES IN COMPLEX SYSTEMS,PEDESTRIAN DYNAMICS IN SINGLE-FILE MOVEMENT UNDER BACKGROUND MUSIC WITH DIFFERENT TEMPOS,10.1142/s0219525921500119,https://doi-org-ssl.access.yonsei.ac.kr/10.1142/s0219525921500119
P1-INCLUDE,123,INCLUDE,2010,APPLIED ACOUSTICS,Factors influencing the sound preference in urban open spaces,10.1016/j.apacoust.2010.02.005,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2010.02.005
P1-INCLUDE,1221,INCLUDE,2026,APPLIED ACOUSTICS,Effect of soundscapes and crowd density on economic behavior in commercial streets,10.1016/j.apacoust.2025.111101,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.apacoust.2025.111101
P1-INCLUDE,1149,INCLUDE,2025,ARTS & HEALTH,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos,10.1080/17533015.2025.2593865,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/17533015.2025.2593865
P1-INCLUDE,469,INCLUDE,2018,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,Exploring tourists' soundscape emotion and its impact on sustainable tourism development,10.1080/10941665.2018.1494614,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/10941665.2018.1494614
P1-INCLUDE,602,INCLUDE,2020,BUILDING AND ENVIRONMENT,"Comparing associations among sound sources, human behaviors, and soundscapes on central business and commercial streets in Seoul, Korea",10.1016/j.buildenv.2020.107327,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.buildenv.2020.107327
P1-INCLUDE,732,INCLUDE,2021,BUILDING AND ENVIRONMENT,Investigating contextual influences on urban soundscape evaluations with structural equation modeling,10.1016/j.buildenv.2020.107490,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.buildenv.2020.107490
P1-INCLUDE,1069,INCLUDE,2024,BUILDING AND ENVIRONMENT,The impact of the community's ' s sound environment on social interactions among residents,10.1016/j.buildenv.2024.112094,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.buildenv.2024.112094
P1-INCLUDE,1280,INCLUDE,2026,BUILDINGS,"Research on the Effect of Rural Composite Environments on the Spatiotemporal Behavior and Perception of the Elderly: A Case Study of Qingdao, China",10.3390/buildings16101973,https://doi-org-ssl.access.yonsei.ac.kr/10.3390/buildings16101973
P1-INCLUDE,853,INCLUDE,2022,Built Environment,Revisiting Public Space Transformations from a Sonic Perspective during the COVID-19 Pandemic,10.2148/benv.48.2.244,https://doi-org-ssl.access.yonsei.ac.kr/10.2148/benv.48.2.244
P1-INCLUDE,1276,INCLUDE,2026,CITIES & HEALTH,Quieter except on weekend evenings: changes in street-level noise following pedestrianisation,10.1080/23748834.2026.2616563,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/23748834.2026.2616563
P1-INCLUDE,901,INCLUDE,2023,ECOLOGICAL INDICATORS,Can acoustic indices reflect the characteristics of public recreational behavioral in urban green spaces?,10.1016/j.ecolind.2023.110729,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.ecolind.2023.110729
P1-INCLUDE,1018,INCLUDE,2024,ECOLOGICAL INDICATORS,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral analysis,10.1016/j.ecolind.2024.112022,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.ecolind.2024.112022
P1-INCLUDE,724,INCLUDE,2021,EMOTION SPACE AND SOCIETY,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Italy,10.1016/j.emospa.2021.100848,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.emospa.2021.100848
P1-INCLUDE,779,INCLUDE,2021,ENVIRONMENT INTERNATIONAL,Urban environment and obesity and weight-related behaviours in primary school children,10.1016/j.envint.2021.106700,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envint.2021.106700
P1-INCLUDE,880,INCLUDE,2022,ENVIRONMENTAL RESEARCH,Urban environment and physical activity and capacity in patients with chronic obstructive pulmonary disease,10.1016/j.envres.2022.113956,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.envres.2022.113956
P1-INCLUDE,53,INCLUDE,2004,ERGONOMICS,Directional guidance from audible pedestrian signals for street crossing,10.1080/00140130410001712609,https://doi-org-ssl.access.yonsei.ac.kr/10.1080/00140130410001712609
P1-INCLUDE,1211,INCLUDE,2026,EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,Chromatic recurrences applied to joint walking time series of a blind mother-child dyad,10.1140/epjs/s11734-026-02140-1,https://doi-org-ssl.access.yonsei.ac.kr/10.1140/epjs/s11734-026-02140-1
P1-INCLUDE,1005,INCLUDE,2024,HELIYON,Crowdsourced cycling data applications to estimate noise pollution exposure during urban cycling,10.1016/j.heliyon.2024.e27918,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.heliyon.2024.e27918
P1-INCLUDE,1226,INCLUDE,2026,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,Environmental characteristics and physical activity: A cross-sectional study in Bulgaria's five largest cities,10.1016/j.ijheh.2026.114816,https://doi-org-ssl.access.yonsei.ac.kr/10.1016/j.ijheh.2026.114816
P1-INCLUDE,760,INCLUDE,2021,International Journal of Human Capital in Urban Management,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kano Model,10.22034/ijhcum.2021.01.02,https://doi-org-ssl.access.yonsei.ac.kr/10.22034/ijhcum.2021.01.02
P1-INCLUDE,271,INCLUDE,2014,International Journal of Interdisciplinary Social and Community Studies,Towards an evidence-based model for assessing urban squares as social places,10.18848/2324-7576/cgp/v09i01/53520,https://doi-org-ssl.access.yonsei.ac.kr/10.18848/2324-7576/cgp/v09i01/53520
