openalex_id,route,freq,doi,year,journal,cited_by,title
W1966360794,backward,18,10.1121/1.3493436,2010,The Journal of the Acoustical Society of America,671,A principal components model of soundscape perception
W2118286956,backward,18,10.1016/j.buildenv.2009.05.014,2009,Building and Environment,368,Semantic differential analysis of the soundscape in urban open public spaces
W2115195350,backward,14,10.1016/j.apacoust.2004.07.011,2004,Applied Acoustics,506,Acoustic comfort evaluation in urban open public spaces
W2072118008,backward,14,10.1016/j.apacoust.2011.01.001,2011,Applied Acoustics,372,Towards standardization in soundscape preference assessment
W2282503792,backward,13,10.1016/j.landurbplan.2016.02.001,2016,Landscape and Urban Planning,481,Soundscape descriptors and a conceptual framework for developing predictive soundscape models
W1976828568,backward,13,10.1016/j.landurbplan.2013.12.003,2014,Landscape and Urban Planning,266,Effects of landscape on soundscape perception: Soundwalks in city parks
W2055106093,backward,12,10.1016/j.apacoust.2011.11.005,2012,Applied Acoustics,284,The production of a Perceived Restorativeness Soundscape Scale
W1978275579,backward,12,10.1016/j.scitotenv.2014.12.060,2014,The Science of The Total Environment,65,The influence of crowd density on the sound environment of commercial pedestrian streets
W2190736444,backward,11,10.1016/j.landurbplan.2015.05.004,2015,Landscape and Urban Planning,233,Influence of urban contexts on soundscape perceptions: A structural equation modeling approach
W151404408,backward,11,,2006,Acta acustica united with Acustica,212,Soundscape quality in suburban green areas and city parks.
W2099296256,backward,10,10.3390/ijerph7031036,2010,International Journal of Environmental Research and Public Health,886,Stress Recovery during Exposure to Nature Sound and Environmental Noise
W2514146708,backward,10,10.1016/j.buildenv.2016.08.011,2016,Building and Environment,457,Ten questions on the soundscapes of the built environment
W2014209604,backward,10,10.1080/13574800500062395,2005,Journal of Urban Design,356,Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield
W1964176750,backward,9,10.1016/s0169-2046(98)00112-1,1999,Landscape and Urban Planning,353,Sound influence on landscape values
W2989883879,backward,9,10.1016/j.buildenv.2019.106544,2019,Building and Environment,236,Effects of audio-visual interactions on soundscape and landscape perception and their influence on satisfaction with the urban environment
W2053951701,backward,9,10.1016/j.landurbplan.2013.03.008,2013,Landscape and Urban Planning,195,Spatiotemporal variability of soundscapes in a multiple functional urban area
