tier,route,freq,doi,year,journal,cited_by,title
T1,backward,12,10.1016/j.scitotenv.2014.12.060,2014,The Science of The Total Environment,65,The influence of crowd density on the sound environment of commercial pedestrian streets
T1,backward,3,10.1016/j.ufug.2020.126822,2020,Urban forestry & urban greening,53,Soundscape mapping for spatial-temporal estimate on bird activities in urban forests
T1,backward,2,10.3389/fpsyg.2023.1122639,2023,Frontiers in Psychology,28,"The effects of audio-visual perceptual characteristics on environmental health of pedestrian streets with traffic noise: A case study in Dalian, China"
T1,forward,2,10.1515/noise-2022-0178,2024,Noise Mapping,3,Soundscape maps of pleasantness in a university campus by crowd-sourced measurements interpolation
T1,forward,2,10.1016/j.buildenv.2025.113572,2025,Building and Environment,2,Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians
T1,forward,2,10.1121/10.0044150,2026,The Journal of the Acoustical Society of America,0,Effects of symmetric building heights along streets on the sound environment of pedestrian spaces
T1,forward,1,10.1121/1.4979336,2017,The Journal of the Acoustical Society of America,51,The effects of neighborhood views containing multiple environmental features on road traffic noise perception at dwellings
T1,forward,1,10.1016/j.landurbplan.2023.104839,2023,Landscape and Urban Planning,46,How visible street greenery moderates traffic noise to improve acoustic comfort in pedestrian environments
T1,forward,1,10.1080/23748834.2019.1617656,2019,Cities & Health,12,Mobile crowd-sensing as a resource for contextualized urban public policies: a study using three use cases on noise and soundscape monitoring
T1,forward,1,10.1016/j.jort.2023.100728,2023,Journal of Outdoor Recreation and Tourism,11,Do soundscape perceptions vary over length of stay within urban parks?
T1,forward,1,10.1016/j.ufug.2025.128838,2025,Urban forestry & urban greening,3,"Urban dwellers' perceptions of soundscapes and landscapes: Impacts of birdsongs and noises, and moderation by demographic characteristics"
T2,backward,18,10.1016/j.buildenv.2009.05.014,2009,Building and Environment,368,Semantic differential analysis of the soundscape in urban open public spaces
T2,backward,14,10.1016/j.apacoust.2004.07.011,2004,Applied Acoustics,506,Acoustic comfort evaluation in urban open public spaces
T2,backward,13,10.1016/j.landurbplan.2013.12.003,2014,Landscape and Urban Planning,266,Effects of landscape on soundscape perception: Soundwalks in city parks
T2,backward,11,10.1016/j.landurbplan.2015.05.004,2015,Landscape and Urban Planning,233,Influence of urban contexts on soundscape perceptions: A structural equation modeling approach
T2,backward,11,,2006,Acta acustica united with Acustica,212,Soundscape quality in suburban green areas and city parks.
T2,backward,10,10.1080/13574800500062395,2005,Journal of Urban Design,356,Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield
T2,backward,9,10.1016/j.buildenv.2019.106544,2019,Building and Environment,236,Effects of audio-visual interactions on soundscape and landscape perception and their influence on satisfaction with the urban environment
T2,backward,9,10.1016/j.landurbplan.2013.03.008,2013,Landscape and Urban Planning,195,Spatiotemporal variability of soundscapes in a multiple functional urban area
T2,backward,7,10.1121/1.4817924,2013,The Journal of the Acoustical Society of America,206,Designing sound and visual components for enhancement of urban soundscapes
T2,backward,7,10.1068/b31162,2007,Environment and Planning B Planning and Design,184,"Towards the Evaluation, Description, and Creation of Soundscapes in Urban Open Spaces"
T2,backward,6,10.1016/j.ufug.2009.11.003,2009,Urban forestry & urban greening,757,Social interactions in urban parks: Stimulating social cohesion?
T2,backward,6,10.1260/135101007781448000,2007,Building Acoustics,204,Urban Sound Environment
