uid,source,no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
7,db-search,7,FINAL_INCLUDE,1978,Journal of Social Psychology,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo,NR,street,NR,NR,urban noise + sidewalk density (스캔 PDF로 본문 텍스트 미확보 — 음원·레벨·조작 구체 NR),movement; social,보행 템포(pedestrian tempo)와 협조·원조 행동(cooperation) — 구체 측정지표 NR,NR,forward,스캔 PDF로 본문 미확보 — 제목상 도시 소음과 보도 밀도가 보행자 협조행동과 보행 템포에 미치는 영향을 다루나 결과 방향·크기는 확인 불가,NR
14,db-search,14,FINAL_INCLUDE,1988,Journal of Environmental Psychology,Urban stress and helping behavior: Effects of environmental overload and noise on behavior,France,street,field-experiment,NR,"파리 가로에서 도로공사 소음 3조건(공사 없음 / 소음 없는 공사 / 착암기 소음이 있는 공사) × 환경 과부하 2수준의 2×3 현장실험; ambient LAeq quiet <60 vs >60 dBA, peak 70–80 dBA",social,"4종 원조요청(명시적·암묵적 × 저노력·고노력)에 대한 반응 관찰 — 무시/거절·항변/응낙, 떨어뜨린 열쇠 반환, 분실 당뇨카드 처리 단계",observation,forward,소음이 환경 과부하 성분 중 가장 큰 영향을 미쳐 암묵적 원조요청에 대한 주의성(도움 행동)을 낮추고 언어적 상호작용 거부를 증가시켰다(효과 크기 발췌 내 미제시),NR
53,db-search,53,FINAL_INCLUDE,2004,ERGONOMICS,Directional guidance from audible pedestrian signals for street crossing,USA,street (옥외 주차장에 설치한 16 m 모의 횡단보도),field-experiment,12 (Exp1: blind 6 + blindfolded sighted 6; Exp2·3 NR),"audible pedestrian signal 5종(chirp/cuckoo/toks/clicks/voice) 72 dB-C, 제시모드 far-end-only vs simultaneous, 평행 횡단보도 동시 신호, clearance 구간 locator tone 유무; 배경 교통소음 재생 70 dB(A)",movement,횡단 보행 궤적의 이상 직선경로 대비 lateral deviation — 중간점·종점 total error 및 constant error(veering 방향),observation,forward,"신호를 건너편 끝에서만 제시할 때 양끝 동시 제시보다 횡단 정확도가 높았고, 양끝 교대 제시는 효과가 없었으며, 평행 횡단보도 동시 신호는 반대편 쪽으로 편향을 유발하고, clearance 구간 locator tone은 정확도를 개선했다(맹인·시각차단 정상인 동일 경향)",NR
71,db-search,71,FINAL_INCLUDE,2007,LANDSCAPE AND URBAN PLANNING,Noise and well-being in urban residential environments:: The potential role of perceived a,Sweden,residential,survey,500 (조용한 면 접근 367 / 미접근 133),"도로교통소음 LAeq,24h 60–68 dB(최대노출 파사드, mean 62 dB·S.D. 2.14 free field), 조용한 면(LAeq,24h ≤45 dB free field) 접근 유무 2조건, 인접 녹지 이용가능성 지각 3수준",activity; space-use,주거지 주변 걷기·운동 빈도(매일/주 1회 이상/월 1회 이상/거의 없음)와 교통소음이 옥외 체류 욕구를 방해한 빈도(never/sometimes/often) 자기보고,self-report,forward,두 소음조건 모두에서 인접 녹지 이용가능성이 '좋을수록' 장기 소음 짜증과 스트레스 관련 심리사회적 증상 유병이 감소하고 옥외공간 이용(걷기·운동)이 증가했다,NR
80,db-search,80,FINAL_INCLUDE,2008,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",Germany; Greece; Italy; Switzerland; United Kingdom; China,"mixed (19 urban open public spaces in Kassel, Athens, Thessaloniki, Milan, Fribourg, Cambridge, Sheffield, Beijing and Shanghai - squares, gardens/parks, seashore and street sites located in residential zones, city centres, tourist locations and railway stations; Table I)",mixed (large-scale on-site questionnaire interviews with interviewer observation of interviewee behaviour and sound pressure level measurement during or immediately after each interview),"10,031 interviewees (Table I site counts 62-1041; text: more than 10,000 interviews; analytic unit: 19 sites analysed separately; earphone analysis only at sites with >10 earphone wearers)","Reverse pathway: interviewer-observed user behaviours during the survey (wearing earphones, reading/writing, watching somewhere, moving-related activities) together with social/demographic factors (age, gender, occupation, education, residential status) and home sound level evaluation as predictors; outcome = subjective sound level evaluation of the site on a 5-point scale (-2 very quiet to 2 very noisy). SPL was measured per interview but not analysed in this paper; site soundscapes included traffic noise, water sounds, music, church bells, construction/demolition, chatting, children shouting and footsteps",movement; staying; activity,"Behaviour of each interviewee observed at the time of the interview: earphone wearing (yes/no), reading/writing (yes/no), watching somewhere (yes/no), moving-related activity coded by energy consumption (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and dichotomised as moving (walking, playing with children, sport) vs non-moving (sitting, standing)",observation; self-report (interviewer observation of interviewee behaviour; questionnaire sound level evaluation),reverse,"Wearing earphones, reading/writing and moving activities generally had no significant effect on sound level evaluation (reading/writing significant at 2 sites, moving at 2 sites with Spearman rho about -0.1). Watching behaviour differed significantly at 7 of 19 sites, all in Europe: watching people felt quieter at the Athens and Cambridge sites (e.g., mean difference 0.48 at Silver Street) but noisier at Kritis, IV Novembre and Peace Gardens, which the authors attribute to visual-aural interaction.","Table VII (not-wearing - wearing earphones): EU -0.05/0.67, China 0.34/0.16, Overall -0.00/0.99; reading/writing (not - reading) significant only at site 6 0.26/0.03* and site 14 0.46/0.01**. Table IX mean difference/significance (not-watching - watching): site 3 0.13/0.05*, 4 0.30/0.00**, 5 -0.31/0.00**, 7 -0.18/0.03*, 11 0.20/0.03*, 12 0.48/0.00**, 14 -0.49/0.01**; (not-moving - moving): site 2 0.19/0.01**, site 8 0.26/0.01**; Spearman moving activities vs sound level evaluation: site 2 -0.10/0.04*, site 8 -0.12/0.00** (other sites non-significant, range -0.06 to 0.06)"
104,db-search,104,FINAL_INCLUDE,2009,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,Germany; Greece; Italy; Switzerland; United Kingdom; China,"square (19 urban open spaces in 9 cities incl. squares, gardens, a street, a seashore and a park - e.g. Kassel Bahnhofsplatz, Athens Seashore, Sheffield Peace Gardens and Barkers Pool, Cambridge All Saint's Garden and Silver Street, Beijing Xi Dan Square, Shanghai Xu Jia Hui Park; located in city centres (7), residential areas (5), tourist spots (5) and near railway stations (2), Table I)","survey (large-scale on-site questionnaire interviews with concurrent multi-sensor physical measurements; site-level Pearson/Spearman correlations, t-tests and chi-square screening of physical, behavioural, social/demographic and psychological factors, followed by artificial neural network models and an ordinal logistic regression comparison)","over 9000 interviewees in Europe and over 800 in China (section II.A); 62-1041 per site (Table I); acoustic comfort evaluation only at 7 sites (2 Sheffield, 5 China)","Reverse: user behavioural factors recorded at interview (B1 wearing earphones, B2 reading or writing, B3 watching somewhere, B4 movement status sitting/standing/playing with kids/sporting, B5 frequency of coming to the site 1 first time-5 every day, B6 reason for coming, B7 grouping none/1/more than 1 companion; Table II) as predictors of soundscape evaluation. Acoustic context: SPL (dBA, 1-min measurement) plus air temperature, wind speed, humidity and luminance measured with a multi-sensor station immediately before or after each interview; CadnaA-calculated SPL used for prediction maps (section IV)",activity; staying; space-use; social,"Binary items for wearing earphones, reading/writing and watching somewhere; movement status (sitting, standing, playing with kids, sporting); frequency of coming to the site (5-point, first time to every day); reason for coming (equipment/services, children playing and social meetings, business/meeting/break, social events, passing by); grouping (alone, with 1 person, with more than 1 person) (Table II)",self-report (on-site face-to-face questionnaire interviews; recording mode for observable items B1-B4 not specified in this paper),reverse,"Behavioural factors had limited, site-specific associations with the subjective sound level evaluation: watching somewhere (7/19 sites), reason for coming (7/16) and frequency of coming (5/19) were significant in at least 5 sites, whereas wearing earphones (0/4), reading/writing (2/19), movement status (2/19) and grouping (4/19) rarely were, and correlation signs varied across sites (e.g. frequency of coming r = -0.11 to 0.15). For acoustic comfort (7 sites) behavioural factors had limited importance, although grouping and movement status were retained as ANN inputs in some models.","Table III (sound level evaluation; Pearson/Spearman r for 3+ scale factors, two-tailed t-test mean differences for 2-scale factors, Pearson chi-square significance level for B6; * p<0.05, ** p<0.01; minus signs recovered from the source PDF because the text extraction dropped them): B5 frequency of coming significant at site 4 -0.10**, site 5 -0.11**, site 6 0.10**, site 7 0.15**, site 9 -0.07* (5/19, 26.3%); B7 grouping site 4 0.12**, site 8 0.10*, site 10 -0.09**, site 14 0.10* (4/19); B4 movement status site 2 -0.10*, site 8 -0.12** (2/19); B3 watching site 3 0.13*, 4 0.30**, 5 -0.31**, 7 -0.18*, 11 0.20*, 12 0.48**, 14 -0.49** (7/19); B2 reading/writing site 6 0.26*, site 14 0.46** (2/19); B6 reason for coming chi-square site 2 0.01*, 4 0.00**, 6 0.01**, 7 0.02*, 8 0.04*, 11 0.00**, 12 0.01** (7/16); B1 earphones 0/4. Acoustic comfort: behavioural factors described only as having limited importance, no statistics (section II.D). ANN inputs including behavioural factors, e.g. Peace Gardens acoustic comfort model with B7: test coefficient 0.79, RMSE 0.103 (Table VIII)"
121,db-search,121,FINAL_INCLUDE,2010,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas,Norway,recreation,natural-experiment,1264 (Bygdøy) / 1370 (Romeriksåsen) panel respondents interviewed at t1 and t2,change in aircraft noise from the 1998 relocation of Norway's main airport; old airport closed leaving high-altitude overflights and helicopters while the new airport was expanded,space-use; activity,visitor vs non-visitor status at t2; frequency of use of the area in the past three months; aircraft noise reported as a reason for not visiting,self-report (telephone interview panel before and after the change),forward,Changed aircraft noise exposure influenced individual choices to use the local outdoor recreational areas - with noise reported as a reason for non-use - but use was largely stable and also fluctuated for reasons unrelated to noise (magnitudes not in excerpt).,NR
123,db-search,123,FINAL_INCLUDE,2010,APPLIED ACOUSTICS,Factors influencing the sound preference in urban open spaces,Germany; Greece; Italy; Switzerland; UK; China (6개국 9도시),"square (urban open space 19곳, 일부 park·garden 포함)",mixed,NR,현장에서 확인된 음원 유형(natural/human/mechanical/instrumental sounds)과 실험실 재생음; 인터뷰 중 객관적 음 측정 및 물리 환경 기록 병행,space-use; activity,사이트 방문 빈도(first time~every day)와 방문 이유·현장 활동(시설·서비스 이용/아이 놀이·사적 만남/업무·회의·휴식/사회행사 참여/통행) — 설문조사 및 현장 관찰로 수집,self-report,reverse,"행태 요인(방문 빈도, 방문 이유)이 sound preference 평가에 미치는 영향은 일부 사이트·특정 음종을 제외하면 대체로 유의하지 않았고, 연령과 교육수준이 보편적으로 유의한 요인이었다",NR
137,db-search,137,FINAL_INCLUDE,2011,JOURNAL OF PARK AND RECREATION ADMINISTRATION,An Examination of the Guided Night Hiking Experience in Parks and Protected Areas,United States,"recreation (guided night hikes on park and forest trails: a strenuous 3-mile hike at Table Rock State Park and an easy 'owl prowl' at Congaree National Park, South Carolina, and a moderately difficult 1.5-mile hike at Pisgah National Forest, North Carolina; ranger interviews also from Acadia National Park, Maine)","qualitative (phenomenological semi-structured interviews with night hikers and interpretive rangers; verbatim transcription, open and axial coding after Miles & Huberman 1994 and Strauss & Corbin 1998; triangulation and informant checks)","35 interviewees (31 night hikers - Table Rock 10, Congaree 11, Pisgah 10 - plus 4 interpretive rangers; hiker interviews averaged 17 min, range 9-39 min; ranger interviews averaged 33 min, range 17-53 min)","In-situ night-time acoustic environment of guided hikes, described by participants rather than measured or manipulated: nocturnal natural sounds (owls, cicadas, crickets, frogs, night bugs, a distant coyote or dog, wind in the trees, a babbling creek) and the 'natural quiet' produced by less human and traffic noise at night ([page 88]-[page 89], printed pp.79-80; [page 92]-[page 93], pp.83-84). No sound level measurement, acoustic index or experimental sound manipulation is reported. Reverse side: the recreational behaviour itself - choosing to hike at night rather than by day, hiking in guided groups of 10 to 30 people, whispering when communicating, and keeping artificial lights off - is reported to shape the acoustic environment and the salience of its perception ([page 90], p.81; [page 92]-[page 93], pp.83-84).",activity; social; space-use,"Self-reported recreation behaviour elicited by a common semi-structured interview script: (a) participation in guided night hiking rather than day hiking, the stated motivations for it and stated willingness to hike at night again ([page 88], p.79; [page 91], p.82); (b) in-group vocal behaviour during the hike - whispering and talking less to protect natural quiet ([page 90], p.81; [page 93], p.84); (c) keeping artificial lights off and stepping 10-15 feet away from the group at stops ([page 90], p.81; [page 94], p.85). No counts, frequencies or durations are reported - the authors state that the themes 'do not represent a frequency of comments' ([page 87], p.78).",self-report (semi-structured interviews with 31 hikers and 4 interpretive rangers; recorded and transcribed verbatim; the lead researcher joined the hikes to build rapport but no systematic observation data are reported),both,"Night soundscapes, together with the night sky, were one of the two sensory attributes that defined the night hiking experience and were raised by respondents when asked about enjoyment, favourite aspects, motivations, outcomes and willingness to hike at night again, with owls, cicadas, crickets, frogs, a distant coyote and a creek named repeatedly ([page 88]-[page 89], pp.79-80). Conversely the night activity reshaped the acoustic experience: with limited visibility hikers relied more heavily on hearing, which drew attention to both night sounds and the lack of sound, and most participants said they deliberately whispered while communicating in order to protect natural quiet, while rangers added that too much artificial light may quiet nocturnal animals ([page 93], p.84; [page 94], p.85). Quietness at night, together with limited visibility, was also the reason respondents gave for an increased sense of both group and individual solitude despite hike group sizes of 10 to 30 ([page 90], p.81).","NR (qualitative study; the authors state explicitly that the themes 'do not represent a frequency of comments' ([page 87], p.78) and report no counts or statistics for the sound-behaviour relation)"
271,db-search,271,FINAL_INCLUDE,2014,International Journal of Interdisciplinary Social and Commun,Towards an evidence-based model for assessing urban squares as social places,Australia,square,mixed,NR (3주간 관찰; 이용자 수는 Figure 3에만 제시),"Oxford Square 현장 사운드스케이프 — 음향 녹음 기반 물리 측정과 기술적·경험적·정신음향적 지각 측정 병행; 물리·지각 측정 모두 높은 음압수준 확인, 인공·자연·기계음 혼재",movement; staying; space-use,"behaviour mapping — 보행 경로(desire line), 시간대별 보행량, 주요 활동별 관찰 건수, 계단·화단 연석 착석 및 체류 지속, 성별·집단 크기별 이용자 수",observation,forward,"높은 소음을 포함한 감각 조건이 장시간 체류를 저해해 광장은 주로 3개 가로를 잇는 통과 링크로만 기능했고 착석은 있어도 오래 머무르지 않았으며, 사운드스케이프가 광장 이용에 가장 큰 영향을 미치는 감각 요소로 확인됐다",NR
