no,cluster,contrast,stat_type,stat_verbatim,location,n1,n2,n_total,computable,convert_path,note
1,MA4,"crowd density (persons/m2, space-use behaviour) vs subjective loudness rating (1-5)",other,"Fig. 6a: strong positive correlation (p<0.001), with a correlation coefficient of R2=0.307; Fig. 6b underground shopping street R2=0.551 (p<0.001)",3.3 본문 · Fig. 6a-6b,,,662,no,,PRIMARY(서술). R2를 correlation coefficient로 표기해 r/R2 구분 불명, 회귀 단위 n 미보고(4항 제외)
1,none,crowd density vs subjective acoustic comfort (quadratic regression),other,"Fig. 7a acoustic comfort quadratic R2=0.313, p<0.001; 교통로 없는 구간 R2=0.539 (p<0.001); 지하상가 R2=0.382 (p<0.001)",3.3 본문 · Fig. 7a-7c,,,662,no,,포물선 관계라 선형 r 변환 불가(5항). 종속변수도 지각
1,none,"audiovisual clip 76 dBA vs 69 dBA (group B-A, D-C)",other,"Table 1: subjective loudness B-A=0.31**, D-C=0.24**; acoustic comfort B-A=-0.21**, D-C=-0.32** (** means significance p<0.01)",Table 1,,,64,no,,노출 대비는 있으나 결과변수가 지각뿐 — 행태 산출물 없음
1,none,crowd density vs measured LAeq / number of speakers (행태에서 음환경 방향),other,"Fig. 2a: R2=0.261 (0-0.40 persons/m2), R2=0.724 (0.02 단위 평균), R2=0.401 (>0.05 persons/m2), p<0.001; y=33.74x+67.12 (measurement), y=30.68x+55.96 (calculation); 지하상가 R2=0.437",3.1 본문 · Fig. 2a,,,,no,,direction=reverse. Fig. 5d 화자수-밀도 회귀는 R2 수치가 본문에 없음(그림 전용)
7,MA4,length of stay 4 categories (<30 min / 30 min-1 h / 1-3 h / >3 h) vs 35 soundscape perception ratings,p_only,"Table 3: OPL 0.025*; PO birds 0.008**, PO leaves rustling 0.000***, PO broadcast music 0.000***, PO bicycle riding 0.002**; VS birds 0.000***, VS broadcast music 0.026*; 나머지 28개 지표는 '-' (no statistically significant effect)",Table 3,,,2034,no,,"PRIMARY(서술). p값 외 검정통계·EMM 수치·효과크기 전무, 4수준 옴니버스라 방향·크기 불명"
7,MA4,length of stay x environment type (GrS/BS/OG/POG/DG) 하위분석,p_only,"3.4: OPL BS p=0.011, OG p=0.024, DG p=0.011; PO birds GrS p=0.028, POG p=0.007; PO broadcast music GrS p=0.035, POG p=0.012, DG p=0.015; PO bicycle riding OG p=0.018, DG p=0.011",3.4 본문 · Fig. 6,,,2034,no,,동일 한계(p값만). 환경유형별 n = 387 GrS · 442 BS · 339 OG · 471 POG · 395 DG
25,MA3,"high noise (approx. 87 db.(C) lawn mower) vs ambient noise (approx. 50 db.(C)) — field, helping behaviour",proportion_2x2,"Table 2 cells: No cast/Ambient noise Yes=4 No=16 %helping=20; No cast/High noise Yes=2 No=18 %=10; Cast/Ambient noise Yes=16 No=4 %=80; Cast/High noise Yes=3 No=17 %=15. 본문: 'although 50% of the subjects helped in the ambient noise condition, only 12.5% helped in the high-noise condition, F(1, 76) = 20.00, P < .001'",Table 2 · EXPERIMENT 2 RESULTS 본문,40,40,80,yes,2x2 frequencies (cue 2셀 합산) → OR → Chinn d = ln(OR)*sqrt(3)/pi,"PRIMARY. Moser 1988과 동일 현장 2x2 계열. n1=고소음·n2=주변소음, 각 조건 20명씩 cue 2셀 합"
25,MA3,"high noise 85 db.(C) vs no noise 48 db.(C) broadband white noise — laboratory, helping behaviour",proportion_2x2,"Table 1: Ambient(48 db.) Yes=13 No=5 %helping=72.2; Low(65 db.) Yes=10 No=5 %=66.7; High(85 db.) Yes=7 No=12 %=36.8. 본문: 'F(2, 49) = 2.878, .05 < P < .10'; 'linear F(1, 49) = 6.63, P < .025'",Table 1 · EXPERIMENT 1 RESULTS 본문,19,18,52,yes,2x2 frequencies (85 db vs 48 db) → OR → Chinn d,동일 논문 2번째 실험 — 3항 논문 1효과 원칙상 민감도용. n1=고소음19·n2=주변18(중간 65db 15명 제외)
25,none,"arm cast cue present vs absent, and Noise x Cue interaction (field)",F,"'only 15% of the subjects helped the confederate when he was not wearing an arm east, while 47.5 % of the subjects provided assistance ... F(I,76) = 15.03, P < .001'; interaction F(I, 76) = 10.70, P < .005 (ambient: 80% cast vs 20% no cast; high noise: 15% vs 10%)",EXPERIMENT 2 RESULTS 본문,,,80,narrative,,음환경 대비가 아닌 도움단서 조작 — 소음의 조절효과 서술 근거로만 사용
90,MA1,"music (headphone mp3, 114/124 bpm) vs no-music control — 'slow walkers' subgroup, Exp1",F,"[F(1, 63) = 5.104, p < 0.05, Cohen's d = 0.462]",Experiment 1 Results 본문,,,72,yes,"reported Cohen's d → Hedges g (J 보정); 대안 F(1,63) → t → d",PRIMARY. (P)음악 프레임의 유일한 음악 vs 무음악 대비. Meng 2018과 같은 음악 하위스트림(본 pool 제외군)
