no,cluster,contrast,stat_type,stat_verbatim,location,n1,n2,n_total,computable,convert_path,note
184,MA4,companion status (accompanied vs alone) vs preference for 'social-unsocial' sound,beta,"Companion status B 0.477, Std. Error 0.165, Beta 0.165, t 2.895, Sig. 0.004; Model R 0.165a, R Square 0.027, Adjusted R Square 0.024; ANOVA F 9.133, Sig. 0.003b; Residual df 299, Total df 300",Table 8,,,301,yes,단일예측변수 표준화 Beta(=R 0.165) -> r -> Fisher z,"PRIMARY. 예측=동반 행태, 결과=사운드스케이프 선호(지각)로 역방향. 부분상관 근사 라벨 필요"
184,MA4,relationship intensity vs preference for 'social-unsocial' sound,r,0.113 *,Table 4,,,304,yes,r -> Fisher z,동일 결과변수 중복 — 논문 1효과 원칙상 Table 8과 택1. 유의수준 *p<0.05
184,MA4,group size vs preference for 'social-unsocial' sound,r,-0.167 **,Table 4,,,304,yes,r -> Fisher z,동일 결과변수 중복. 척도 방향(Social-Unsocial) 확인 후 부호 정렬 필요
184,none,accompanied vs alone: noticing speaking sound / noticing children sound,OR,"Noticing speaking sound B 0.570, Significance level (P) 0.031, Odd Ratio 1.767; Noticing children sound B 0.767, P 0.004, Odd Ratio 2.153; Constant 0.124 / 0.579 / 1.132 and -0.173 / 0.437 / 0.841",Table 5,,,304,no,,결과=음 인지(지각)라 행태 클러스터 부적합. 군별 n·CI 값 미보고로 2x2 복원 불가
184,none,"relationship intensity levels (partner/spouse, family, friends) vs alone",OR,"Odd Ratio (95% CI) noticing children sound: partner/spouse 4.400, family 2.588, friends 1.841, alone 1.000; preferring human sounds: 2.845, 2.265, 1.236, 1.000",Table 6,,,304,no,,표 제목에 (95% CI) 표기되나 CI 수치 부재·군별 n 미보고. 결과도 지각변수
184,none,solo vs accompanied mean differences on sound preference scales,other,Safe-Unsafe -0.355 *; Social-Unsocial -0.499 **,Table 4,,,304,no,,"평균차만 보고, SD·군별 n 미보고 -> Hedges g 산출 불가"
220,none,street spatial characteristics -> multi-sensory perception -> static/dynamic activity (indirect effect),beta,"Static activity Road direct -0.091 p 0.023 95%CI [-0.172,-0.015] / indirect 0.141 p 0.001 95%CI [0.098,0.192]; Building 0.032 p 0.652 / -0.087 p 0.008 [-0.155,-0.024]; Green space -0.075 p 0.080 / -0.095 p 0.001 [-0.151,-0.044]; Water 0.192 p 0.001 [0.081,0.304] / 0.176 p 0.001 [0.109,0.248]. Dynamic activities Road -0.100 p 0.022 / 0.097 p 0.000 [0.057,0.144]; Building -0.053 p 0.470 / -0.054 p 0.040 [-0.103,-0.001]; Green space 0.020 p 0.716 / -0.055 p 0.015 [-0.101,-0.011]; Water 0.127 p 0.039 / 0.121 p 0.001 [0.058,0.198]",Table 8,,,471,no,,매개=시각·청각·후각·촉각 4감각 합산이라 청각 단독 효과 아님. SE 미보고로 부분상관 환산 불가
220,none,auditory (Sound) latent variable -> static/dynamic activity path coefficient,beta,NR (본문·표에 수치 없음; Figure 6에만 경로 표시),Figure 6,,,471,no,,청각 단독 경로계수가 그림으로만 제시 — verbatim 수치 부재. 원문 그림 판독 대상
220,none,individual characteristics vs Sound Pleasantness / Eventfulness (non-parametric test p),p_only,"Sound Pleasantness 0.358 / 0.268 / 0.027 * / 0.052 / 0.488; Eventfulness 0.558 / 0.990 / 0.146 / 0.842 / 0.476 (Gender, Age, Educational Background, Career, Residence Time)",Table 5,,,471,no,,지각 점수의 인구집단차 p값 — 행태 결과변수 아님
220,none,street spatial characteristics vs behaviour frequency (stepwise regression),beta,sunbathe GR Beta -0.116 t -2.588 ** / WSR Beta 0.371 t 8.299 *** R2 0.129 F 34.533 ***; chat GR Beta -0.134 t -2.944 *** / WD Beta 0.154 t 3.387 ** R2 0.039 F 9.397 ***; play cards WD Beta 0.268 t 6.020 *** R2 0.072 F 36.242 ***; walk the dog WD Beta 0.229 t 5.102 ** R2 0.053 F 26.028 ***,Table 7,,,471,no,,독립변수가 물리 공간지표뿐 — 음환경 변수 부재로 사운드스케이프 효과 아님
