no,cluster,contrast,stat_type,stat_verbatim,location,n1,n2,n_total,computable,convert_path,note
1,MA4,crowd density vs subjective loudness — R2/r 라벨 판정,other,"3.1: 'linear regressions and the coefficient of determination R2 are also presented'; 'the coefficient of determination R2 was only 0.261 (dotted line)'; 3.3: 'there was generally a strong positive correlation between the crowd density and the subjective loudness (p<0.001), with a correlation coefficient of R2=0.307'",3.1 본문 · 3.3 본문 · Fig. 2a/6a,,,662,no,,1차 r/R2 구분 불명 해소 — 3.1이 R2를 coefficient of determination으로 명시. 단 회귀 n은 전문 확인 후에도 미보고
1,none,audiovisual clip 4군(A/B/C/D) 군별 표본수,other,"'Sixty-four volunteers were chosen to listen to the four groups of video and audio in the laboratory using headphones'; 'The volunteers were also divided into four groups, with 16 people per group, such that half of the total number of volunteers in each group were men and half were women'",3.4 본문,16,16,64,no,,1차 n_total 64뿐 → 군별 n=16 신규 확보. 그러나 SD 미보고·결과변수 지각뿐이라 g 불가
1,none,number of speakers vs crowd density (Fig. 5d 회귀),other,"'Sixteen volunteers were instructed to record how many people were talking in an area measuring 20 m*20 m'; 'The relationship between crowd density and the number of speakers is shown in Figure 5d, where the corresponding regressions and coefficients of determination R2 are also presented' (R2 수치는 본문 부재)",3.2.2 본문 · Fig. 5d,,,16,no,,전문 확인 후에도 R2 수치가 그림 전용 — 1차 판정 유지. 발화자 계수 관측자 16명 확인
1,none,traffic noise 청취율: 도로 근접 vs 원거리,other,"'The users near the traffic road heard more traffic noise than users who were far from the traffic road, regardless of the crowd density, with a mean difference of 24% (p<0.01)'",3.2.1 본문,,,662,no,,1차 미수집 문장 신규 확보. 노출=도로거리·결과=소음 청취율(지각)이라 행태 클러스터 부적합
7,MA4,length of stay 4 categories vs 35 soundscape perception ratings (Table 3 재확인),p_only,"Table 3: OPL 0.025*; PO birds 0.008**, leaves rustling 0.000***, broadcast music 0.000***, bicycle riding 0.002**; VS birds 0.000***, broadcast music 0.026*; 나머지 28개는 '-' (no statistically significant effect)",Table 3,,,2034,no,,전문 확인 후에도 검정통계·효과크기 미보고 — 1차 판정 유지. 체류시간별 EMM은 Fig.4 그림 전용(a/b/c 문자만)
7,MA4,length of stay 4수준 군별 표본수 및 전체 SD (신규),other,"'26.6% of respondents (N = 542) in this study had spent less than half an hour within the park sites, 36.2% of respondents (N = 737) had spent 30 min to 1 h, 29.7% of respondents (N = 604) for 1 to 3 h, and 7.4% of respondents (N = 151) for more than 3 h. The overall standard deviation for various length of stay options was 0.91, calculated from 2034 individual values'",3.1 본문,542,151,2034,no,,1차 미확보 군별 n 신규 확보(542/737/604/151). SD 0.91은 예측변수(체류시간) SD이지 결과변수 SD 아님 — g 불가
7,none,environment type(GrS/BS/OG/POG/DG) vs 개별음 지각 — EMM±SE (신규),mean_sd,"Table 4 Birds — PR '-': GrS 3.987 ± 0.062, BS 4.053 ± 0.052, OG 4.066 ± 0.057, POG 4.143 ± 0.043, DG 4.084 ± 0.051; PO 0.000***: GrS 2.047 ± 0.064, BS 2.541 ± 0.056, OG 2.513 ± 0.065, POG 3.212 ± 0.051, DG 2.962 ± 0.058; PL 0.000***: GrS 2.270 ± 0.063, BS 2.658 ± 0.052, OG 2.566 ± 0.059, POG 2.817 ± 0.044, DG 2.962 ± 0.058; VS '-': GrS 1.489 ± 0.024, BS 1.466 ± 0.021, OG 1.541 ± 0.025, POG 1.461 ± 0.019, DG 1.485 ± 0.021; Leaves rustling PR 0.018*: GrS 3.632 ± 0.061, BS 3.705 ± 0.054, OG 3.778 ± 0.059, POG 3.853 ± 0.049",Table 4,,,2034,no,,1차 'EMM 수치 전무' 부분 해소 — Table 4에 EMM±SE 확보. 단 예측=식생유형·결과=지각이라 체류행태 대비 아님
7,MA4,length of stay x environment type 하위분석 (Table 5 재확인),p_only,Table 5 'Key findings from three hypotheses'는 체크표시(✓ / ✓ not fully proven)만 제시; 3.4 본문 p값 외 수치 없음,Table 5 · 3.4 본문,,,2034,no,,"전문 확인 후에도 하위분석은 p값·체크표만 — 1차 판정 유지. Appendix Table 6·7, Fig.7·8은 별도 보충자료로 본문 미수록"
90,MA1,"motivational music vs non-motivational music (Exp2, between-subjects) — 검정통계 신규 확보",F,"'The ANOVA indicated a statistically significant between-subjects main effect of the type of music [F(15, 1485) = 43.72, p < 0.001, η2 = 0.31]'; 'The average walking speed of participants listening to Music 1 (motivational music) throughout the entire route was 1.67 m/s (SD = 0.17), while the average walking speed of participants listening to Music 2 (non-motivational music) was 1.47 m/s (SD = 0.14). The effect size was high (Cohen's d = 1.290)'",Experiment 2 Results 본문 · Table 3,62,59,121,yes,reported Cohen's d = 1.290 → Hedges g (J 보정); Table 3 M/SD/n 직접 산출로 교차검증,★1차 '검정통계 절단으로 미확인' 해소 — F·η2·Cohen's d 전부 확보. 단 무음악 대조 없어 (P) 프레임 부적합
90,MA1,Exp2 조건 배정 표본수 (신규 verbatim),other,"'A between-subjects design was used. The participants were assigned either the motivational music or the non-motivational music. All conditions were balanced between males and females. Thirty males and thirty-two females were assigned the motivational music, while thirty-one males and twenty-eight females were assigned the non-motivational music'",Experiment 2 Procedure 본문,62,59,121,yes,,1차 n1=62·n2=59를 원문 문장으로 확정(30+32 / 31+28). 성별 균형 배정·완전 독립군 확인
