no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
1,FINAL_INCLUDE,2014,The Science of The Total Environment,The influence of crowd density on the sound environment of commercial pedestrian streets,China,"street (Central Avenue 상업보행가로, Harbin; 비교용 지하상가 병행)",mixed (현장 음압·군중밀도 실측 + 설문 662부 + 실험실 시청각 실험),"662 valid questionnaires (조사점당 20-30명, 12개 지점); 추가 시청각 실험 64명, 보조조사 자원자 16명",상업보행가로 음환경 — 언급 빈도 교통소음 526회·PA 시스템 482회·상점음악 325회·주변대화 318회; 측정 LAeq는 군중밀도 회귀 y=33.74x+67.12; 시청각 실험용 오디오 69 dBA vs 76 dBA 2종,space-use; social,군중밀도(persons/m²) — 5 m×20 m 구역을 1 m×1 m 그리드로 나눠 고소 촬영 사진에서 보행자를 계수한 5분 평균값; 추가로 20 m×20 m 내 대화 중인 인원수를 자원자 16명이 15분 간격 동시 기록,현장관찰(사진 그리드 계수·자원자 동시 계수),reverse,"군중밀도가 0.05 persons/m²를 넘으면 LAeq가 밀도와 함께 선형 증가(y=33.74x+67.12)하고 주관적 loudness도 상승했으나, 음향쾌적성은 0.10-0.25 persons/m²에서 정점인 포물선 관계였고, 밀도가 2배가 되면 교통소음을 들었다는 응답 비율은 약 7% 감소","Fig.2a: R2=0.261 (0-0.40 persons/m2), R2=0.724 (0.02 단위 평균값), R2=0.401 (>0.05 persons/m2), p<0.001; y=33.74x+67.12 (measurement) vs y=30.68x+55.96 (calculation); 지하상가 R2=0.437. Fig.6a subjective loudness R2=0.307, p<0.001 (지하상가 R2=0.551). Fig.7a acoustic comfort quadratic R2=0.313, p<0.001 (교통로 없는 구간 R2=0.539; 지하상가 R2=0.382). Table 1 audiovisual: subjective loudness B-A=0.31**, D-C=0.24**; acoustic comfort B-A=-0.21**, D-C=-0.32** (**p<0.01)"
7,FINAL_INCLUDE,2023,Journal of Outdoor Recreation and Tourism,Do soundscape perceptions vary over length of stay within urban parks?,China,"park (Xi'an 6개 도시공원 내 10개 사이트 — grey/blue/open green/partly open-dense green/dense green 각 2곳, 사이트당 약 2 ha)",survey,2034 valid (2068 응답 중; GrS 387·BS 442·OG 339·POG 471·DG 395),"공원 현장의 8개 개별음 — 자연음(새소리·잎사귀 스침), 기계음(방송음악·자전거 주행), 인간음(주변대화·발소리), 교통소음(자동차·오토바이) — 및 전체 사운드스케이프; 10개 사이트 평균 음압 59 dBA(B&K 2250 class 1, 1 s logging, 15분 측정)",staying,사이트 내 자기보고 체류시간 4구간(<30 min / 30 min-1 h / 1-3 h / >3 h)을 GLM 독립변수로 투입 — 26.6%(542명)·36.2%(737명)·29.7%(604명)·7.4%(151명); 연령·동반자·방문빈도 등 11개 사회·인구·행태 항목은 공변량,자기보고(태블릿 앱 Wen Juan Xing 설문) + 센서(음압계·Kestrel 5500 기상관측),reverse,"35개 지각 지표 중 7개만 체류시간에 유의하게 변화 — 전체 지각 loudness는 30분-1시간에 정점을 찍고 3시간 이후 유의하게 낮아졌으며, 새·잎사귀·방송음악·자전거 소리의 지각 발생빈도는 1시간 내 유의 증가 후 자연음은 안정·기계음은 1-3시간에 정점; 새 음원의 시각적 확인은 3시간 이후에야 늘어남","Table 3 (35 GLM tests of model effects): OPL p=0.025; PO birds p=0.008, PO leaves rustling p=0.000, PO broadcast music p=0.000, PO bicycle riding p=0.002; VS birds p=0.000, VS broadcast music p=0.026 (나머지 28개 지표 n.s.). §3.4 환경유형별: OPL BS p=0.011, OG p=0.024, DG p=0.011; PO birds GrS p=0.028, POG p=0.007; PO broadcast music GrS p=0.035, POG p=0.012, DG p=0.015; PO bicycle riding OG p=0.018, DG p=0.011. 효과크기 미보고"
25,FINAL_INCLUDE,1975,Journal of Personality and Social Psychology,Environmental noise level as a determinant of helping behavior.,"NR (본문에 수집국 미명시; 저자 소속 University of New Hampshire, USA)",street (Exp2: 학생 아파트 주거지역의 저교통량·가로수 보도; Exp1은 실내 실험실 대기실),"field experiment (Exp2, 2×2 noise×cue) + lab experiment (Exp1)",132 total (Exp1 실험실 남성 52명; Exp2 현장 단독 보행 남성 80명 — 조건당 20명),Exp2: 머플러를 제거한 가솔린 릴형 잔디깎기를 가동해 낙하 지점 약 87 dB(C) vs 미가동 시 주변소음 약 50 dB(C); Exp1: 백색소음 3수준 — 무처치 48 dB(C)·저소음 65 dB(C)·고소음 85 dB(C),social,공모자가 떨어뜨린 책·서류를 실제로 주워 도왔는지 여부(help/not help 이분) — 길 건너 계단참에 숨은 관찰자가 기록; 도움 필요 단서는 공모자의 전장 팔 깁스 착용 여부로 조작,현장관찰(은닉 관찰자 기록; Exp1은 실험자 관찰),forward,"현장실험에서 고소음(87 dB) 조건의 원조율은 12.5%로 주변소음(50 dB) 조건 50% 대비 급감했고, 깁스 단서 효과는 저소음에서만 유효(80% vs 20%)하고 고소음에서는 소멸(15% vs 10%); 실험실에서도 48/65/85 dB에 따라 원조율 72.2%/66.7%/36.8%로 선형 감소","Table 2 (field): 50% helped in ambient noise vs 12.5% in high noise, F(1,76)=20.00, p<.001; cast 47.5% vs no cast 15%, F(1,76)=15.03, p<.001; Noise×Cue interaction F(1,76)=10.70, p<.005 (ambient: 80% cast vs 20% no cast; high noise: 15% vs 10%). Table 1 (lab): % helping 72.2 / 66.7 / 36.8 at 48 / 65 / 85 dB(C); one-way ANOVA F(2,49)=2.878, .05<p<.10; linear trend F(1,49)=6.63, p<.025"
90,FINAL_INCLUDE,2014,Frontiers in Psychology,Tempo and walking speed with music in the urban context,Czech Republic,mixed (Hradec Kralove 도심 1.8 km 순환 보행로 16구간 — 교통·녹지 유무가 다른 가로와 공원 구간 혼재),field experiment,Exp1 79 (무음악 조건) → 72 (음악 조건; Music A 33·B 35·C 4); Exp2 121 (motivational 62 / non-motivational 59),"헤드폰 mp3 음악 — Exp1: 명확한 비트의 월드팝 9곡 트랙을 ±8% 조정해 평균 114 bpm(A)/124 bpm(B)/133 bpm(C), 무음악 조건과 대비하며 개인 보행템포에 맞춰 배정; Exp2: BMRI-2(Brunel Music Rating Inventory-2) 평정으로 선별한 동기부여 음악(빠른 템포·강한 리듬의 댄스곡) vs 비동기부여 음악(발라드·무드곡)",movement,"1.8 km 루트를 16개 구간으로 나눠 구간별 평균 보행속도(m/s) 산출(구간 시종점은 보도에 표시선), 그리고 보폭 주기와 음악 비트의 자발적 동기화 여부를 곡별 채점(명확 1점·가능 0.5점)","센서·영상(허리 착용 소형 비디오카메라 Sony Bloggie + ELAN 구간 주석, Matlab 보폭주기 분석; 평가자 8명)",forward,"빠른 템포 트랙(Music B, 124 bpm) 집단의 루트 평균 보행속도는 1.68 m/s로 느린 트랙(Music A, 114 bpm) 1.60 m/s보다 빨랐고(d=0.62), 음악 청취 자체가 특히 '느린 보행자'를 유의하게 가속시켰다(d=0.462); Exp2에서는 동기부여 음악 1.67 m/s vs 비동기부여 음악 1.47 m/s로 격차가 더 컸다. 다만 자발적 동기화는 드물어 70명 중 38명은 어떤 곡과도 동기화하지 않았고, 음악은 구간별 환경에 따른 속도 변동 패턴을 가리지 못했다","Exp1 no-music RM-ANOVA: section F(15,1035)=7.18, p<0.001, η2=0.09; gender F(1,1035)=13.78, p<0.001, η2=0.17; section×direction F(15,1035)=3.23, p≤0.001, η2=0.04. Music condition: music track F(1,750)=3.943, p=0.05, η2=0.07; Music A 1.60 (SD 0.13) vs Music B 1.68 (SD 0.13) m/s, Cohen's d=0.62; slow walkers no-music vs music F(1,63)=5.104, p<0.05, Cohen's d=0.462; fast walkers F(1,69)=2.922, p=0.09, Cohen's d=0.333. Table 3 Exp2 average speed on the route: motivational 1.67 (SD 0.17) vs non-motivational 1.47 (SD 0.14) m/s — Exp2 검정통계는 본문 절단으로 NR"
126,FINAL_INCLUDE,2022,The Science of The Total Environment,Effects of noise on pedestrians in urban environments where road traffic is the main source of sound,Spain,street,survey,105명 (분석단위 29개 sampling point),"도로교통 소음(총 교통량이 LAeq 변동의 83% 설명). 29개 가로에서 15분 실측 — LAeq 48–73 dB, LAFmax 70–89 dB, LAF10 47–77 dB, LAF50 40–70 dB, LAF90 37–60 dB. 마이크 1.5 m 높이, 조작 없음",social,"'이 가로의 환경소음이 어느 정도/얼마나 자주 유발하는가' 0–10점 항목 중 행태 4종 — d) 대면 대화 중단, e) 대면 대화 시 목소리 높임, f) 통화 중단, g) 통화 시 목소리 높임 (a 짜증·b 놀람·c 귀 통증·h/i 소음 지각은 비행태 항목)",자기보고,forward,"소음레벨이 높은 가로일수록 대화 중단·목소리 높임 보고가 증가 — LAeq와 r=0.54~0.65, LAeq 1 dB 상승당 목소리 높임 0.25점(0–10 척도) 증가. 가로 위계가 낮아질수록(SC 1→5) 감소","Table 2 correlation with LAeq: d) 0.63***, e) 0.65***, f) 0.54**, g) 0.64***; LAF50: d) 0.66***, e) 0.70***, f) 0.60***, g) 0.69***; LAF90: d) 0.61***, e) 0.64***, f) 0.57**, g) 0.62***; SC(Spearman): d) −0.62***, e) −0.58***, f) −0.49**, g) −0.64***; T(°C): d) −0.43*, e) −0.48**. Table 5 LAeq regression slope/R2: d) 0.21 / 0.39***, e) 0.25 / 0.42***, f) 0.18 / 0.29**, g) 0.24 / 0.41***. Table 6 stepwise 도시·환경변수 모델 raising volume(e) R2 = 63%. (*p<=0.05, **p<=0.01, ***p<=0.001; n=29 points)"
137,FINAL_INCLUDE,2019,International Journal of Environmental Research and Public Health,An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China,China,street,mixed,"106명 (오프사이트 온라인 설문); 현장관찰·측정 2개 사이트(무용 무리 site1 12→25명, site2 18→45명)","광장무 음악 확성기 방송(18:00–20:00) vs 비무용 시간대(13:00–14:00) 대조. LAeq(mean) 스피커 1 m 지점 — site1 87.50 dBA(비무용 64.03), site2 104.43 dBA(비무용 59.57); 무리 중앙 site1 76.07 / site2 93.03; 가장자리 site1 75.10(비무용 71.43) / site2 74.30(비무용 69.03). LAmax 최대 109.27 dBA",activity; social; space-use,자기보고 광장무 참여 규칙성(Regularly = 월 1회 이상 vs Rarely = 연 2회 미만)과 관람 여부; 현장 민족지 관찰로 기록한 무용 무리 규모 변화·관람·통행·아이 놀이 등 사이트별 활동 구성,자기보고; 현장관찰,both,규칙 참여자는 음악을 불쾌하다고 보고할 확률이 낮고 관람을 즐긴다고 보고할 확률이 높았다(규칙 참여자 관람 Yes 30 / Do not know 5 / No 0). 광장무 활동은 스피커 1 m 지점 LAeq를 23~45 dBA 상승시켜 음환경을 재편,"Table 11 participation regularity × unpleasantness of music: χ2 = 10.26, φ = 0.097, p = 0.0165, df = 3. Table 12 participation regularity × enjoyment of watching: χ2 = 39.27, φ = 0.37, p = 0.000, df = 2. Table 10 gender × regularity: χ2 = 4.77, φ = 0.045, p = 0.029, df = 1. Table 7 mean age × regularity: Regularly n=29 M=50.86 (SD 8.25) vs Rarely n=77 M=39.55 (SD 11.65), Pr(|T|>|t|) = 0.0000, t = 5.5849. Table 2 LAeq point a: site1 87.50 vs 64.03; site2 104.43 vs 59.57. 규칙 참여자 참 비율 95% CI 24%–41.9%"
166,FINAL_INCLUDE,2021,Land,Environmental Features Influence Walking Speed: The Effect of Urban Greenery,Czech Republic,mixed,mixed,"Study 1 = 105명, Study 2 = 72명, Study 3 = 79명 (모두 학부생)","흐라데츠크랄로베 도심 1.75 km 순환 보행로 11개 구간의 지각 음환경 — 5점 척도 항목 8 'There is noise here'와 항목 7 교통량. 구간 5–7(참나무 가로수길) 최저, 차량통행 많은 구간 9–11 최고. 음압레벨 실측·음원 조작 없음",movement,구간별 평균 보행속도(m/s) — 허리 벨트에 착용한 소형 비디오카메라(Sony Bloggie MHS-PM5K) 영상을 ELAN에서 구간 시작·종료 프레임으로 주석 처리해 통과시간으로 산출,센서·GPS·영상·빅데이터 (웨어러블 비디오 영상 계측),forward,"지각 소음·교통이 가장 낮고 자연성·선호가 가장 높은 참나무길 구간 5–7에서 보행속도가 유의하게 가장 느렸고(Study 3 look-around 1.52–1.55 m/s vs 가로 구간 8 1.58 m/s·구간 1 1.62 m/s), 저자는 이를 접근-회피 행동으로 해석. 단 소음→속도 직접 검정은 수행되지 않음","Study 1 walking speed, within-subjects main effect of section: F10,102 = 19.40, p < 0.001, η2 = 0.16 (direction n.s. F1,102 = 1.65, p = 0.20, η2 = 0.02). Study 3: section F7,73 = 53.21, p < 0.001, η2 = 0.42; condition F1,73 = 4.79, p ≤ 0.05, η2 = 0.06; look around 1.60 m/s (SD 0.14) vs do not look around 1.65 m/s (SD 0.13), t = 2.19, p < 0.05, Cohen's d = 0.37. Table 3 perceived Noise across sections F = 179.36, p = 0.001, η2 = 0.72, df 1,10; Traffic F = 264.43, η2 = 0.79; Nature F = 100.88, η2 = 0.60. 소음-보행속도 직접 연관 통계치 NR"
175,FINAL_INCLUDE,2018,International Journal of Environmental Research and Public Health,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland",Ireland,park,survey,"865명 (학생 585 + 교직원 280, Trinity College Dublin 온라인 설문)","자기보고 공원 음량 인상 4범주 — Very quiet 6.1% / Quiet 49.4% / Adequate 39.7% / Noisy or very noisy 4.9%(참조범주), 및 '이 공원이 quiet area로서 가치 있다' 동의 4범주. 음압레벨 실측 없음",space-use; activity,공원 방문빈도 4범주(주 3회 초과 12.5% / 주 1회 27.6% / 월 1회 32.4% / 월 1회 미만 27.5%)를 다항로지스틱 종속변수로 측정. 체류시간(<30분/1시간/2시간 이상)과 방문 주목적(걷기 33.9%·조깅/스포츠 10.3%·휴식 35.1%·사교 16.2%)은 독립변수,자기보고,forward,"지각 음량과 'quiet area' 가치는 어느 방문빈도 모델에서도 유의한 예측변수가 아니었고(귀무), 거주 근접성(도보권 OR 8.1)·방문 요일·방문 이유가 방문빈도를 지배","Table 2 likelihood ratio test — Sound level in the park: Chi-Square 15.45, df 9, Sig. 0.08; Agree or disagree that the park is valuable as a quiet area: Chi-Square 15.80, df 9, Sig. 0.07. Table 3 (ref = Noisy or very noisy), >3 times per week: Very quiet OR 0.37 (0.07, 1.92) p 0.24; Quiet OR 0.3 (0.09, 1.0) p 0.052; Adequate OR 0.31 (0.1, 1.0) p 0.054. Weekly: Very quiet OR 1.2 (0.3, 4.97) p 0.79; Quiet OR 0.99 (0.31, 3.15) p 0.99; Adequate OR 1.68 (0.54, 5.18) p 0.37. Monthly: Very quiet OR 0.5 (0.14, 1.85) p 0.3; Quiet OR 0.77 (0.3, 1.97) p 0.59; Adequate OR 1.13 (0.45, 2.8) p 0.8. Model: Nagelkerke R2 0.4, LR Chi-Square 402.606, df 63, Sig. 0.000"
184,FINAL_INCLUDE,2021,Sustainable Cities and Society,The influence of companion factors on soundscape evaluations in urban public spaces,United Kingdom; China,square,survey,304 (Sheffield 184 + Suzhou 120; 회귀분석 N=301),두 도시 광장의 현장 음환경 — Peace Garden LAeq 65.0–71.7 dB / Guanqian Square LAeq 70.8–75.2 dB; 4개 음원 범주(자연: wind·birds·water·trees / 도시: store music·traffic·construction / 인간: speaking·footsteps·children / 악기: music·bells)를 인지·선호 문항으로 평가,social; activity,자기보고 동반 상태(alone vs accompanied)·관계강도 4수준(partner/spouse·family·friends·alone; Hall 대인거리·Gehl 4유형 기반)·그룹 규모(1·2·3…)·활동유형 8종(아이/노인 동반·친구 만남·스포츠 등 여가·휴식·혼자 즐기기·자연 감상·통행 등),자기보고,reverse,동반자가 있는 사람은 혼자인 사람보다 말소리(OR 1.767)·아이 소리(OR 2.153)를 더 인지하고 'safe'·'social' 사운드를 더 선호했으며 관계강도가 높을수록 아이 소리 인지(연인 OR 4.400)와 인간음 선호(연인 OR 2.845)가 증가했다; 단 사회적 음 선호 회귀모형 R²=0.027로 설명력은 낮고 site 통제 시 일부 효과 소멸,"Table 5 companion status→noticing speaking sound B=0.570, P=0.031, Odd Ratio 1.767; →noticing children sound B=0.767, P=0.004, Odd Ratio 2.153. Table 6 Odd Ratio (95% CI) noticing children sound: partner/spouse 4.400, family 2.588, friends 1.841, alone 1.000; preferring human sounds: 2.845, 2.265, 1.236, 1.000. Table 4 companion-status mean differences Safe-Unsafe -0.355*, Social-Unsocial -0.499**; relationship intensity Social-Unsocial 0.113*; group size Social-Unsocial -0.167**. Table 8 linear regression companion status B=0.477, Std. Error 0.165, Beta 0.165, t=2.895, Sig. 0.004; R Square 0.027, F=9.133, Sig. 0.003b. Table 7 age B=-0.025, P=0.004, Odd Ratio 0.975 vs companion status B=-0.397, P=0.148"
220,FINAL_INCLUDE,2024,Land,The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology,China,street,survey,"471 (40개 조사지점; service-oriented 11 + landscape-oriented 8 가로, 반경 100 m 버퍼)","지각 사운드스케이프 2문항 'The soundscape is pleasant'·'The soundscape is eventful'(1 strongly disagree ~ 7 strongly agree, 1분 관찰 후 평정)를 청각(Sound) 잠재변수로 구성해 PLS-SEM에서 가로공간 특성(도로·건물·녹지·수변)과 행태 사이 매개변수로 투입; 물리 음향 측정치(dB) 없음",staying; social; activity; movement,자기보고 활동빈도 8종 7점 척도(1 rarely ~ 7 very frequently) — 정적: breathe the fresh air·chat·play cards·sunbathe / 동적: run·walk·walk the dog·shopping (SEM 단계에서 walking·shopping 지표는 요인부하 기준 미달로 모형에서 제외),자기보고,forward,"도로·수변 특성은 행태에 직접효과와 함께 청각·후각·촉각 지각을 매개로 한 정(+)의 간접효과를 보였고, 녹지는 청각·촉각 지각을 통해 정적 행태에 부(-)의 영향을 미쳤다; 저자 결론은 후각 지각의 영향이 가장 크다는 것","Table 8 indirect effects via multi-sensory perception — Static activity: Road β=0.141, p=0.001, 95%CI[0.098,0.192]; Building β=-0.087, p=0.008, 95%CI[-0.155,-0.024]; Green space β=-0.095, p=0.001, 95%CI[-0.151,-0.044]; Water β=0.192 direct/0.176 indirect, p=0.001, 95%CI[0.109,0.248]. Dynamic activities: Road β=0.097, p=0.000, 95%CI[0.057,0.144]; Building β=-0.054, p=0.040, 95%CI[-0.103,-0.001]; Green space β=-0.055, p=0.015, 95%CI[-0.101,-0.011]; Water β=0.121, p=0.001, 95%CI[0.058,0.198]. 청각 단독 경로계수는 Figure 6에만 표시되어 본문 수치 NR. (참고 Table 7: WSR→sunbathe Beta=0.371, t=8.299***, R2=0.129; WSR→walk Beta=0.279, t=5.939***, R2=0.150)"
