rec,chars,pages,was_truncated,title,journal,year,verdict
1,43678,19,no,The influence of crowd density on the sound environment of commercial pedestrian streets,The Science of The Total Environment,2014,FINAL_INCLUDE
7,77654,13,yes,Do soundscape perceptions vary over length of stay within urban parks?,Journal of Outdoor Recreation and Tourism,2023,FINAL_INCLUDE
25,32269,7,no,Environmental noise level as a determinant of helping behavior.,Journal of Personality and Social Psychology,1975,FINAL_INCLUDE
90,80183,14,yes,Tempo and walking speed with music in the urban context,Frontiers in Psychology,2014,FINAL_INCLUDE
126,77821,11,yes,Effects of noise on pedestrians in urban environments where road traffic is the main source of sound,The Science of The Total Environment,2022,FINAL_INCLUDE
137,46888,16,yes,An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China,International Journal of Environmental Research and Public Health,2019,FINAL_INCLUDE
166,77984,20,yes,Environmental Features Influence Walking Speed: The Effect of Urban Greenery,Land,2021,FINAL_INCLUDE
175,41138,11,no,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland",International Journal of Environmental Research and Public Health,2018,FINAL_INCLUDE
184,69096,40,yes,The influence of companion factors on soundscape evaluations in urban public spaces,Sustainable Cities and Society,2021,FINAL_INCLUDE
220,59747,18,yes,The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology,Land,2024,FINAL_INCLUDE
322,66840,18,yes,Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acoustic Variables Related to Sound Energy in Urban Environments,Applied Sciences,2024,FINAL_INCLUDE
335,91381,19,yes,EnvironZen: Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas,i-com,2022,FINAL_INCLUDE
348,96472,32,yes,Noise Levels Due to Commercial and Leisure Activities in Urban Areas: Experimental Validation of a Numerical Model Fed with Crowd Density Estimation Using Computer Vision,Sensors,2025,FINAL_INCLUDE
356,75829,31,yes,Soundscape and public realm – a quasi-experimental comparison between Individual Vocabulary Profiling and Public Space Index assessments during COVID-19 lockdown,Journal of Urbanism International Research on Placemaking and Urban Sustainability,2025,SENS_ONLY
371,62449,15,yes,Three pedestrian phasing with audible pedestrian signals configurations: Experience of blind or visually impaired persons in Quebec City (Canada),Journal of Transport & Health,2024,FINAL_INCLUDE
414,60113,15,yes,"Behavioral mapping of multisensory experience and engagement in accessible gardens: a case study of Xuanwu Lake Park, Nanjing",Frontiers in Psychology,2026,FINAL_INCLUDE
