file,rec,how,score,title,dest
1-s2.0-S0048969722065056-main.pdf,126,doi/dup,1.00,,
1-s2.0-S0169204615002261-main.pdf,40,doi/dup,1.00,,
1-s2.0-S0169204616302705-main.pdf,63,doi/dup,1.00,,
1-s2.0-S0169204625001707-main.pdf,,no-match,,,
1-s2.0-S0264275116305364-main.pdf,,no-match,,,
1-s2.0-S0264275124004670-main.pdf,274,doi/dup,1.00,,
1-s2.0-S0264275124007571-main.pdf,212,doi/dup,1.00,,
1-s2.0-S0264275125007681-main.pdf,343,doi/dup,1.00,,
1-s2.0-S036013232401103X-main.pdf,265,doi/dup,1.00,,
1-s2.0-S0360132326008644-main.pdf,428,doi/dup,1.00,,
1-s2.0-S0966692322002332-main.pdf,219,doi/dup,1.00,,
1-s2.0-S0966692324000206-main.pdf,267,doi/dup,1.00,,
1-s2.0-S0966692325000705-main.pdf,182,doi/dup,1.00,,
1-s2.0-S0966692326001079-main.pdf,413,doi/dup,1.00,,
1-s2.0-S1439179125001033-main.pdf,328,doi/dup,1.00,,
1-s2.0-S1574954125005576-main.pdf,395,doi/dup,1.00,,
1-s2.0-S1618866724001237-main.pdf,285,doi/dup,1.00,,
1-s2.0-S1618866724003376-main.pdf,241,doi/dup,1.00,,
1-s2.0-S1618866725002031-main.pdf,273,doi,1.00,Exploring multiscale relationships between environmental characteristics and recreational trail-based activities in urban natural areas: A regional study leveraging user-generated big data and machine learning,CT0273_2025_Exploring multiscale relationships between environmental characteristics and recreationa.pdf
1-s2.0-S2210670716300336-main.pdf,106,doi/dup,1.00,,
1-s2.0-S2214367X21000442-main.pdf,128,doi/dup,1.00,,
1-s2.0-S2226585624000633-main.pdf,233,doi/dup,1.00,,
10.1177_09574565221114660.pdf,327,doi,1.00,Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria,CT0327_2022_Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lo.pdf
10.1515_icom-2022-0020.pdf,335,doi/dup,1.00,,
"14,+5695-5706,+16432,+BOUTTABA+et+al-new.pdf",365,doi/dup,1.00,,
22214967-MIT.pdf,18,title/dup,0.99,,
4474_1_online.pdf,123,doi/dup,1.00,,
Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity.pdf,410,doi/dup,1.00,,
Mathews.pdf,25,title/dup,0.99,,
Percentile-levelexaminationoftenacousticindicators.pdf,10,doi/dup,1.00,,
"Qi Meng, Jian Kang 2014.pdf",1,doi/dup,1.00,,
Soundscape_and_Sound_Preferences_in_Urban_Squares_.pdf,21,doi/dup,1.00,,
"The Impact of Parental and Park Factors on Children’s Urban Park Use in Shanghai, China.pdf",390,doi/dup,1.00,,
aacus260104.pdf,382,doi/dup,1.00,,
main.pdf,7,doi/dup,1.00,,
s44384-025-00003-y.pdf,,no-match,,,
01_Passport.pdf,,no-match,,,
02_Business Card.pdf,,no-match,,,
02_Manuscript_초안.pdf,,no-match,,,
03_Invitation Letter.pdf,,no-match,,,
10.1515_noise-2016-0016.pdf,,no-match,,,
2026(상) SK하이닉스 Talent hy-way(신입) Job Description(이천).pdf,,no-match,,,
2026년_04월_요금안내서.pdf,,__ERR__ValueError,,,
BAE-D-26-04792 (1).pdf,,no-match,,,
BAE-D-26-04792.pdf,,no-match,,,
HyunInJo_Final.pdf,,no-match,,,
JASA-S-26-00608 (1).pdf,,no-match,,,
JASA-S-26-00608.pdf,,no-match,,,
JD_Infra.pdf,,no-match,,,
JD_Staff.pdf,,no-match,,,
JD_Tech R_D.pdf,,no-match,,,
JD_제조.pdf,,no-match,,,
Registration Form_2025 모드해석.pdf,,no-match,,,
SCSI-D-26-05820.pdf,,no-match,,,
Sejong_Seminar_Hyun In Jo.pdf,,no-match,,,
applsci-14-11212.pdf,322,doi/dup,1.00,,
fnins-20-1787255.pdf,,no-match,,,
fpsyg-17-1733848.pdf,414,doi/dup,1.00,,
ijerph-07-03359.pdf,80,doi/dup,1.00,,
ijerph-15-00815.pdf,175,doi/dup,1.00,,
ijerph-16-00840-v2.pdf,137,doi/dup,1.00,,
ijgi-13-00262-v2.pdf,269,doi/dup,1.00,,
infrastructures-10-00137-v2.pdf,309,doi/dup,1.00,,
land-10-00459.pdf,166,doi/dup,1.00,,
land-12-01838.pdf,208,doi/dup,1.00,,
land-14-00050-v2.pdf,220,doi/dup,1.00,,
okaro_folio2_8188232 (1).PDF,,no-match,,,
okaro_folio2_8188232.PDF,,no-match,,,
s41599-024-03929-y.pdf,,no-match,,,
sensors-25-03604-v2.pdf,348,doi/dup,1.00,,
slide_versions_full.pdf,,no-match,,,
sustainability-13-08423-v3.pdf,268,doi/dup,1.00,,
sustainability-17-07564-v3.pdf,342,doi/dup,1.00,,
