rec,screen,year,journal,doi,behavior_hint,pages,chars,title,pdf
1,RETRIEVE,2014,The Science of The Total Environment,10.1016/j.scitotenv.2014.12.060,역방향: 군중밀도→음환경,19,43678,The influence of crowd density on the sound environment of commercial pedestrian streets,CT0001_2014_The influence of crowd density on the sound environment of commercial pedestrian streets.pdf
7,RETRIEVE,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100728,공원 체류시간,13,46030,Do soundscape perceptions vary over length of stay within urban parks?,CT0007_2023_Do soundscape perceptions vary over length of stay within urban parks.pdf
21,RETRIEVE,2005,Journal of Urban Design,10.1080/13574800500062395,자기보고 광장 이용선택,20,46030,Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield,CT0021_2005_Soundscape and Sound Preferences in Urban Squares A Case Study in Sheffield.pdf
25,RETRIEVE,1975,Journal of Personality and Social Psychology,10.1037/0022-3514.32.4.571,도움행동(사회적 상호작용),7,32269,Environmental noise level as a determinant of helping behavior.,CT0025_1975_Environmental noise level as a determinant of helping behavior..pdf
80,RETRIEVE,2010,International Journal of Environmental Research and Public Health,10.3390/ijerph7093359,중정 이용·옥외활동 방해,17,46030,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?",CT0080_2010_Attractive Quiet Courtyards A Potential Modifier of Urban Residents Responses to Road Tr.pdf
90,RETRIEVE,2014,Frontiers in Psychology,10.3389/fpsyg.2014.01361,보행속도(음악 템포),14,46030,Tempo and walking speed with music in the urban context,CT0090_2014_Tempo and walking speed with music in the urban context.pdf
123,RETRIEVE,2021,The Journal of the Acoustical Society of America,10.1121/10.0008928,역방향: 활동변화→사운드스케이프,16,46030,Investigating urban soundscapes of the COVID-19 lockdown: A predictive soundscape modeling approach,CT0123_2021_Investigating urban soundscapes of the COVID-19 lockdown A predictive soundscape modelin.pdf
126,RETRIEVE,2022,The Science of The Total Environment,10.1016/j.scitotenv.2022.159406,보행자 소음영향 반응,11,46030,Effects of noise on pedestrians in urban environments where road traffic is the main source of sound,CT0126_2022_Effects of noise on pedestrians in urban environments where road traffic is the main sou.pdf
128,RETRIEVE,2021,Travel Behaviour and Society,10.1016/j.tbs.2021.05.006,자전거 이용행태(자기보고),14,46030,How does the individual perception of local conditions affect cycling? An analysis of the impact of built and non-built environment factors on cycling behaviour and attitudes in an urban setting,CT0128_2021_How does the individual perception of local conditions affect cycling An analysis of the.pdf
137,RETRIEVE,2019,International Journal of Environmental Research and Public Health,10.3390/ijerph16050840,역방향: 광장무 참여·활동,16,46030,An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China,CT0137_2019_An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urba.pdf
166,RETRIEVE,2021,Land,10.3390/land10050459,보행속도 실측,20,46030,Environmental Features Influence Walking Speed: The Effect of Urban Greenery,CT0166_2021_Environmental Features Influence Walking Speed The Effect of Urban Greenery.pdf
175,RETRIEVE,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15040815,공원 방문빈도,11,41138,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland","CT0175_2018_How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland.pdf"
184,RETRIEVE,2021,Sustainable Cities and Society,10.1016/j.scs.2021.102860,동반자 유무·사회적 동반,40,46030,The influence of companion factors on soundscape evaluations in urban public spaces,CT0184_2021_The influence of companion factors on soundscape evaluations in urban public spaces.pdf
208,RETRIEVE,2023,Land,10.3390/land12101838,공원 보행량·보행행태,23,46030,"Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting","CT0208_2023_Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting.pdf"
209,RETRIEVE,2016,Journal of Environmental Engineering and Landscape Management,10.3846/16486897.2016.1172076,보행(발자국음 유발),11,46030,THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN PARKS,CT0209_2016_THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN.pdf
220,RETRIEVE,2024,Land,10.3390/land14010050,가로 보행·정적 활동빈도,18,46030,The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology,CT0220_2024_The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces An E.pdf
233,RETRIEVE,2024,Journal of Urban Management,10.1016/j.jum.2024.05.004,공원 내 신체활동 수준,12,46030,Spatiotemporal association of urban park characteristics and physical activity levels based on GTWR: A serial cross-sectional observational study,CT0233_2024_Spatiotemporal association of urban park characteristics and physical activity levels ba.pdf
268,RETRIEVE,2021,Sustainability,10.3390/su13158423,공간 이용유형·이용강도,23,46030,"Acoustic Environment of Urban Historical Places: A Case Study in Kastamonu, Turkey","CT0268_2021_Acoustic Environment of Urban Historical Places A Case Study in Kastamonu, Turkey.pdf"
269,RETRIEVE,2024,ISPRS International Journal of Geo-Information,10.3390/ijgi13070262,노인 사회적 상호작용,13,46030,The Influence of Perceptions of the Park Environment on the Health of the Elderly: The Mediating Role of Social Interaction,CT0269_2024_The Influence of Perceptions of the Park Environment on the Health of the Elderly The Me.pdf
273,RETRIEVE,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128869,러닝·사이클링 트레일 이용,14,46030,Exploring multiscale relationships between environmental characteristics and recreational trail-based activities in urban natural areas: A regional study leveraging user-generated big data and machine learning,CT0273_2025_Exploring multiscale relationships between environmental characteristics and recreationa.pdf
296,RETRIEVE,2022,Journal of Engineering and Technological Sciences,10.5614/j.eng.technol.sci.2022.54.1.7,활동유형별 이상 음환경 비교,14,30835,The Implementation of Soundscape Composition to Identify the Ideal Soundscape for Various Activities,CT0296_2022_The Implementation of Soundscape Composition to Identify the Ideal Soundscape for Various .pdf
309,RETRIEVE,2025,Infrastructures,10.3390/infrastructures10060137,노인 보행자 수·보행행태,22,46030,"Older Adults’ Walking Behavior and the Associated Built Environment in Medium-Income Central Neighborhoods of Santiago, Chile",CT0309_2025_Older Adults Walking Behavior and the Associated Built Environment in Medium-Income Cent.pdf
320,RETRIEVE,2023,PLANNING MALAYSIA,10.21837/pm.v21i30.1406,성별 보행 행태 차이,17,46030,"EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERITAGE CITY: THE CASE OF GULANGYU, CHINA",CT0320_2023_EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERITAGE CITY THE CASE O.pdf
322,RETRIEVE,2024,Applied Sciences,10.3390/app142311212,보행 중 통화방해·활동방해,18,46030,Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acoustic Variables Related to Sound Energy in Urban Environments,CT0322_2024_Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acou.pdf
327,RETRIEVE,2022,Noise & Vibration Worldwide,10.1177/09574565221114660,카페테라스 이용·휴식·대화 활동,13,46030,Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria,CT0327_2022_Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lo.pdf
335,RETRIEVE,2022,i-com,10.1515/icom-2022-0020,보행속도 감속·경로 유도,19,46030,EnvironZen: Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas,CT0335_2022_EnvironZen Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas.pdf
