rec,verdict,reason_code,note,doi,title
1,CANDIDATE,,"군중밀도가 보행가로 음환경 형성 — 역방향 행태-음환경",10.1016/j.scitotenv.2014.12.060,"The influence of crowd density on the sound environment of commercial pedestrian streets"
2,EXCLUDE,E1,"도시숲 조류 활동 대상 생태음향",10.1016/j.ufug.2020.126822,"Soundscape mapping for spatial-temporal estimate on bird activities in urban forests"
3,EXCLUDE,E4,"주거지 교통소음 지각만 다룸",10.1121/1.4979336,"The effects of neighborhood views containing multiple environmental features on road traffic noise perception at dwellings"
4,EXCLUDE,E4,"가로녹시율-음향쾌적성 지각 결과만",10.1016/j.landurbplan.2023.104839,"How visible street greenery moderates traffic noise to improve acoustic comfort in pedestrian environments"
5,EXCLUDE,E4,"시청각 지각특성·환경건강 평가만",10.3389/fpsyg.2023.1122639,"The effects of audio-visual perceptual characteristics on environmental health of pedestrian streets with traffic noise: A case study in Dalian, China"
6,EXCLUDE,E4,"크라우드센싱 소음 모니터링·정책 활용",10.1080/23748834.2019.1617656,"Mobile crowd-sensing as a resource for contextualized urban public policies: a study using three use cases on noise and soundscape monitoring"
7,CANDIDATE,,"공원 체류시간(길이)과 음환경 지각 연계",10.1016/j.jort.2023.100728,"Do soundscape perceptions vary over length of stay within urban parks?"
8,EXCLUDE,E4,"캠퍼스 쾌적성 지도화 방법만",10.1515/noise-2022-0178,"Soundscape maps of pleasantness in a university campus by crowd-sourced measurements interpolation"
9,EXCLUDE,E4,"새소리·소음의 지각 영향만",10.1016/j.ufug.2025.128838,"Urban dwellers' perceptions of soundscapes and landscapes: Impacts of birdsongs and noises, and moderation by demographic characteristics"
10,MAYBE,,"보행자 대상 소음영향 — 결과변수 성격 불명",10.1016/j.buildenv.2025.113572,"Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians"
11,EXCLUDE,E4,"건물높이-음환경 물리적 분석",10.1121/10.0044150,"Effects of symmetric building heights along streets on the sound environment of pedestrian spaces"
12,EXCLUDE,E5,"질적연구 종합 리뷰",10.1016/j.healthplace.2010.03.003,"Characteristics of urban parks associated with park use and physical activity: A review of qualitative research"
13,EXCLUDE,E2,"실내 슈퍼마켓 배경음악 실험",10.2307/1251706,"Using Background Music to Affect the Behavior of Supermarket Shoppers"
14,EXCLUDE,E3,"공원 사회적 상호작용 — 음환경 변수 없음",10.1016/j.ufug.2009.11.003,"Social interactions in urban parks: Stimulating social cohesion?"
15,EXCLUDE,E3,"공원 특성-신체활동 — 음환경 변수 없음",10.2105/ajph.2007.129064,"Association of Park Size, Distance, and Features With Physical Activity in Neighborhood Parks"
16,EXCLUDE,E3,"녹지-건강 경로 — 음환경 변수 없음",10.1016/j.envint.2016.02.029,"Green spaces and General Health: Roles of mental health status, social support, and physical activity"
