rec,screen,state,reason,oa_status,year,journal,doi,title
1,RETRIEVE,retrieved,,closed,2014,The Science of The Total Environment,10.1016/j.scitotenv.2014.12.060,The influence of crowd density on the sound environment of commercial pedestrian streets
7,RETRIEVE,retrieved,,closed,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100728,Do soundscape perceptions vary over length of stay within urban parks?
10,UNCERTAIN,retrieved,,closed,2025,Building and Environment,10.1016/j.buildenv.2025.113572,Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians
17,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2004,Applied Acoustics,10.1016/j.apacoust.2004.07.011,Acoustic comfort evaluation in urban open public spaces
18,UNCERTAIN,retrieved,,green,1969,Environment and Behavior,10.1177/001391656900100104,The Sonic Environment of Cities
21,RETRIEVE,retrieved,,closed,2005,Journal of Urban Design,10.1080/13574800500062395,Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield
25,RETRIEVE,retrieved,,closed,1975,Journal of Personality and Social Psychology,10.1037/0022-3514.32.4.571,Environmental noise level as a determinant of helping behavior.
34,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2013,Landscape and Urban Planning,10.1016/j.landurbplan.2013.03.008,Spatiotemporal variability of soundscapes in a multiple functional urban area
40,UNCERTAIN,retrieved,,green,2016,Landscape and Urban Planning,10.1016/j.landurbplan.2015.11.002,Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá
63,UNCERTAIN,retrieved,,green,2017,Landscape and Urban Planning,10.1016/j.landurbplan.2016.12.004,Park attributes that encourage park visitation among adolescents: A conjoint analysis
80,RETRIEVE,retrieved,,gold,2010,International Journal of Environmental Research and Public Health,10.3390/ijerph7093359,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?"
90,RETRIEVE,retrieved,,gold,2014,Frontiers in Psychology,10.3389/fpsyg.2014.01361,Tempo and walking speed with music in the urban context
100,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100621,"National forest park visitors’ connectedness to nature and pro-environmental behavior: The effects of cultural ecosystem service, place and event attachment"
106,UNCERTAIN,retrieved,,green,2016,Sustainable Cities and Society,10.1016/j.scs.2016.03.002,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks
108,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2010,URBAN DESIGN International,10.1057/udi.2010.20,Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS
123,RETRIEVE,retrieved,,hybrid,2021,The Journal of the Acoustical Society of America,10.1121/10.0008928,Investigating urban soundscapes of the COVID-19 lockdown: A predictive soundscape modeling approach
125,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103435,Residential and workplace neighborhood environments and life satisfaction: Exploring chain-mediation effects of activity and place satisfaction
126,RETRIEVE,retrieved,,hybrid,2022,The Science of The Total Environment,10.1016/j.scitotenv.2022.159406,Effects of noise on pedestrians in urban environments where road traffic is the main source of sound
128,RETRIEVE,retrieved,,hybrid,2021,Travel Behaviour and Society,10.1016/j.tbs.2021.05.006,How does the individual perception of local conditions affect cycling? An analysis of the impact of built and non-built environment factors on cycling behaviour and attitudes in an urban setting
137,RETRIEVE,retrieved,,gold,2019,International Journal of Environmental Research and Public Health,10.3390/ijerph16050840,An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China
142,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2017,Urban forestry & urban greening,10.1016/j.ufug.2017.08.018,Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park
153,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2024,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2024.102204,Machine-based understanding of noise perception in urban environments using mobility-based sensing data
166,RETRIEVE,retrieved,,gold,2021,Land,10.3390/land10050459,Environmental Features Influence Walking Speed: The Effect of Urban Greenery
171,UNCERTAIN,not-retrieved,기관 구독 범위 밖 또는 접근 차단,closed,2021,The Science of The Total Environment,10.1016/j.scitotenv.2021.149869,Effects of a human sound-based index on the soundscapes of urban open spaces
175,RETRIEVE,retrieved,,gold,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15040815,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland"
182,UNCERTAIN,retrieved,,closed,2025,Journal of Transport Geography,10.1016/j.jtrangeo.2025.104179,Deciphering urban cycling: Analyzing the nonlinear impact of street environments on cycling volume using crowdsourced tracker data and machine learning
184,RETRIEVE,retrieved,,green,2021,Sustainable Cities and Society,10.1016/j.scs.2021.102860,The influence of companion factors on soundscape evaluations in urban public spaces
