rec,screen,oa_status,result,year,journal,doi,pdf_url,landing,behavior_hint,file,title
1,RETRIEVE,closed,no-oa-pdf,2014,The Science of The Total Environment,10.1016/j.scitotenv.2014.12.060,,,역방향: 군중밀도→음환경,,The influence of crowd density on the sound environment of commercial pedestrian streets
7,RETRIEVE,closed,no-oa-pdf,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100728,,,공원 체류시간,,Do soundscape perceptions vary over length of stay within urban parks?
10,UNCERTAIN,closed,no-oa-pdf,2025,Building and Environment,10.1016/j.buildenv.2025.113572,,,,,Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians
17,UNCERTAIN,closed,no-oa-pdf,2004,Applied Acoustics,10.1016/j.apacoust.2004.07.011,,,,,Acoustic comfort evaluation in urban open public spaces
18,UNCERTAIN,green,no-oa-pdf,1969,Environment and Behavior,10.1177/001391656900100104,,http://hdl.handle.net/1721.1/102214,,,The Sonic Environment of Cities
21,RETRIEVE,closed,no-oa-pdf,2005,Journal of Urban Design,10.1080/13574800500062395,,,자기보고 광장 이용선택,,Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield
25,RETRIEVE,closed,no-oa-pdf,1975,Journal of Personality and Social Psychology,10.1037/0022-3514.32.4.571,,,도움행동(사회적 상호작용),,Environmental noise level as a determinant of helping behavior.
34,UNCERTAIN,closed,no-oa-pdf,2013,Landscape and Urban Planning,10.1016/j.landurbplan.2013.03.008,,,,,Spatiotemporal variability of soundscapes in a multiple functional urban area
40,UNCERTAIN,green,no-oa-pdf,2016,Landscape and Urban Planning,10.1016/j.landurbplan.2015.11.002,,https://www.sciencedirect.com/science/article/abs/pii/S0169204615002261,,,Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá
63,UNCERTAIN,green,no-oa-pdf,2017,Landscape and Urban Planning,10.1016/j.landurbplan.2016.12.004,,http://hdl.handle.net/2013/ULB-DIPOT:oai:dipot.ulb.ac.be:2013/396064,,,Park attributes that encourage park visitation among adolescents: A conjoint analysis
80,RETRIEVE,gold,http403,2010,International Journal of Environmental Research and Public Health,10.3390/ijerph7093359,https://www.mdpi.com/1660-4601/7/9/3359/pdf?version=1403138545,https://doi.org/10.3390/ijerph7093359,중정 이용·옥외활동 방해,,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?"
90,RETRIEVE,gold,ok,2014,Frontiers in Psychology,10.3389/fpsyg.2014.01361,https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01361/pdf,https://doi.org/10.3389/fpsyg.2014.01361,보행속도(음악 템포),CT0090_2014_Tempo and walking speed with music in the urban context.pdf,Tempo and walking speed with music in the urban context
100,UNCERTAIN,closed,no-oa-pdf,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100621,,,,,"National forest park visitors’ connectedness to nature and pro-environmental behavior: The effects of cultural ecosystem service, place and event attachment"
106,UNCERTAIN,green,no-oa-pdf,2016,Sustainable Cities and Society,10.1016/j.scs.2016.03.002,,http://porto.polito.it/2670007/,,,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks
108,UNCERTAIN,closed,no-oa-pdf,2010,URBAN DESIGN International,10.1057/udi.2010.20,,,,,Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS
123,RETRIEVE,hybrid,not-pdf,2021,The Journal of the Acoustical Society of America,10.1121/10.0008928,https://asa.scitation.org/doi/pdf/10.1121/10.0008928,https://doi.org/10.1121/10.0008928,역방향: 활동변화→사운드스케이프,,Investigating urban soundscapes of the COVID-19 lockdown: A predictive soundscape modeling approach
125,UNCERTAIN,closed,no-oa-pdf,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103435,,,,,Residential and workplace neighborhood environments and life satisfaction: Exploring chain-mediation effects of activity and place satisfaction
126,RETRIEVE,hybrid,no-oa-pdf,2022,The Science of The Total Environment,10.1016/j.scitotenv.2022.159406,,https://doi.org/10.1016/j.scitotenv.2022.159406,보행자 소음영향 반응,,Effects of noise on pedestrians in urban environments where road traffic is the main source of sound
128,RETRIEVE,hybrid,no-oa-pdf,2021,Travel Behaviour and Society,10.1016/j.tbs.2021.05.006,,https://doi.org/10.1016/j.tbs.2021.05.006,자전거 이용행태(자기보고),,How does the individual perception of local conditions affect cycling? An analysis of the impact of built and non-built environment factors on cycling behaviour and attitudes in an urban setting
137,RETRIEVE,gold,http403,2019,International Journal of Environmental Research and Public Health,10.3390/ijerph16050840,https://www.mdpi.com/1660-4601/16/5/840/pdf?version=1552389690,https://doi.org/10.3390/ijerph16050840,역방향: 광장무 참여·활동,,An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China
142,UNCERTAIN,closed,no-oa-pdf,2017,Urban forestry & urban greening,10.1016/j.ufug.2017.08.018,,,,,Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park
153,UNCERTAIN,closed,no-oa-pdf,2024,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2024.102204,,,,,Machine-based understanding of noise perception in urban environments using mobility-based sensing data
166,RETRIEVE,gold,http403,2021,Land,10.3390/land10050459,https://www.mdpi.com/2073-445X/10/5/459/pdf?version=1619266643,https://doi.org/10.3390/land10050459,보행속도 실측,,Environmental Features Influence Walking Speed: The Effect of Urban Greenery
171,UNCERTAIN,closed,no-oa-pdf,2021,The Science of The Total Environment,10.1016/j.scitotenv.2021.149869,,,,,Effects of a human sound-based index on the soundscapes of urban open spaces
175,RETRIEVE,gold,http403,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15040815,https://www.mdpi.com/1660-4601/15/4/815/pdf,https://doi.org/10.3390/ijerph15040815,공원 방문빈도,,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland"
182,UNCERTAIN,closed,no-oa-pdf,2025,Journal of Transport Geography,10.1016/j.jtrangeo.2025.104179,,,,,Deciphering urban cycling: Analyzing the nonlinear impact of street environments on cycling volume using crowdsourced tracker data and machine learning
184,RETRIEVE,green,ok,2021,Sustainable Cities and Society,10.1016/j.scs.2021.102860,https://discovery.ucl.ac.uk/10127934/1/WhiteroseVersion_companions.pdf,https://discovery.ucl.ac.uk/id/eprint/10127934/,동반자 유무·사회적 동반,CT0184_2021_The influence of companion factors on soundscape evaluations in urban public spaces.pdf,The influence of companion factors on soundscape evaluations in urban public spaces
190,RETRIEVE,bronze,http403,2020,Environment and Planning B Urban Analytics and City Science,10.1177/2399808320965243,https://journals.sagepub.com/doi/pdf/10.1177/2399808320965243?download=true,https://doi.org/10.1177/2399808320965243,일상활동·이동(GPS·활동일지),,The effects of activity-related contexts on individual sound exposures: A time–geographic approach to soundscape studies
208,RETRIEVE,gold,http403,2023,Land,10.3390/land12101838,https://www.mdpi.com/2073-445X/12/10/1838/pdf?version=1695724383,https://doi.org/10.3390/land12101838,공원 보행량·보행행태,,"Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting"
209,RETRIEVE,gold,ok,2016,Journal of Environmental Engineering and Landscape Management,10.3846/16486897.2016.1172076,https://journals.vgtu.lt/index.php/JEELM/article/download/1746/1368,https://doi.org/10.3846/16486897.2016.1172076,보행(발자국음 유발),CT0209_2016_THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN.pdf,THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN PARKS
212,UNCERTAIN,closed,no-oa-pdf,2024,Cities,10.1016/j.cities.2024.105543,,,,,How do urban green space attributes affect visitation and satisfaction? An empirical study based on multisource data
219,UNCERTAIN,green,no-oa-pdf,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103510,,https://www.ncbi.nlm.nih.gov/pmc/articles/9742218,,,The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience
220,RETRIEVE,gold,http403,2024,Land,10.3390/land14010050,https://www.mdpi.com/2073-445X/14/1/50/pdf?version=1735481770,https://doi.org/10.3390/land14010050,가로 보행·정적 활동빈도,,The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology
221,UNCERTAIN,closed,no-oa-pdf,2024,Applied Geography,10.1016/j.apgeog.2024.103274,,,,,Association between built environment factors and collective walking behavior in peri-urban area: Evidence from Chengdu
223,UNCERTAIN,closed,no-oa-pdf,2019,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2019.100227,,,,,Perceived importance of and satisfaction with nature observation activities in urban green areas
233,RETRIEVE,gold,no-oa-pdf,2024,Journal of Urban Management,10.1016/j.jum.2024.05.004,,https://doi.org/10.1016/j.jum.2024.05.004,공원 내 신체활동 수준,,Spatiotemporal association of urban park characteristics and physical activity levels based on GTWR: A serial cross-sectional observational study
241,UNCERTAIN,closed,no-oa-pdf,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128539,,,,,Exploring the negative perceptions of tree-based urban green space. People's behaviour and management are crucial
264,UNCERTAIN,closed,no-oa-pdf,2024,Applied Geography,10.1016/j.apgeog.2024.103382,,,,,Comparing the impacts of built environment across different objective life neighborhoods on the out-of-home leisure activities of employed people using massive mobile phone data
265,UNCERTAIN,green,http403,2024,Building and Environment,10.1016/j.buildenv.2024.112261,https://hull-repository.worktribe.com/file/4922749/1/Accepted%20manuscript,https://hull-repository.worktribe.com/output/4922749,,,Determinants of soundscape quality of communal open space in Hong Kong
267,UNCERTAIN,closed,no-oa-pdf,2024,Journal of Transport Geography,10.1016/j.jtrangeo.2024.103811,,,,,Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities: Go-along interviews with less mobile pedestrians in Singapore
268,RETRIEVE,gold,http403,2021,Sustainability,10.3390/su13158423,,https://doi.org/10.3390/su13158423,공간 이용유형·이용강도,,"Acoustic Environment of Urban Historical Places: A Case Study in Kastamonu, Turkey"
269,RETRIEVE,gold,http403,2024,ISPRS International Journal of Geo-Information,10.3390/ijgi13070262,https://www.mdpi.com/2220-9964/13/7/262/pdf?version=1721714746,https://doi.org/10.3390/ijgi13070262,노인 사회적 상호작용,,The Influence of Perceptions of the Park Environment on the Health of the Elderly: The Mediating Role of Social Interaction
273,RETRIEVE,hybrid,no-oa-pdf,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128869,,https://doi.org/10.1016/j.ufug.2025.128869,러닝·사이클링 트레일 이용,,Exploring multiscale relationships between environmental characteristics and recreational trail-based activities in urban natural areas: A regional study leveraging user-generated big data and machine learning
274,UNCERTAIN,closed,no-oa-pdf,2024,Cities,10.1016/j.cities.2024.105253,,,,,COVID-19 pandemic changes the outdoor physical activity preference in Chinese city: A 7-year GPS trajectory data analysis
285,UNCERTAIN,closed,no-oa-pdf,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128325,,,,,"Is the grass greener or the water bluer? Drivers of local park visitation patterns in Phoenix, Arizona"
296,RETRIEVE,gold,ok,2022,Journal of Engineering and Technological Sciences,10.5614/j.eng.technol.sci.2022.54.1.7,https://journals.itb.ac.id/index.php/jets/article/download/14853/5634,https://doi.org/10.5614/j.eng.technol.sci.2022.54.1.7,활동유형별 이상 음환경 비교,CT0296_2022_The Implementation of Soundscape Composition to Identify the Ideal Soundscape for Various .pdf,The Implementation of Soundscape Composition to Identify the Ideal Soundscape for Various Activities
307,UNCERTAIN,green,no-oa-pdf,2023,Environmental Science and Pollution Research,10.1007/s11356-023-30631-4,,http://hdl.handle.net/10662/18747,,,Drastic mobility restrictions during SARS-CoV-2 pandemic: an opportunity to learn about constraints on the way to a pollution-free city
309,RETRIEVE,gold,http403,2025,Infrastructures,10.3390/infrastructures10060137,https://www.mdpi.com/2412-3811/10/6/137/pdf?version=1748768974,https://doi.org/10.3390/infrastructures10060137,노인 보행자 수·보행행태,,"Older Adults’ Walking Behavior and the Associated Built Environment in Medium-Income Central Neighborhoods of Santiago, Chile"
313,UNCERTAIN,closed,no-oa-pdf,2025,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2025.102348,,,,,The association of subjective physical disorder and pedestrian volume: A big urban data and machine-learning approach
320,RETRIEVE,hybrid,ok,2023,PLANNING MALAYSIA,10.21837/pm.v21i30.1406,https://www.planningmalaysia.org/index.php/pmj/article/download/1406/1086,https://doi.org/10.21837/pm.v21i30.1406,성별 보행 행태 차이,CT0320_2023_EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERITAGE CITY THE CASE O.pdf,"EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERITAGE CITY: THE CASE OF GULANGYU, CHINA"
322,RETRIEVE,gold,http403,2024,Applied Sciences,10.3390/app142311212,https://www.mdpi.com/2076-3417/14/23/11212/pdf?version=1733124151,https://doi.org/10.3390/app142311212,보행 중 통화방해·활동방해,,Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acoustic Variables Related to Sound Energy in Urban Environments
327,RETRIEVE,green,no-oa-pdf,2022,Noise & Vibration Worldwide,10.1177/09574565221114660,,https://orbi.uliege.be/handle/2268/301871,카페테라스 이용·휴식·대화 활동,,Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria
328,UNCERTAIN,gold,no-oa-pdf,2025,Basic and Applied Ecology,10.1016/j.baae.2025.12.007,,https://doi.org/10.1016/j.baae.2025.12.007,,,Social-ecological relationships on biodiverse and health-promoting city soundscapes
329,UNCERTAIN,closed,no-oa-pdf,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128929,,,,,"Soundscape diversity in urban green spaces: Spatial-temporal variations, influencing factors and optimization strategies"
335,RETRIEVE,closed,no-oa-pdf,2022,i-com,10.1515/icom-2022-0020,,,보행속도 감속·경로 유도,,EnvironZen: Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas
