no,verdict,doi,year,journal,title,oa_status,status,source,url,file,pages,tried
22,BORDERLINE,10.1080/00207239508710998,1995,International Journal of Environmental Studies,An interdisciplinary study of urban noise pollution: Part II,closed,NOT_RETRIEVED,,,,,
29,BORDERLINE,10.1016/s0160-4120(97)00008-1,1997,ENVIRONMENT INTERNATIONAL,Subjective reactions to traffic noise with regard to some personality traits,closed,NOT_RETRIEVED,,,,,
46,BORDERLINE,10.1093/aje/155.6.507,2002,American Journal of Epidemiology,Neighborhood environment and loss of physical function in older adults: Evidence from the Alameda County Study,bronze,NOT_RETRIEVED,,,,,openalex:HTTP403
55,BORDERLINE,10.1121/1.1639333,2004,Journal of the Acoustical Society of America,"Longitudinal surveys on effects of changes in road traffic noise - Annoyance, activity disturbances, and psycho-social well-being",closed,NOT_RETRIEVED,,,,,
68,BORDERLINE,,2007,ROAD & TRANSPORT RESEARCH,Daytime population tracking for planning and pollution exposure assessment,,NOT_RETRIEVED,,,,,
80,INCLUDE,10.1121/1.2821955,2008,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",closed,NOT_RETRIEVED,,,,,
89,BORDERLINE,,2009,Park Science,A program of research to support management of visitor-caused noise at Muir Woods National Monument,,NOT_RETRIEVED,,,,,
94,BORDERLINE,,2009,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,Effects of noise pollution on traffic policemen,,NOT_RETRIEVED,,,,,
103,BORDERLINE,,2009,Park Science,Modeling and mapping hikers' exposure to transportation noise in Rocky Mountain National Park,,NOT_RETRIEVED,,,,,
104,INCLUDE,10.1121/1.3183377,2009,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,closed,NOT_RETRIEVED,,,,,
137,BORDERLINE,,2011,JOURNAL OF PARK AND RECREATION ADMINISTRATION,An Examination of the Guided Night Hiking Experience in Parks and Protected Areas,,NOT_RETRIEVED,,,,,
186,BORDERLINE,10.1016/j.trd.2012.06.002,2012,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Influence of vehicle driving parameters on the noise caused by passenger cars in urban traffic,closed,NOT_RETRIEVED,,,,,
188,BORDERLINE,10.1016/j.jenvp.2012.05.002,2012,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Multiple environmental burdens and neighborhood-related health of city residents,closed,NOT_RETRIEVED,,,,,
194,BORDERLINE,10.3397/1.3682961,2012,NOISE CONTROL ENGINEERING JOURNAL,Relating the near field noise of passenger cars with the driving behavior,closed,NOT_RETRIEVED,,,,,
240,BORDERLINE,,2014,JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES: A CASE STUDY ON THE QUALITATIVE DIMENSIONS OF SOUNDS,,NOT_RETRIEVED,,,,,
251,BORDERLINE,10.1016/j.ufug.2014.05.006,2014,URBAN FORESTRY & URBAN GREENING,"Elderly visitors of an urban park, health anxiety and individual awareness of nature experiences",closed,NOT_RETRIEVED,,,,,
268,BORDERLINE,10.1016/j.apacoust.2014.03.016,2014,APPLIED ACOUSTICS,The effects of expectation on the perception of soundscapes,bronze,NOT_RETRIEVED,,,,,openalex:HTTP403 | openalex:HTTP403 | openalex:HTTP403
