no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
7,other,NR,NR,none,NR (scanned PDF manual check),NR,NR,NR (scanned PDF manual check),NO
14,social,"Refusing vs accepting a 10-min questionnaire request (explicit, high-effort help)",Without environmental overload (O-) vs with overload (O+),test_stat,chi2(1) = 7.40 ** (p<0.01),N=450 questionnaire trials over 6 conditions; 82% (370/450) interacted,Table 3,"more people refused to answer the questionnaire, arguing lack of time, in the overloaded situation than in the absence of overload",YES
14,social,Refusing vs accepting the questionnaire request,No roadwork (Ro) vs noisy roadwork (R+),test_stat,chi2(1) = 14.39 *** (p<0.001),N=450 questionnaire trials,Table 3,the noise of the roadworks significantly increases the number of verbal refusals,YES
14,social,Refusing vs accepting the questionnaire request,Noise-free roadwork (R-) vs noisy roadwork (R+); roadwork overall; Ro vs R-,test_stat,R- vs R+ chi2(1) = 7.76 **; Ro vs R chi2(1) = 7.76 **; Ro vs R- chi2(1) = 2.38 n.s.,N=450,Table 3,the presence of quiet roadworks does not introduce an increase in the number of refusals,YES
14,social,Interacting vs ignoring the questionnaire request,Overload contrast and all four roadwork contrasts,test_stat,chi2(1) = 2.65 n.s. (O-/O+); 0.68 n.s. (Ro/R); 0.35 n.s. (R-/R+); 0.30 n.s. (Ro/R-); 1.02 n.s. (Ro/R+),N=450,Table 3,neither overload nor the different roadwork conditions had any significant effect on the number of subjects pretending not to notice the request,NO
14,social,"Noticing vs ignoring dropped keys (implicit, low-effort help)",Without overload (O-) vs with overload (O+),test_stat,chi2(1) = 30.60 ***,N=450 lost-key trials; 64% (288/450) reacted,Table 4,Environmental overload had a significant effect as well on the number of subjects noticing the lost keys,YES
14,social,Noticing vs ignoring dropped keys,No roadwork (Ro) vs noisy roadwork (R+); noise-free (R-) vs noisy (R+),test_stat,Ro/R+ chi2(1) = 8.19 **; R-/R+ chi2(1) = 6.61 **; Ro/R- chi2(1) = 0.63 n.s.; Ro/R chi2(1) = 3.57,N=450,Table 4,Noisy roadworks reduce significantly the number of subjects noticing the lost keys,YES
14,social,Picking up vs merely pointing at the dropped keys,Overload (O-/O+) and no roadwork vs noisy roadwork (Ro/R+),test_stat,Overload chi2(1) = 8.12 **; Ro/R+ chi2(1) = 3.87 *; Ro/R chi2(1) = 2.48 n.s.; R-/R+ chi2(1) = 1.85 n.s.; Ro/R- chi2(1) = 0.73 n.s.,N=450,Table 4,the number of subjects picking up the keys and handing them back to the experimenter is significantly less in the noisy roadwork condition,YES
14,social,Dropped keys: cell counts ignoring / pointing at / picking up,"6 conditions (O- and O+ x Ro, R-, R+)",percent,Ignoring 8 / 23 / 13 / 20 / 42 / 56 (total 162); Pointing at 31 / 63 / 32 / 27 / 52 / 43 (total 248); Picking up 11 / 14 / 5 / 3 / 6 / 1 (total 40); condition totals 50 / 100 / 50 / 50 / 100 / 100 (450),"N=450 (order: O-Ro, O-R-, O-R+, O+Ro, O+R-, O+R+)",Table 4 (OCR-reconstructed cell counts; row and column totals verified),"The lost keys: Number of subjects ignoring, pointing at and picking up the keys",YES
14,social,"Noticing vs ignoring a lost diabetic card (implicit, high-effort help)",Without overload vs with overload; no roadwork vs noisy roadwork,test_stat,Overload chi2 = 5.26 *; Ro/R+ chi2(1) = 2.87 (p<0.10); Ro/R chi2(1) = 1.60 n.s.; R-/R+ chi2 = 1.40 n.s.; Ro/R- chi2(1) = 0.24 n.s.,N=365 lost-card trials; 22% (79/365) noticed the card,Table 5,Subjects notice the card significantly less often in an overloaded situation than in a situation without overload,YES
14,social,Forwarding (picking up) vs merely looking at the lost diabetic card,No roadwork (Ro) vs roadwork (R) and vs noisy roadwork (R+),test_stat,Ro/R chi2(1) = 10.59 ***; Ro/R+ chi2(1) = 9.00 **; overload chi2 = 0.40 n.s.; R-/R+ chi2 = 0.21 n.s.,N=365,Table 5,"under the two roadwork conditions, a significantly higher number of subjects forwarded the card which they had spotted on the ground",YES
14,social,Lost diabetic card: cell counts ignoring / looking at / picking up,"6 conditions (O- and O+ x Ro, R-, R+)",percent,O-Ro 77 / 23 / 5 (105); O-R- 43 / 11 / 7 (61); O-R+ 38 / 6 / 3 (47); O+Ro 45 / 12 / 0 (57); O+R- 45 / 3 / 4 (52); O+R+ 38 / 0 / 5 (43); totals 286 / 55 / 24 (365),N=365,Table 5 (counts verified against row and column totals),"The lost diabetic card. Number of subjects ignoring, noticing and picking up the card",YES
14,social,Overall helping response rates (all conditions pooled),Pooled across overload and roadwork conditions,percent,82% (370/450) responded to the questionnaire request; 64% (288/450) reacted to the lost keys; 22% (79/365) noticed the lost card,"1,265 observations in total across all conditions and sites; minimum 25 men and 25 women per condition",Results - Findings (A) and (B),"For all environmental conditions taken together, 82% (370/450) of the subjects respond to the experimenters solicitation",NO
14,social,Refusal to engage in verbal interaction,Noisy roadwork condition (verbal refusal rate),percent,two-thirds of the subjects refuse to engage in verbal interaction in the presence of noisy roadworks,N=450 questionnaire trials,Discussion and Conclusion,two-thirds of the subjects refuse to engage in verbal interaction in the presence of noisy roadworks,NO
14,other,Exposure characterisation: ambient and roadwork noise levels (dBA),Without overload vs with overload vs active roadworks,means_sd,Without overload 54-78 dBA peaks at 80 dBA; with overload 60-78 dBA peaks at 80 dBA; active roadworks 85-95 dBA peaks at 100-105 dBA; overload criterion quiet period <60 vs >60 dBA,"8 sites (4 without overload, 4 with overload); no SD reported","Table 1, Table 2 and Choice of sites section","the noise levels range between 85 and 95 dBA with peaks of 100 105 dBA, regardless of the environmental overload",NO
