uid,branch,reason_code,category,basis
22,DB,X2,Setting not eligible,추가 전문평가 newft
29,DB,X2,Setting not eligible,추가 전문평가 newft
46,DB,X2,Setting not eligible,추가 전문평가 newft
55,DB,X2,Setting not eligible,추가 전문평가 newft
68,DB,X2,Setting not eligible,추가 전문평가 newft
89,DB,X6,Not a journal article,추가 전문평가 newft_b
94,DB,X4,No observed behaviour,추가 전문평가 newft
103,DB,X4,No observed behaviour,추가 전문평가 newft_b
186,DB,X3,No acoustic exposure,추가 전문평가 newft
188,DB,X2,Setting not eligible,추가 전문평가 newft
194,DB,X3,No acoustic exposure,추가 전문평가 newft
234,DB,X2,Setting not eligible,8월 수기 집계 재배정(ft_verdicts_v2.reason)
240,DB,X4,No observed behaviour,추가 전문평가 newft_b
251,DB,X4,No observed behaviour,추가 전문평가 newft
268,DB,X4,No observed behaviour,추가 전문평가 newft
301,DB,X4,No observed behaviour,추가 전문평가 newft
351,DB,X2,Setting not eligible,추가 전문평가 newft
357,DB,X5,Not empirical,추가 전문평가 newft_b
378,DB,X2,Setting not eligible,추가 전문평가 newft
387,DB,X5,Not empirical,추가 전문평가 newft
411,DB,X2,Setting not eligible,추가 전문평가 newft
412,DB,X4,No observed behaviour,추가 전문평가 newft
433,DB,X2,Setting not eligible,추가 전문평가 newft
444,DB,X2,Setting not eligible,추가 전문평가 newft
484,DB,X2,Setting not eligible,추가 전문평가 newft
485,DB,X2,Setting not eligible,추가 전문평가 newft
489,DB,X2,Setting not eligible,추가 전문평가 newft
509,DB,X4,No observed behaviour,추가 전문평가 newft
512,DB,X2,Setting not eligible,추가 전문평가 newft
556,DB,X2,Setting not eligible,추가 전문평가 newft
559,DB,X3,No acoustic exposure,추가 전문평가 newft
569,DB,X3,No acoustic exposure,추가 전문평가 newft_b
599,DB,X3,No acoustic exposure,추가 전문평가 newft
613,DB,X2,Setting not eligible,8월 수기 집계 재배정(ft_verdicts_v2.reason)
615,DB,X2,Setting not eligible,추가 전문평가 newft
623,DB,X3,No acoustic exposure,추가 전문평가 newft
624,DB,X4,No observed behaviour,추가 전문평가 newft
639,DB,X3,No acoustic exposure,추가 전문평가 newft
648,DB,X4,No observed behaviour,8월 수기 집계 재배정(ft_verdicts_v2.reason)
684,DB,X2,Setting not eligible,추가 전문평가 newft_b
692,DB,X2,Setting not eligible,추가 전문평가 newft
729,DB,X2,Setting not eligible,8월 수기 집계 재배정(ft_verdicts_v2.reason)
770,DB,X4,No observed behaviour,8월 수기 집계 재배정(ft_verdicts_v2.reason)
