no,final_verdict,confidence,reason,screening_verdict,year,journal,title
7,FINAL_INCLUDE,low,,INCLUDE,1978,Journal of Social Psychology,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo
14,FINAL_INCLUDE,high,,INCLUDE,1988,Journal of Environmental Psychology,Urban stress and helping behavior: Effects of environmental overload and noise on behavior
53,FINAL_INCLUDE,medium,,INCLUDE,2004,ERGONOMICS,Directional guidance from audible pedestrian signals for street crossing
71,FINAL_INCLUDE,high,,INCLUDE,2007,LANDSCAPE AND URBAN PLANNING,Noise and well-being in urban residential environments:: The potential role of perceived a
121,FINAL_INCLUDE,high,,INCLUDE,2010,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas
123,FINAL_INCLUDE,medium,,INCLUDE,2010,APPLIED ACOUSTICS,Factors influencing the sound preference in urban open spaces
234,FINAL_EXCLUDE,high,주거지 소음 짜증·건강 설문·공공 옥외공간 행태 아웃컴 없음,BORDERLINE,2013,ARCHIVES OF ACOUSTICS,Urban Noise Annoyance Between 2001 and 2013-Study in a Romanian City
271,FINAL_INCLUDE,medium,,INCLUDE,2014,International Journal of Interdisciplinary Social and Commun,Towards an evidence-based model for assessing urban squares as social places
323,FINAL_INCLUDE,high,,INCLUDE,2016,APPLIED SCIENCES-BASEL,An Experimental Study on the Influence of Soundscapes on People's Behaviour in an Open Pub
341,FINAL_INCLUDE,high,,INCLUDE,2016,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of sound-related activities on human behaviours and acoustic comfort in urban open 
372,FINAL_INCLUDE,high,전문재판정: 재활정원 옥외 음환경이 장소선택·보행속도·사회적 회피 행태 유발(질적 실증),INCLUDE,2016,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective
379,FINAL_INCLUDE,medium,,INCLUDE,2016,NOISE MAPPING,Urban park soundscape in distinct sociocultural and geographical contexts
406,FINAL_INCLUDE,medium,,INCLUDE,2017,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of temporary open-air markets on the sound environment and acoustic perception base
435,FINAL_INCLUDE,medium,전문재판정: 근린 가로·골목 음환경과 공공공간 이용·회피·사회적 상호작용 상호형성(민족지 실증),INCLUDE,2017,Sound Studies,Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions 
461,FINAL_INCLUDE,high,,INCLUDE,2018,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed
469,SENS_ONLY,medium,경계판정② 행동의향 아웃컴 — 민감도 분석 전용,INCLUDE,2018,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,Exploring tourists' soundscape emotion and its impact on sustainable tourism development
480,FINAL_INCLUDE,high,,INCLUDE,2018,APPLIED SCIENCES-BASEL,Influence of Contextual Factors on Soundscape in Urban Open Spaces
481,FINAL_INCLUDE,high,,INCLUDE,2018,FRONTIERS IN PSYCHOLOGY,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces
492,FINAL_INCLUDE,high,,INCLUDE,2018,FRONTIERS IN PSYCHOLOGY,Public Space Users' Soundscape Evaluations in Relation to Their Activities. An Amsterdam-B
494,FINAL_INCLUDE,high,,INCLUDE,2018,SCIENCE OF THE TOTAL ENVIRONMENT,"Relationships among satisfaction, noise perception, and use of urban green spaces"
520,FINAL_INCLUDE,high,,INCLUDE,2019,ACTA ACUSTICA UNITED WITH ACUSTICA,An Exploratory Study on the Influence of Activities on Public Space Users' Descriptions of
532,FINAL_INCLUDE,high,,INCLUDE,2019,PEERJ,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons
539,FINAL_INCLUDE,high,,INCLUDE,2019,URBAN FORESTRY & URBAN GREENING,Factors associated with soundscape experiences in urban green spaces: A case study in Rost
560,FINAL_INCLUDE,high,,INCLUDE,2019,URBAN FORESTRY & URBAN GREENING,Perceptions and use of urban green spaces on the basis of size
566,FINAL_INCLUDE,high,,INCLUDE,2019,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention
602,FINAL_INCLUDE,high,,INCLUDE,2020,BUILDING AND ENVIRONMENT,"Comparing associations among sound sources, human behaviors, and soundscapes on central bu"
613,FINAL_EXCLUDE,high,전문재판정: 주거지 소음지각×공간비특정 신체활동·비만·고혈압 역학으로 확정 경계판정상 제외,BORDERLINE,2020,International Journal of Environmental Research and Public H,Environmental quality perceptions and health: A cross-sectional study of citizens of Kauna
617,FINAL_INCLUDE,high,,INCLUDE,2020,SUSTAINABILITY,Examining the Associations between Oases Soundscape Components and Walking Speed: Correlat
648,FINAL_EXCLUDE,medium,선호·주관적 지각만 측정·관찰 행태 아웃컴 없음,BORDERLINE,2020,SUSTAINABILITY,Residents' Spatial Perceptions of Urban Gardens Based on Soundscape and Landscape Differen
661,FINAL_INCLUDE,medium,,INCLUDE,2020,APPLIED SCIENCES-BASEL,The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decision-Making: A Study
665,FINAL_INCLUDE,high,,INCLUDE,2020,BUILDING AND ENVIRONMENT,The effects of sounds and food odour on crowd behaviours in urban public open spaces
666,FINAL_INCLUDE,high,,INCLUDE,2020,LANDSCAPE AND URBAN PLANNING,The influence of human behavioral characteristics on soundscape perception in urban parks:
