no,verdict,pdf,year,journal,title,doi
7,INCLUDE,Y,1978,Journal of Social Psychology,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo,10.1080/00224545.1978.9924035
14,INCLUDE,Y,1988,Journal of Environmental Psychology,Urban stress and helping behavior: Effects of environmental overload and noise on behavior,10.1016/s0272-4944(88)80035-5
22,BORDERLINE,N,1995,International Journal of Environmental Studies,An interdisciplinary study of urban noise pollution: Part II,10.1080/00207239508710998
29,BORDERLINE,N,1997,ENVIRONMENT INTERNATIONAL,Subjective reactions to traffic noise with regard to some personality traits,10.1016/s0160-4120(97)00008-1
46,BORDERLINE,N,2002,American Journal of Epidemiology,Neighborhood environment and loss of physical function in older adults: Evidence from the Alameda County Study,10.1093/aje/155.6.507
53,INCLUDE,Y,2004,ERGONOMICS,Directional guidance from audible pedestrian signals for street crossing,10.1080/00140130410001712609
55,BORDERLINE,N,2004,Journal of the Acoustical Society of America,"Longitudinal surveys on effects of changes in road traffic noise - Annoyance, activity disturbances, and psycho-social well-being",10.1121/1.1639333
68,BORDERLINE,N,2007,ROAD & TRANSPORT RESEARCH,Daytime population tracking for planning and pollution exposure assessment,
71,INCLUDE,Y,2007,LANDSCAPE AND URBAN PLANNING,Noise and well-being in urban residential environments:: The potential role of perceived availability to nearby green areas,10.1016/j.landurbplan.2007.03.003
80,INCLUDE,N,2008,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",10.1121/1.2821955
89,BORDERLINE,N,2009,Park Science,A program of research to support management of visitor-caused noise at Muir Woods National Monument,
94,BORDERLINE,N,2009,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,Effects of noise pollution on traffic policemen,
103,BORDERLINE,N,2009,Park Science,Modeling and mapping hikers' exposure to transportation noise in Rocky Mountain National Park,
104,INCLUDE,N,2009,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,10.1121/1.3183377
121,INCLUDE,Y,2010,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas,10.3390/ijerph7113890
123,INCLUDE,Y,2010,APPLIED ACOUSTICS,Factors influencing the sound preference in urban open spaces,10.1016/j.apacoust.2010.02.005
137,BORDERLINE,N,2011,JOURNAL OF PARK AND RECREATION ADMINISTRATION,An Examination of the Guided Night Hiking Experience in Parks and Protected Areas,
186,BORDERLINE,N,2012,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Influence of vehicle driving parameters on the noise caused by passenger cars in urban traffic,10.1016/j.trd.2012.06.002
188,BORDERLINE,N,2012,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Multiple environmental burdens and neighborhood-related health of city residents,10.1016/j.jenvp.2012.05.002
194,BORDERLINE,N,2012,NOISE CONTROL ENGINEERING JOURNAL,Relating the near field noise of passenger cars with the driving behavior,10.3397/1.3682961
