file,matched,how,no,doi,newname,note
1-s2.0-S0003682X10000411-main.pdf,YES,doi,123,10.1016/j.apacoust.2010.02.005,2010_ApplAcoust_Yu & Kang_Factors influencing the sound preference in urban open spaces.pdf,
1-s2.0-S0003682X25005730-main.pdf,YES,doi,1221,10.1016/j.apacoust.2025.111101,2026_ApplAcoust_Zhou et al_Effect of soundscapes and crowd density on economic behavior in commerci.pdf,
1-s2.0-S001393512201283X-main.pdf,YES,doi,880,10.1016/j.envres.2022.113956,2022_EnviRese_Koreny et al_Urban environment and physical activity and capacity in patients with ch.pdf,
1-s2.0-S0048969716318319-main.pdf,YES,doi,341,10.1016/j.scitotenv.2016.08.130,2016_STOTEN_Meng & Kang_Effect of sound-related activities on human behaviours and acoustic comf.pdf,
1-s2.0-S0048969717314213-main.pdf,YES,doi,406,10.1016/j.scitotenv.2017.06.017,2017_STOTEN_Meng et al_Effect of temporary open-air markets on the sound environment and acoust.pdf,
1-s2.0-S004896971733574X-main.pdf,YES,doi,494,10.1016/j.scitotenv.2017.12.148,"2018_STOTEN_Rey Gozalo et al_Relationships among satisfaction, noise perception, and use of urban gre.pdf",
1-s2.0-S0048969723004345-main.pdf,YES,doi,912,10.1016/j.scitotenv.2023.161819,"2023_STOTEN_Huang et al_Do objective and subjective traffic-related pollution, physical activity.pdf",
1-s2.0-S0048969724023416-main.pdf,YES,doi,999,10.1016/j.scitotenv.2024.172198,2024_STOTEN_Lu et al_Comparative evaluation of soundscapes in human activities spatial contex.pdf,
1-s2.0-S0160412021003251-main.pdf,YES,doi,779,10.1016/j.envint.2021.106700,2021_EnvInt_de Bont et al_Urban environment and obesity and weight-related behaviours in primary s.pdf,
1-s2.0-S0169204607000722-main.pdf,YES,doi,71,10.1016/j.landurbplan.2007.03.003,2007_LUP_Gidlöf-Gunnarsson & Öhrström_Noise and well-being in urban residential environments The potential rol.pdf,
1-s2.0-S0169204619317992-main.pdf,YES,doi,666,10.1016/j.landurbplan.2020.103890,2020_LUP_Jo & Jeon_The influence of human behavioral characteristics on soundscape percepti.pdf,
1-s2.0-S0272494425001136-main.pdf,YES,doi,1122,10.1016/j.jenvp.2025.102630,2025_JEnvPsych_Chen & Kang_Effects of natural sound tempo and social conditions on social Interacti.pdf,
1-s2.0-S0272494488800355-main.pdf,YES,title,14,10.1016/s0272-4944(88)80035-5,1988_JEnvPsych_Moser_Urban stress and helping behavior Effects of environmental overload and.pdf,
1-s2.0-S036013232030696X-main.pdf,YES,doi,602,10.1016/j.buildenv.2020.107327,"2020_BuildEnv_Young Hong & Yong Jeon_Comparing associations among sound sources, human behaviors, and soundsc.pdf",
1-s2.0-S036013232030857X-main.pdf,YES,doi,732,10.1016/j.buildenv.2020.107490,2021_BuildEnv_Tarlao et al_Investigating contextual influences on urban soundscape evaluations with.pdf,
1-s2.0-S0360132324009363-main.pdf,YES,doi,1069,10.1016/j.buildenv.2024.112094,2024_BuildEnv_Chen et al_The impact of the community's sound environment on social interactions a.pdf,
1-s2.0-S0965856425002149-main.pdf,YES,doi,1110,10.1016/j.tra.2025.104586,2025_TransRes_Gao & Fang_Decoding the impact of audiovisual street environment features on cyclin.pdf,
1-s2.0-S1361920925002160-main.pdf,YES,doi,1174,10.1016/j.trd.2025.104806,2025_TransRes_Zhang et al_Synergistic role of audio-visual perceptions in promoting bikeshare for.pdf,
1-s2.0-S1369847826002020-main.pdf,YES,doi,1272,10.1016/j.trf.2026.103707,2026_TransRes_Sun et al_Perception and response of cyclists interacting with autonomous electric.pdf,
1-s2.0-S1438463926000763-main.pdf,YES,doi,1226,10.1016/j.ijheh.2026.114816,2026_InteJour_Dzhambov et al_Environmental characteristics and physical activity A cross-sectional st.pdf,
1-s2.0-S1470160X23008713-main.pdf,YES,doi,901,10.1016/j.ecolind.2023.110729,2023_EcolIndic_Fu et al_Can acoustic indices reflect the characteristics of public recreational.pdf,
1-s2.0-S1470160X24004795-main.pdf,YES,doi,1018,10.1016/j.ecolind.2024.112022,2024_EcolIndic_Lai et al_Exploring Acoustic-Visual perception and satisfaction in urban Parks Bas.pdf,
1-s2.0-S161886671930370X-main.pdf,YES,doi,560,10.1016/j.ufug.2019.126470,2019_UrbaFore_Rey Gozalo et al_Perceptions and use of urban green spaces on the basis of size.pdf,
1-s2.0-S1618866725000172-main.pdf,YES,doi,1141,10.1016/j.ufug.2025.128683,"2025_UrbaFore_Yang et al_How objective and subjective greenspace, combined with air and noise pol.pdf",
1-s2.0-S1755458621000864-main.pdf,YES,doi,724,10.1016/j.emospa.2021.100848,2021_EmotSpac_Alves et al_Exploring the soundscape and the atmosphere of the Gigli di Nola cultura.pdf,
1-s2.0-S2210670722006400-main.pdf,YES,doi,951,10.1016/j.scs.2022.104336,2023_SCS_Huang et al_Sustainable design of running friendly streets Environmental exposures p.pdf,
1-s2.0-S2214140526000629-main.pdf,YES,doi,1306,10.1016/j.jth.2026.102313,2026_JourOf_Gao & Fang_Unveiling the nonlinear effects of street-level audiovisual environments.pdf,
1-s2.0-S2214367X21000028-main.pdf,YES,doi,746,10.1016/j.tbs.2021.01.002,2021_TravBeha_Herrmann-Lunecke et al_Perception of the built environment and walking in pericentral neighbour.pdf,
1-s2.0-S2226585626000609-main.pdf,YES,doi,1202,10.1016/j.jum.2026.04.003,2026_JourOf_Lin et al_Assessing the impact of landscape context on soundscape quality in multi.pdf,
1-s2.0-S2405844024039495-main.pdf,YES,doi,1005,10.1016/j.heliyon.2024.e27918,2024_Heli_Wogan & Kennedy_Crowdsourced cycling data applications to estimate noise pollution expos.pdf,
10.1515_noise-2016-0016 (1).pdf,YES,doi,379,10.1515/noise-2016-0016,2016_NoiseMapp_Lobo Soares & Bento Coelho_Urban park soundscape in distinct sociocultural and geographical context.pdf,
