cluster,analysis,k,est,lo,hi,p,I2,r_back,pooled,studies,note
MA1 보행속도,주분석,3,-0.4737,-2.0554,1.1079,0.3264,81.4,,yes,461; 532; 617,primary
MA1 보행속도,LOO −461,2,-0.2064,-5.6358,5.2229,0.7135,81.1,,yes,532; 617,Franek 2018
MA1 보행속도,LOO −532,2,-0.3963,-8.3478,7.5552,0.6406,90.1,,yes,461; 617,Franek 2019 (Exp 합성)
MA1 보행속도,LOO −617,2,-0.805,-3.3127,1.7027,0.1531,9.0,,yes,461; 532,Oases soundscape
MA1 보행속도,저품질 제외,0,,,,,,,no,,"제외 ['461', '532', '617']"
MA1 보행속도,high만,0,,,,,,,no,,
MA2 체류,주분석,3,0.3435,-0.091,0.778,0.0766,54.4,,yes,323; 665; 1280,primary
MA2 체류,LOO −323,2,0.3668,-2.0986,2.8322,0.3098,69.6,,yes,665; 1280,Aletta 2016 (음악 vs 무음악)
MA2 체류,LOO −665,2,0.2857,-0.7971,1.3686,0.1845,46.9,,yes,323; 1280,"Ba & Kang 2020 (음악 vs 무음, 체류시간)"
MA2 체류,LOO −1280,2,0.4324,-0.7121,1.5769,0.1308,0.0,,yes,323; 665,"Bao 2026 (자연음지수↑, 장기체류 OR)"
MA2 체류,저품질 제외,3,0.3435,-0.091,0.778,0.0766,54.4,,yes,323; 665; 1280,제외 []
MA2 체류,high만,1,0.3877,0.1856,0.5898,0.0002,0.0,,no,323,
MA3 사회적 상호작용,주분석,4,0.6793,0.2008,1.1578,0.0203,48.6,,yes,931; 1069; 14; CT0025,primary
MA3 사회적 상호작용,LOO −931,3,0.5565,-0.0527,1.1657,0.0591,40.0,,yes,1069; 14; CT0025,"Chen 2023 (자연음 vs 소음, 그룹상호작용%)"
MA3 사회적 상호작용,LOO −1069,3,0.7683,-0.1223,1.6589,0.0655,64.1,,yes,931; 14; CT0025,"Chen 2024 (자연음 vs 소음, 쌍상호작용%)"
MA3 사회적 상호작용,LOO −14,3,0.8009,0.0792,1.5225,0.0412,40.1,,yes,931; 1069; CT0025,Moser 1988 (도로공사소음→원조행동)
MA3 사회적 상호작용,LOO −CT0025,3,0.5955,-0.044,1.2351,0.057,43.5,,yes,931; 1069; 14,"Mathews & Canon 1975 (조용 vs 소음, 도움행동)"
MA3 사회적 상호작용,저품질 제외,4,0.6793,0.2008,1.1578,0.0203,48.6,,yes,931; 1069; 14; CT0025,제외 []
MA3 사회적 상호작용,high만,2,0.4837,-0.2388,1.2062,0.0745,0.0,,yes,1069; 14,
MA3 사회적 상호작용,인용추적 제외,3,0.5955,-0.044,1.2351,0.057,43.5,,yes,931; 1069; 14,갈래 축
MA4 지각-행태 상관,주분석,7,0.3826,0.1134,0.6518,0.0132,95.7,0.3649,yes,1076; 1221; 1177; 980; 80; CT0126; CT0184,primary
MA4 지각-행태 상관,LOO −1076,6,0.3336,0.0261,0.641,0.0385,92.7,0.3217,yes,1221; 1177; 980; 80; CT0126; CT0184,Guo 2024 (사운드스케이프 쾌적성 ↔ 정적 행태)
MA4 지각-행태 상관,LOO −1221,6,0.4163,0.0922,0.7405,0.0214,96.4,0.3938,yes,1076; 1177; 980; 80; CT0126; CT0184,Zhou 2026 (자연음 사건빈도 ↔ 대기시간)
MA4 지각-행태 상관,LOO −1177,6,0.38,0.0515,0.7084,0.031,96.4,0.3627,yes,1076; 1221; 980; 80; CT0126; CT0184,"Mansouri 2025 Béjaïa (음향쾌적 ↔ 보행쾌적, 오전)"
MA4 지각-행태 상관,LOO −980,6,0.3404,0.0282,0.6526,0.0379,95.7,0.3278,yes,1076; 1221; 1177; 80; CT0126; CT0184,Bao 2023 (체류시간 ↔ 회복 지각)
MA4 지각-행태 상관,LOO −80,6,0.4532,0.1934,0.713,0.0065,92.0,0.4245,yes,1076; 1221; 1177; 980; CT0126; CT0184,"Yu & Kang 2008 (이동 활동 강도 ↔ 음량 평가, 19개 사이트)"
MA4 지각-행태 상관,LOO −CT0126,6,0.3344,0.0514,0.6174,0.0288,96.2,0.3224,yes,1076; 1221; 1177; 980; 80; CT0184,Montes González 2022 (LAeq ↔ 대화 방해)
MA4 지각-행태 상관,LOO −CT0184,6,0.4239,0.1076,0.7402,0.0183,96.3,0.4002,yes,1076; 1221; 1177; 980; 80; CT0126,Cao & Kang 2021 (동반상태 → 말소리 인지)
MA4 지각-행태 상관,저품질 제외,6,0.4163,0.0922,0.7405,0.0214,96.4,0.3938,yes,1076; 1177; 980; 80; CT0126; CT0184,제외 ['1221']
MA4 지각-행태 상관,high만,0,,,,,,,no,,
MA4 지각-행태 상관,인용추적 제외,5,0.3708,0.0147,0.7269,0.0445,96.9,0.3547,yes,1076; 1221; 1177; 980; 80,갈래 축
MA1 보행속도,③ 관측 n,3,-0.4395,-2.0532,1.1742,0.362,91.1,,yes,461; 532; 617,유사반복 가정 반전
MA4 지각-행태 상관,④ rho 제외,4,0.5282,0.1067,0.9496,0.0282,93.4,0.484,yes,1076; 980; CT0126; CT0184,규약 §1
MA1 보행속도,⑤ 532 제외,2,-0.3963,-8.3478,7.5552,0.6406,90.1,,yes,461; 617,군당 n 미보고
MA2 체류,⑤ 665 제외,2,0.2857,-0.7971,1.3686,0.1845,46.9,,yes,323; 1280,SD 미보고
MA1 보행속도,⑥ 481 포함,4,-0.7726,-2.0296,0.4844,0.1454,88.6,,yes,461; 481; 532; 617,노출·행태 이질
