origin,file,pages,match,branch,id,doi,action,library_name
user,1-s2.0-S0003682X23001482-main.pdf,11,doi=True exact=True title_head=100%,DB,917,10.1016/j.apacoust.2023.109350,moved,2023_ApplAcoust_Su et al_Effects of soundscape on Chinese children's social interaction measure.pdf
user,1-s2.0-S0003682X24001877-main.pdf,14,doi=True exact=True title_head=100%,DB,982,10.1016/j.apacoust.2024.110036,moved,2024_ApplAcoust_Alías-Pujol et al_A long-term global and clustering analysis of the COVID-19 pandemic ef.pdf
user,1-s2.0-S0006320722001537-main.pdf,10,doi=True exact=True title_head=100%,DB,848,10.1016/j.biocon.2022.109600,moved,2022_BiolCons_Pardo et al_Predicting poaching hotspots in the largest remnant of the Atlantic Fo.pdf
user,1-s2.0-S0048969721049445-main.pdf,11,doi=True exact=True title_head=100%,CT,CT0171,10.1016/j.scitotenv.2021.149869,moved,2021_STOTEN_Yang et al_Effects of a human sound-based index on the soundscapes of urban open.pdf
user,1-s2.0-S0143622824000791-main.pdf,12,doi=True exact=True title_head=100%,CT,CT0221,10.1016/j.apgeog.2024.103274,moved,2024_ApplGeogr_Zeng et al_Association between built environment factors and collective walking b.pdf
user,1-s2.0-S0143622824001875-main.pdf,13,doi=True exact=True title_head=100%,CT,CT0264,10.1016/j.apgeog.2024.103382,moved,2024_ApplGeogr_Xiong et al_Comparing the impacts of built environment across different objective.pdf
user,1-s2.0-S0195925526001253-main.pdf,16,doi=True exact=True title_head=100%,CT,CT0373,10.1016/j.eiar.2026.108451,moved,2026_EnviImpa_Zhang et al_Health-related activity outcomes of visual characteristics in urban gr.pdf
user,1-s2.0-S0198971524001339-main.pdf,14,doi=True exact=True title_head=100%,CT,CT0153,10.1016/j.compenvurbsys.2024.102204,moved,2024_CompEnvi_Song et al_Machine-based understanding of noise perception in urban environments.pdf
user,1-s2.0-S0198971525001012-main.pdf,18,doi=True exact=True title_head=100%,CT,CT0313,10.1016/j.compenvurbsys.2025.102348,moved,2025_CompEnvi_Liu et al_The association of subjective physical disorder and pedestrian volume.pdf
user,1-s2.0-S0198971526000141-main.pdf,17,doi=True exact=True title_head=100%,CT,CT0360,10.1016/j.compenvurbsys.2026.102412,moved,2026_CompEnvi_Cai et al_Decoding urban soundscapes spatial prediction and influence mechanism.pdf
user,1-s2.0-S0269749124002732-main.pdf,9,doi=True exact=True title_head=100%,DB,998,10.1016/j.envpol.2024.123559,moved,"2024_EnvPollut_Zijlema et al_Cities and mental health The role of the built environment, and enviro.pdf"
user,1-s2.0-S0966692322001582-main.pdf,10,doi=True exact=True title_head=100%,CT,CT0125,10.1016/j.jtrangeo.2022.103435,moved,2022_JTransGeogr_Sun et al_Residential and workplace neighborhood environments and life satisfact.pdf
user,1-s2.0-S0967070X25001945-main.pdf,17,doi=True exact=True title_head=100%,CT,CT0369,10.1016/j.tranpol.2025.05.015,moved,2025_TransPolicy_Han et al_Identifying the effect of street network system on activity behaviours.pdf
user,1-s2.0-S1618866725002638-main.pdf,15,doi=True exact=True title_head=100%,CT,CT0329,10.1016/j.ufug.2025.128929,moved,2025_UrbaFore_Xiang et al_Soundscape diversity in urban green spaces Spatial-temporal variations.pdf
user,1-s2.0-S2210670726005767-main.pdf,20,doi=True exact=True title_head=100%,CT,CT0422,10.1016/j.scs.2026.107693,moved,2026_SCS_Tu et al_Prioritizing jogging-friendly streets in active mobility planning A de.pdf
user,1-s2.0-S2213078023000166-main.pdf,10,doi=True exact=True title_head=100%,CT,CT0100,10.1016/j.jort.2023.100621,moved,2023_JORT_Zhang et al_National forest park visitors’ connectedness to nature and pro-environ.pdf
user,11524_2024_Article_947.pdf,12,doi=True exact=True title_head=100%,DB,1101,10.1007/s11524-024-00947-8,moved,2025_JourOf_Dėdelė et al_Association Between Residential Exposure to Road Traffic Noise and Psy.pdf
user,2025Performanceandatmosphereinurbanpublicspaces.pdf,14,doi=True exact=True title_head=100%,OAS,OAS0011,10.1111/1745-5871.12632,moved,2024_GeogRese_Lin et al_Performance and atmosphere in urban public spaces Street music in Guan.pdf
user,20260529114301PAPER_06.pdf,32,doi=True exact=True title_head=100%,DB,1271,10.47836/ac.19.1.paper06,moved,2026_AlamCipt_Zhang et al_Perception and Display of Folk Activities in Cultural Space – A Case S.pdf
user,878-Article Text-2677-1-10-20230708.pdf,15,doi=False exact=False title_head=77%,DB,950,,moved,2023_JourOf_Yan et al_Study on the Spatio-temporal Characteristics of Soundscape in Famous H.pdf
user,A_program_of_research_to_support_management_of_vis.pdf,10,doi=False exact=True title_head=100%,DB,89,,moved,2009_ParkScie_Manning et al_A program of research to support management of visitor-caused noise at.pdf
user,Acoustic_design_artifacts_and_methods_fo.pdf,12,doi=False exact=True title_head=100%,DB,240,,moved,2014_JourOf_Hellström_ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES A CASE STU.pdf
user,Article_Ybor+City+Chickens+Rev.pdf,23,doi=False exact=True title_head=100%,DB,1074,,moved,"2024_FlorGeog_Johansson_Tourists, residents, and chickens in urban spaces the case of Ybor Cit.pdf"
user,D4475746DA884F9A8D49E7869994292A.pdf,9,doi=True exact=False title_head=0%,OAS,OAS0050,10.3724/j.fjyl.202409200552,moved,2025_Land_WU et al_Nonlinear Relationship Between the Elderly&amp;rsquo;s Perception of G.pdf
user,EBSCO-Metadata-09_18_2026.pdf,64,doi=False exact=True title_head=100%,DB,569,10.18666/jpra-2019-9149,moved,2019_JourOf_Citarella et al_Taking the Plunge Enhancing the Visitor Experience in Waterfall-Based.pdf
user,Exposure_to_Transportation_Noise_in_Rock.pdf,6,doi=False exact=True title_head=100%,DB,103,,moved,2009_ParkScie_Park et al_Modeling and mapping hikers' exposure to transportation noise in Rocky.pdf
user,FeldsteinCavallo2025Theimpactofauditorytrafficperceptiononpedestriansstreet-crossingbehavior-Insightsfromrealandvirtualenvironments.pdf,19,doi=True exact=True title_head=100%,CT,CT0391,10.1162/pres.a.8,moved,2025_PresVirt_Feldstein & Cavallo_The Impact of Auditory Traffic Perception on Pedestrians’ Street-Cross.pdf
user,JohnsonGaither2011_JournalofParkRecreationAdministration.pdf,110,doi=False exact=True title_head=100%,DB,137,,moved,2011_JourOf_Beeco et al_An Examination of the Guided Night Hiking Experience in Parks and Prot.pdf
user,Perception and Planning Design for Urban Outdoor Public Space.pdf,5,doi=False exact=True title_head=100%,DB,357,,moved,2016_Land_Han & Zhao_PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE.pdf
user,Quieter except on weekend evenings changes in street level noise following pedestrianisation.pdf,27,doi=True exact=True title_head=100%,DB,1276,10.1080/23748834.2026.2616563,moved,2026_Cities_Nello-Deakin & Delclòs-Alió_Quieter except on weekend evenings changes in street-level noise follo.pdf
user,"Sound, Symbol, and Space An Ethnosemiotic Analysis of Vernacular Soundscapes in Honghai Morning Market.pdf.pdf",15,doi=True exact=True title_head=100%,OAS,OAS0041,10.46248/kidrs.2025.2.49,moved,"2025_KoreInst_Shi_Sound, Symbol, and Space An Ethnosemiotic Analysis of Vernacular Sound.pdf"
user,WCAS-D-21-0020.1.pdf,16,doi=True exact=True title_head=100%,DB,684,10.1175/wcas-d-21-0020.1,moved,2021_WeatClim_Wang et al_A season for complaints how does weather affect noise complaints betwe.pdf
user,jas.v95.i5.2891_5.online.pdf,3,doi=True exact=True title_head=100%,OAS,OAS0073,10.1121/1.409379,moved,"1994_JASA_Meyers et al_Auto traffic noise, air traffic noise, and the environmental quality o.pdf"
user,s11356-023-30631-4.pdf,18,doi=True exact=True title_head=100%,CT,CT0307,10.1007/s11356-023-30631-4,moved,2023_EnviScie_Vílchez-Gómez et al_Drastic mobility restrictions during SARS-CoV-2 pandemic an opportunit.pdf
user,yang2022.pdf,11,no_match(best 89 doi=False title=18%),,,,left_in_place,
auto,0094_2009_Effects of noise pollution on traffic policemen.pdf,8,doi=False exact=True title_head=100%,DB,94,,already_in_library,2009_InteJour_Omidvari & Nouri_Effects of noise pollution on traffic policemen.pdf
auto,0351_2016_Long-term transportation noise annoyance is associated with.pdf,9,doi=True exact=True title_head=100%,DB,351,10.1016/j.envint.2016.03.011,already_in_library,2016_EnvInt_Foraster et al_Long-term transportation noise annoyance is associated with subsequent.pdf
auto,0623_2020_How did the 'state of emergency' declaration in Japan due to.pdf,10,doi=True exact=True title_head=100%,DB,623,10.14324/111.444/ucloe.000009,already_in_library,2020_UclOpen_Sakagami_How did the ‘state of emergency’ declaration in Japan due to the COVID.pdf
auto,0639_2020_Noise at the time of COVID 19 The impact in some areas in Ro.pdf,17,doi=True exact=True title_head=100%,DB,639,10.1515/noise-2020-0021,already_in_library,2020_NoiseMapp_Pagès et al_Noise at the time of COVID 19 The impact in some areas in Rome and Mil.pdf
auto,0692_2021_Assessing Inequalities in Wellbeing at a Neighbourhood Scale.pdf,17,doi=True exact=True title_head=100%,DB,692,10.3389/fsoc.2021.729453,already_in_library,2021_FronIn_Cinderby et al_Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Mi.pdf
auto,0823_2022_Enhancing the park experience by giving visitors control ove.pdf,18,doi=False exact=True title_head=100%,DB,823,10.3233/ais-220621,already_in_library,2022_JourOf_De Pessemier et al_Enhancing the park experience by giving visitors control over the park.pdf
auto,0888_2023_A Perceptual Structure of Soundscapes in Urban Public Spaces.pdf,14,doi=True exact=True title_head=100%,DB,888,10.3390/ijerph20042932,already_in_library,2023_IJERPH_Cao & Kang_A Perceptual Structure of Soundscapes in Urban Public Spaces Using Sem.pdf
