no,design,mmat_category,year,title
7,NR,quantitative_descriptive,1978,Effects of urban noise and sidewalk density upon pedestrian cooperation and temp
14,field-experiment,quantitative_RCT_or_nonrandomised,1988,Urban stress and helping behavior: Effects of environmental overload and noise o
53,field-experiment,quantitative_RCT_or_nonrandomised,2004,Directional guidance from audible pedestrian signals for street crossing
71,survey,quantitative_descriptive,2007,Noise and well-being in urban residential environments:: The potential role of p
121,natural-experiment,quantitative_nonrandomised,2010,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Ar
123,mixed,mixed_methods,2010,Factors influencing the sound preference in urban open spaces
271,mixed,mixed_methods,2014,Towards an evidence-based model for assessing urban squares as social places
323,field-experiment,quantitative_RCT_or_nonrandomised,2016,An Experimental Study on the Influence of Soundscapes on People's Behaviour in a
341,mixed,mixed_methods,2016,Effect of sound-related activities on human behaviours and acoustic comfort in u
372,survey (회고적 반구조화 인터뷰 59건 · Interpretative Phenomenological Analysis),quantitative_descriptive,2016,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective
379,mixed,mixed_methods,2016,Urban park soundscape in distinct sociocultural and geographical contexts
406,mixed,mixed_methods,2017,Effect of temporary open-air markets on the sound environment and acoustic perce
435,mixed (ethnography: 참여관찰 + 심층 반구조화 회고 인터뷰 · 내러티브 분석),mixed_methods,2017,Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social int
461,field-experiment,quantitative_RCT_or_nonrandomised,2018,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed
469,survey,quantitative_descriptive,2018,Exploring tourists' soundscape emotion and its impact on sustainable tourism dev
480,mixed (field-observation of crowds + acoustic measurement + questionnaire),quantitative_descriptive,2018,Influence of Contextual Factors on Soundscape in Urban Open Spaces
481,field-experiment,quantitative_RCT_or_nonrandomised,2018,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces
492,mixed (behavioural mapping observation + on-site questionnaire + spatial analysis),quantitative_descriptive,2018,Public Space Users' Soundscape Evaluations in Relation to Their Activities. An A
494,survey,quantitative_descriptive,2018,"Relationships among satisfaction, noise perception, and use of urban green space"
520,survey,quantitative_descriptive,2019,An Exploratory Study on the Influence of Activities on Public Space Users' Descr
532,field-experiment,quantitative_RCT_or_nonrandomised,2019,Effect of birdsongs and traffic noise on pedestrian walking speed during differe
