batch,id,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
nftb_05,CT0171,correlation,"Crowd density (average number of people per 100 m2, counted on drone photographs of a 30 m x 30 m area with a 1 m x 1 m grid)",Crowd density vs RSIn (perceived extent of human sounds / perceived extent of natural sounds) at the 7 human+natural points of Children's Park,correlation,Spearman correlation 0.302* (* Correlation is significant at the 0.05 level),"N = 67 respondents (7 survey points, 42 drone photos); N is the number of participants (Table 1 note)",Table 1; §3.1.1,crowd density was significantly positively correlated with RSIn (p < 0.05),YES
nftb_05,CT0171,correlation,"Crowd density (average number of people per 100 m2, counted on drone photographs of a 30 m x 30 m area with a 1 m x 1 m grid)",Crowd density vs RSIt (perceived extent of human sounds / perceived extent of traffic noise) at the 2 human+traffic points of Children's Park,correlation,Spearman correlation 0.553** (** Correlation is significant at the 0.01 level),"N = 56 respondents (2 survey points, 12 drone photos); N is the number of participants (Table 1 note)",Table 1; §3.1.1,crowd density is significantly positively correlated with RSIt (p < 0.01),YES
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",All eight soundscape conditions vs the No sound control (full 3 x 9 contingency table),test_stat,"X2 = 152.651, p = 0.000, Cramer's V = 0.359; row totals Interaction 296 / Nonparticipation 123 / Avoiding 173 (total 592)","38 children, repeated measures; 65-66 observations per soundscape condition; 592 observations in total",Table 3 and §3.1 [page 6],"The chi-square test yielded significant values (v2 = 152.651, p = 0.000 < 0.05, Cramer's V = 0.359 > 0.35)",NO
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",Children's sounds vs No sound,2x2_counts,"Children's sounds: Interaction 47 / Nonparticipation 6 / Avoiding 13 (total 66); No sound: Interaction 24 / Nonparticipation 14 / Avoiding 28 (total 66); post hoc chi-square X2 = 16.139, df = 2, p = 0.000 (Bonferroni adjusted alpha = 0.05/8 = 0.00625)","Observations per condition: Children's sounds n = 66, No sound n = 66; from 38 children exposed repeatedly (not independent samples)",Table 3 and Table 4 [page 6],"children expected more social interaction when exposed to Children's sounds (71.2%) and Nature sounds (63.1%), compared to 36.4% when exposed to No sound",YES
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",Nature sounds vs No sound,2x2_counts,"Nature sounds: Interaction 41 / Nonparticipation 17 / Avoiding 7 (total 65); No sound: Interaction 24 / Nonparticipation 14 / Avoiding 28 (total 66); post hoc chi-square X2 = 17.330, df = 2, p = 0.000 (Bonferroni adjusted alpha = 0.05/8 = 0.00625)","Observations per condition: Nature sounds n = 65, No sound n = 66; from 38 children exposed repeatedly (not independent samples)",Table 3 and Table 4 [page 6],"children expected more social interaction when exposed to Children's sounds (71.2%) and Nature sounds (63.1%), compared to 36.4% when exposed to No sound",YES
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",Adults' sounds vs No sound,2x2_counts,"Adults' sounds: Interaction 41 / Nonparticipation 7 / Avoiding 18 (total 66); No sound: Interaction 24 / Nonparticipation 14 / Avoiding 28 (total 66); post hoc chi-square X2 = 8.953, df = 2, p = 0.011 (Bonferroni adjusted alpha = 0.05/8 = 0.00625)","Observations per condition: Adults' sounds n = 66, No sound n = 66; from 38 children exposed repeatedly (not independent samples)",Table 3 and Table 4 [page 6],"children expected more social interaction when exposed to Children's sounds (71.2%) and Nature sounds (63.1%), compared to 36.4% when exposed to No sound",YES
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",Human movement sounds vs No sound,2x2_counts,"Human movement sounds: Interaction 38 / Nonparticipation 10 / Avoiding 18 (total 66); No sound: Interaction 24 / Nonparticipation 14 / Avoiding 28 (total 66); post hoc chi-square X2 = 6.002, df = 2, p = 0.050 (Bonferroni adjusted alpha = 0.05/8 = 0.00625)","Observations per condition: Human movement sounds n = 66, No sound n = 66; from 38 children exposed repeatedly (not independent samples)",Table 3 and Table 4 [page 6],"children expected more social interaction when exposed to Children's sounds (71.2%) and Nature sounds (63.1%), compared to 36.4% when exposed to No sound",YES
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",Classical music vs No sound,2x2_counts,"Classical music: Interaction 35 / Nonparticipation 27 / Avoiding 4 (total 66); No sound: Interaction 24 / Nonparticipation 14 / Avoiding 28 (total 66); post hoc chi-square X2 = 24.173, df = 2, p = 0.000 (Bonferroni adjusted alpha = 0.05/8 = 0.00625)","Observations per condition: Classical music n = 66, No sound n = 66; from 38 children exposed repeatedly (not independent samples)",Table 3 and Table 4 [page 6],"children expected more social interaction when exposed to Children's sounds (71.2%) and Nature sounds (63.1%), compared to 36.4% when exposed to No sound",YES
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",Animal sounds vs No sound,2x2_counts,"Animal sounds: Interaction 29 / Nonparticipation 30 / Avoiding 6 (total 65); No sound: Interaction 24 / Nonparticipation 14 / Avoiding 28 (total 66); post hoc chi-square X2 = 20.519, df = 2, p = 0.000 (Bonferroni adjusted alpha = 0.05/8 = 0.00625)","Observations per condition: Animal sounds n = 65, No sound n = 66; from 38 children exposed repeatedly (not independent samples)",Table 3 and Table 4 [page 6],"children expected more social interaction when exposed to Children's sounds (71.2%) and Nature sounds (63.1%), compared to 36.4% when exposed to No sound",YES
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",Motorized transport sounds vs No sound,2x2_counts,"Motorized transport sounds: Interaction 23 / Nonparticipation 6 / Avoiding 37 (total 66); No sound: Interaction 24 / Nonparticipation 14 / Avoiding 28 (total 66); post hoc chi-square X2 = 4.467, df = 2, p = 0.107 (Bonferroni adjusted alpha = 0.05/8 = 0.00625)","Observations per condition: Motorized transport sounds n = 66, No sound n = 66; from 38 children exposed repeatedly (not independent samples)",Table 3 and Table 4 [page 6],"children expected more social interaction when exposed to Children's sounds (71.2%) and Nature sounds (63.1%), compared to 36.4% when exposed to No sound",YES
nftb_08,917,social,"Behavioural expectation category counts (Interaction / Nonparticipation / Avoiding), self-reported - not observed behaviour",Electro-mechanical sounds vs No sound,2x2_counts,"Electro-mechanical sounds: Interaction 18 / Nonparticipation 6 / Avoiding 42 (total 66); No sound: Interaction 24 / Nonparticipation 14 / Avoiding 28 (total 66); post hoc chi-square X2 = 6.857, df = 2, p = 0.032 (Bonferroni adjusted alpha = 0.05/8 = 0.00625)","Observations per condition: Electro-mechanical sounds n = 66, No sound n = 66; from 38 children exposed repeatedly (not independent samples)",Table 3 and Table 4 [page 6],"children expected more social interaction when exposed to Children's sounds (71.2%) and Nature sounds (63.1%), compared to 36.4% when exposed to No sound",YES
nftb_10,CT0391,other,"Shortest accepted time-to-contact (TTC, s) of the approaching vehicle at the moment of stepping back (lower = riskier crossing)",Real street: pedestrians with auditory perception vs pedestrians wearing hearing protection (no vehicle sound),M_SD_n,"""The results revealed a significant main effect of the sound condition in both the real environment, F(1, 28) = 4.25, p = .049""; ""In the real environment, participants without sound exhibited an average TTC value that was 0.30 s shorter than those with sound""; real environment TTC with sound M = 2.9 s, SD = 1.2; real environment TTC without sound M = 2.6 s, SD = 0.9","15 participants with sound and 15 without sound (between-subjects); 15 repetitions each, 450 real-street trials in total; the reported SDs accompany group-level TTC means in §4.3 and it is not stated whether they are computed over participants or over trials","§4.2 and §4.3 [page 8], Figure 3 [page 8]","""In the real environment, participants without sound exhibited an average TTC value that was 0.30 s shorter than those with sound.""",YES
nftb_10,CT0391,other,"Shortest accepted time-to-contact (TTC, s) of the approaching vehicle at the moment of stepping back (lower = riskier crossing)",Virtual replica of the same street: audiovisual condition vs sound-deprived visual-only condition,M_SD_n,"""as well as the virtual environment, F(1, 28) = 17.75, p < .001""; ""in the virtual environment, participants without sound demonstrated an average TTC value that was 0.28 s shorter than participants with sound""; virtual environment TTC with sound M = 2.2 s, SD = 1.0; virtual environment TTC without sound M = 1.9 s, SD = 0.8","15 participants with sound and 15 without sound (between-subjects); 15 repetitions each, 450 virtual trials in total; same ambiguity about whether SDs are over participants or trials","§4.2 and §4.3 [page 8], Figure 3 [page 8]","""Similarly, in the virtual environment, participants without sound demonstrated an average TTC value that was 0.28 s shorter than participants with sound.""",YES
