batch,id,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
nft_06,562,other,Zero-centred hierarchical Bayes part-worth utility of stated leisure-time walking route choice,Noise level attribute: low vs medium vs high noise along the route,M_SD_n,"Noise level Low 45.85 (SD 36.87; Lower 95% CI 42.62, Upper 95% CI 49.08); Medium 14.30 (SD 21.47; 12.42, 16.18); High 60.15 (SD 43.99; 64.00, 56.30) [메모: 텍스트 추출에서 음수 부호가 빠진 것으로 보임 - 0-중심화 합계와 CI 순서상 High = -60.15]",501 participants; within-subject (every participant contributes utilities for all three levels),Table 3; Section 4.1,"low noise level was preferred over medium noise level, which in turn was preferred over high noise level",YES
nft_06,562,other,Zero-centred hierarchical Bayes part-worth utility of stated leisure-time walking route choice,Noise source attribute: traffic vs people vs construction noise,M_SD_n,"Noise source Traffic 2.72 (SD 17.69; 4.27, 1.17); People 17.04 (SD 16.94; 15.56, 18.52); Construction 14.32 (SD 16.69; 15.78, 12.86) [메모: 음수 부호 소실 추정 - Traffic = -2.72, Construction = -14.32]",501 participants; within-subject,Table 3; Section 4.1,"people being the most preferred noise source, traffic being the second least preferred, and construction being the least preferred",YES
nft_06,713,other,Overall preference for a good soundscape (1-5 semantic differential),Self-reported visit frequency (ordinal 1 = monthly to 4 = every day) as predictor in stepwise linear regression with pleasantness perception and natural-sound preference score,regression,"Visit frequency+ B (SEB) 0.17 (0.07), 95% CI [0.03, 0.32], b 0.18, p 0.017; R2 = 0.22, F (3146) = 13.9, p < 0.001",150 visitors (30 per location x 5 locations),Table 7; Section 3.3,the visitors' behavior in respect of visit frequency also affected their expectation on the general soundscape,NO
nft_08,OAS0005,walking_speed,"Average pedestrian velocity in the 3.6 m measurement area (Voronoi method), compared across density intervals",120 BPM background music vs normal condition without rhythm,other,"the mean decrease of velocity with rhythm are 2.97%, 1.40%, 20.24%, 37.89% on average compared to the normal condition (four intervals from 0 to 2.0 Ped/m, resolution 0.5 Ped/m); binned mean and SD per 0.1 Ped/m shown only graphically in Fig. 3a","40 participants (college students) in both conditions; runs per condition: Normal-2 x5, Normal-5 x2, Normal-10/20/30/40 x1; Music120-2 x5, Music120-5 x2, Music120-10/20/29/40 x1 (Table 1); number of velocity observations per interval NR","Results, Fundamental diagram [page 3]; Fig. 2-3 [page 4]",the music has negative effect on the velocity and flow in most density ranges,NO
nft_08,OAS0005,other,"Step length (m) and step frequency (Hz), method 1 (step counts per round from overhead video)","120 BPM background music vs normal condition, by global density",M_SD_n,"Table 2 (normal vs music): 0.09 Ped/m step length 0.74 +/- 0.05 vs 0.73 +/- 0.06 (P=0.817), step frequency 1.97 +/- 0.10 vs 1.94 +/- 0.09 (P=0.410); 0.46: 0.68 +/- 0.03 vs 0.68 +/- 0.03 (0.862), 1.92 +/- 0.08 vs 1.91 +/- 0.08 (0.576); 0.91: 0.58 +/- 0.04 vs 0.60 +/- 0.03 (0.144), 1.63 +/- 0.10 vs 1.62 +/- 0.09 (0.792); 1.37: 0.38 +/- 0.04 vs 0.39 +/- 0.04 (0.492), 1.38 +/- 0.15 vs 1.10 +/- 0.10 (<0.05)",10 pedestrians selected per run (Stepping behavior [page 5]); participants drawn from the same pool of 40 in both conditions (pairing not reported); whether SD is across pedestrians or pedestrian-rounds is not stated,"Results, Stepping behavior [page 5-6]; Table 2",the step frequency with rhythm is lower than that without rhythm at 1.37 Ped/m,YES
nft_08,OAS0005,other,"Step length (m) and step frequency (Hz), method 2 (steps extracted from lateral sway in trajectories)","120 BPM background music vs normal condition, by global density",M_SD_n,"Table 4 (normal vs music): 0.09 Ped/m 0.72 +/- 0.18 vs 0.77 +/- 0.20 (P=0.140), 2.12 +/- 0.50 vs 1.99 +/- 0.52 (0.108); 0.23: 0.70 +/- 0.20 vs 0.68 +/- 0.16 (0.526), 2.11 +/- 0.57 vs 2.00 +/- 0.50 (0.200); 0.46: 0.64 +/- 0.15 vs 0.67 +/- 0.15 (0.081), 2.09 +/- 0.49 vs 2.06 +/- 0.51 (0.631); 0.91: 0.58 +/- 0.14 vs 0.57 +/- 0.14 (0.312), 1.82 +/- 0.45 vs 1.80 +/- 0.52 (0.676); 1.37: 0.37 +/- 0.10 vs 0.38 +/- 0.10 (0.270), 1.40 +/- 0.40 vs 1.20 +/- 0.28 (<0.05); 1.82: 0.22 +/- 0.07 vs 0.24 +/- 0.08 (<0.05), 0.95 +/- 0.24 vs 0.88 +/- 0.18 (<0.05)","n are step samples (observations, not participants), Table 3 normal vs music: 0.09 104 vs 62; 0.23 75 vs 84; 0.46 115 vs 126; 0.91 200 vs 220; 1.37 227 vs 285; 1.82 273 vs 185; participants per run 2-40 (Table 1), number of contributing pedestrians per cell NR","Results, Stepping behavior [page 6-7]; Table 3; Table 4",the step length with rhythm is higher and the step frequency with rhythm is lower at 1.82 Ped/m,NO
nft_08,OAS0005,other,Stopping headway and restarting headway (m) in stop-and-go flow,120 BPM background music vs normal condition,M_SD_n,"stopping headway 0.50 +/- 0.11 m (without music) vs 0.51 +/- 0.11 m (with music), F-test, P-value < 0.05; restarting headway 0.53 +/- 0.11 m vs 0.55 +/- 0.12 m, F-test, P-value < 0.05",number of stopping/restarting events per condition NR; 40 participants; runs per condition in Table 1,"Results, Time-space diagram [page 4]",with music the pedestrians need a higher headway before starting to move again,NO
nft_08,OAS0005,other,Stopping duration distribution in stop-and-go waves (stopped if instantaneous velocity < 0.1 m/s),120 BPM background music vs normal condition at global density 1.82 Ped/m (runs with 40 pedestrians),other,"longest stopping duration 15.96 s with music vs 6.52 s with normal condition; ratio of stopping duration below 1.4 s decrease 22.11% with music, ratio beyond 4.6 s increases by 20.76% (stops > 0.24 s)",one run of 40 pedestrians per condition (Table 1); number of stops NR,"Results, Time-space diagram [page 3]; Fig. 5 [page 6]",This shows that pedestrians stop longer with music.,NO
nft_09,1218,correlation,"SOPARC counts of social interaction activities (SIA), middle-aged visitors and children per monitoring point","Spearman correlation (FDR-adjusted) between sound-source variables (RS, MS, TS) and behaviour/visitor-group counts within each time period",correlation,"NR in text (coefficients shown only in Figure 12); text: morning children + MS, middle-aged + RS, SIA + RS; night middle-aged − TS (adjusted p-values < 0.05)",27 monitoring points × hourly scans within 4 periods over 4 days (daily average 2036 visitors); n per correlation/model NR,"§3.2.2, Figure 12",Recreational sounds also appeared to promote SIA.,NO
nft_09,1218,other,Morning social interaction activities (SIA) count,"Multiple linear regression on recreational sounds (RS), green view index (Z1) and Z1*RS",regression,"(R2 = 0.559, adj R2 = 0.532) RS B 0.627, Std. Error 0.098, Beta 0.627, T 6.421, Sig. 0; Z1*RS 0.366, 0.096, 0.377, 3.825, 0; Z1 0.22, 0.098, 0.22, 2.249, 0.029",27 monitoring points × hourly scans within 4 periods over 4 days (daily average 2036 visitors); n per correlation/model NR,"Table 3 (Social Interaction Activities, Morning)",morning SIA was mainly influenced by recreational sounds,NO
