batch,id,branch,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
nft_04,1190,DB,FINAL_INCLUDE,2025,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,What's your type? A taxonomy of pedestrian route choice behaviour in cities,Poland,"street (Poznań city-centre street network; walking task from Theatre Bridge to the Old Brewery shopping mall and back, Euclidean distance 1,420 m)","mixed (walking task with smartphone GPS tracking + semi-structured in-depth interviews within 48 h; data-driven open coding, topic analysis and Weberian ideal-type typology; authors describe it as a qualitative study)","18 participants aged 20-42 (7 male, 11 female; mean age 23.5) (analytic unit: 36 GPS-tracked routes)","Perceived noise reported spontaneously in interviews as a 'dynamic element' of the walk: vehicular and tram traffic noise along major streets and noisy crowded areas (mapped in Fig. 4); no acoustic measurement; noise is one of several dynamic elements alongside crowds, weather, sun/shade and time of day",movement,"Pedestrian route choice on an origin-destination walking task (A to B and back): GPS-recorded routes with distance, duration and speed (Table 1, Figs 3 and 5-9), and interview-reported route decisions and avoidance of noisy/crowded streets used to derive five route-choice types (Table 2)",self-report (in-depth interviews prompted with the participant's GPS track); sensor-GPS-video (smartphone GPS route tracking),forward,"Noise emerged as one of the dynamic elements shaping pedestrian route choice: traffic and tram noise was reported to make walking along major streets tiring, the maintainer type (N=4) was characterised as highly sensitive to and avoiding noisy and crowded areas, and the spontaneous type (N=2) as sensitive to noise. The evidence is qualitative and rests on few noise-related quotes; no magnitude or GPS-based comparison of noise exposure is reported.","NR (qualitative; Table 2 dynamic elements: maintainer type N=4 'High sensitivity to weather conditions, time of day, noise, crowded and busy areas'; spontaneous type N=2 'Medium sensitivity to crowded and busy areas; sensitivity to noise'; section 4.1 pedestrian-vehicle interaction topic referenced by 6 participants, e.g. 'I get tired as I walk along major streets because of the traffic and noise' (IDI9, M))"
nft_06,562,DB,SENS_ONLY,2019,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, noise, traffic, and the natural environment",USA,street (hypothetical leisure-time walking route to an unspecified destination in an unfamiliar city; attributes described in text within an online survey),"survey (online adaptive choice-based conjoint stated-preference study, Sawtooth Lighthouse 9.6.1)","501 participants (536 completed; 35 removed for stylistic responding; MTurk, quota-matched to 2017 US Census)","Text-described conjoint attributes with three levels each: noise level (low / medium / high) and noise source (traffic / people / construction), alongside air pollution level and source, natural environment, traffic and time/distance; no acoustic stimuli or sound measurements",movement,"Stated (intended) leisure-time walking route choice across ACBC tasks (build-your-own, 6-9 screening tasks, unacceptable / must-have questions, 10 three-option choice tasks), summarised as zero-centred hierarchical Bayes part-worth utilities per attribute level and relative attribute importance (%)",self-report (online stated-preference route choice tasks),forward,"Participants' intended route choice favoured low over medium over high noise with non-overlapping CIs, and noise level was the third most important attribute (17.04%), statistically on a par with traffic and natural environment but behind air pollution level; people noise was the most tolerated source and construction noise the least. Men placed more weight on noise level and regular leisure walkers more weight on noise source.","Table 3 part-worth utilities (text extraction appears to drop minus signs): noise level Low 45.85 (SD 36.87; 95% CI 42.62, 49.08), Medium 14.30 (SD 21.47; 12.42, 16.18), High 60.15 (SD 43.99; 64.00, 56.30); noise source Traffic 2.72 (SD 17.69; 4.27, 1.17), People 17.04 (SD 16.94; 15.56, 18.52), Construction 14.32 (SD 16.69; 15.78, 12.86). Relative importance: noise level 17.04% (95% CI 16.26, 17.82), noise source 6.23% (95% CI 5.92, 6.55); traffic vs noise level t = 0.63, p = .53; noise level vs natural environment t = 1.41, p = .19 (Section 4.2). Table 4: male gender -> noise level importance B = 3.48, SE 0.82, p < .001, R2 = 0.04; regular walking in leisure time -> noise source importance B = 1.05, SE 0.48, p = .03, R2 = 0.08"
nft_06,713,DB,FINAL_INCLUDE,2021,APPLIED ACOUSTICS,Effects of environmental sound quality on soundscape preference in a public urban space,China (Hong Kong),"park (Sha Tin Park, Hong Kong - 8.05 ha riverside urban park; five locations: North garden, South garden, South garden entrance and two children's playgrounds)",survey (on-site objective acoustic and psychoacoustic measurement at five locations + self-administered visitor questionnaire on one weekday),150 visitors (30 per location x 5 locations),"Reverse: self-reported visit behaviour (visit frequency, duration of stay, aim of visit) as predictors of soundscape evaluation. Acoustic environment: 10-min Bruel & Kjaer 2270 measurements per location of LZeq, LAeq, LZmax, LAmax, LA10/LA50/LA90, LA10-LA90, and psychoacoustic Neq, Nmax (ISO 532-1) and Seq (Table 2); outcomes: pleasantness, loudness, sound variation and satisfaction ratings, preferences for 11 sound elements and overall preference for a good soundscape (1-5 semantic differential)",space-use; staying,"Self-reported visit frequency (ordinal 1 = monthly to 4 = every day), duration of stay (<30, 30-60, 60-120, >120 min) and aim of visit (reported descriptively only: playing with children 32.0%, sports 24.7%, rest 14.6%)",self-report (questionnaire Part I),reverse,"Visit frequency was retained, together with perceived pleasantness and preference for natural sounds, as a positive predictor of overall preference for a good soundscape (beta = 0.18), i.e. more frequent park users expressed stronger preference for a good soundscape, whereas visit frequency and duration of stay were not retained as predictors of soundscape satisfaction. Playgrounds, where human activity raised LAmax and lowered sharpness, were perceived as louder and less satisfying than gardens.","Table 7 stepwise linear regression of overall preference for a good soundscape (n = 150): Visit frequency B = 0.17 (SEB 0.07), 95% CI [0.03, 0.32], b = 0.18, p = 0.017; model R2 = 0.22, F (3146) = 13.9, p < 0.001. Section 3.2: gender, visit frequency, duration of staying and sound variation perception excluded from the satisfaction regression (p >= 0.05; values NR)"
nft_08,OAS0005,OAS,SENS_ONLY,2018,Physics Letters A,Experimental study on the effect of background music on pedestrian movement at high density,China,"VR-lab (constructed oval ring single-file corridor in Hefei; central circumference 21.93 m, two 5 m straight sections, width 0.8 m, 3.6 m measurement area; indoor/outdoor not reported)","lab-VR-experiment (controlled single-file pedestrian experiment; normal no-rhythm condition vs 120 BPM background music at global densities 0.09-1.82 ped/m; runs of each rhythm condition conducted consecutively, not randomised)","40 college students (18 male, 22 female) (analytic units: runs of 2-40 pedestrians per condition, Table 1; step analysis on 10 selected pedestrians per run, Table 2, and step samples per density, Table 3)","Background music with no instruction to follow the rhythm: instrumental music of the song 'Faded' (original tempo about 108 BPM) time-stretched to 90, 120 and 150 BPM in Adobe Audition CS6, plus metronome rhythms at 90/120/150 BPM; only the 120 BPM music condition (equal to the normal step frequency of about 2 Hz) was analysed against the normal condition without any rhythm. Playback level and loudspeaker setup NR.",movement,"Voronoi-based density-velocity and density-flow fundamental diagrams in the 3.6 m measurement area (velocity over 0.4 s intervals); stop-and-go behaviour (stopped if instantaneous velocity < 0.1 m/s), stopping duration distribution, stopping headway and restarting headway; step length and step frequency (per-round step counts from video and step extraction from lateral body sway in trajectories)",sensor-GPS-video (two overhead cameras about 10 m above the floor at 25 fps plus one ground camera; trajectories extracted with PeTrack),forward,"With 120 BPM background music, velocity and flow were almost identical to the no-music condition below 1.0 ped/m but lower at medium and high densities, with mean velocity decreases of 2.97%, 1.40%, 20.24% and 37.89% across 0.5 ped/m intervals from 0 to 2.0 ped/m. Pedestrians with music stopped more often and longer (stops beyond 4.6 s +20.76%; longest stop 15.96 s vs 6.52 s at 1.82 ped/m) at higher stopping and restarting headways, and step frequency was lower at 1.37 and 1.82 ped/m while step length did not differ below 1.37 ped/m.","Results, Fundamental diagram [page 3]: mean decrease of velocity with rhythm 2.97%, 1.40%, 20.24%, 37.89% (0-2.0 Ped/m, 0.5 Ped/m intervals); Time-space diagram [page 4]: stopping headway 0.50 +/- 0.11 m (normal) vs 0.51 +/- 0.11 m (music), F-test P-value < 0.05; restarting headway 0.53 +/- 0.11 m vs 0.55 +/- 0.12 m, F-test P-value < 0.05; longest stopping duration 15.96 s (music) vs 6.52 s (normal) at 1.82 Ped/m [page 3]; Table 2: step frequency at 1.37 Ped/m 1.38 +/- 0.15 Hz (normal) vs 1.10 +/- 0.10 Hz (music), F-test P-value < 0.05; Table 4: at 1.37 Ped/m step frequency 1.40 +/- 0.40 vs 1.20 +/- 0.28 Hz (P < 0.05); at 1.82 Ped/m step length 0.22 +/- 0.07 vs 0.24 +/- 0.08 m (P < 0.05) and step frequency 0.95 +/- 0.24 vs 0.88 +/- 0.18 Hz (P < 0.05)"
nft_09,1218,DB,FINAL_INCLUDE,2026,LAND,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Public Recreational Behavior in Urban Parks,China,"park (Fuzhou Hot Spring Park, Gulou District — 16.7 hm2 comprehensive urban park; 24 grids with 27 monitoring points classified as path-, areal- and node-type spaces)","field-observation (SOPARC-coded 360-degree panoramic camera observation with concurrent audio recording, microclimate and illuminance measurement; 4 summer days, 3–4 and 8–9 September 2022)",NR individuals (daily average 2036 visitors recorded; analytic unit: 27 monitoring points observed hourly 06:00–21:00 on 4 days),"Temporal soundscape recorded concurrently with behaviour observations at each monitoring point (Sony PCM-D100); spectrogram analysis identified dominant sound sources classified as natural sounds (NS; mainly birdsong, 54.3% of recorded sources), traffic sounds (TS; mainly car horns), management sounds (MS; e.g., sweeping) and recreational sounds (RS; e.g., hand clapping, foot stomping). Sound pressure levels and the quantification of source variables not reported. Examined alongside microclimate (temperature, relative humidity), illuminance and stable landscape variables.",space-use; activity; social; staying,"SOPARC-coded counts per monitoring point per hourly scan (06:00–21:00) of visitors by gender and age group (children, young, middle-aged, older adults) and by activity type: static behaviour — relaxation activities (RA: sitting, reading, meditation), nature engagement (NEA), social interaction (SIA: tea drinking, chatting, playing cards); dynamic behaviour — sports (SA), leisure (LA), facility-based field activities (FA); plus kernel density and Shannon–Wiener diversity of behavioural coexistence and intergenerational co-presence",observation; sensor-GPS-video (360-degree panoramic camera recordings coded with the SOPARC protocol by two trained observers),forward,"After FDR adjustment, morning recreational sounds were positively correlated with middle-aged visitor counts and social interaction activities, morning management sounds positively with children's counts, and night-time traffic sounds negatively with middle-aged visitor counts (Figure 12). In time-segmented regressions, morning SIA was explained mainly by recreational sounds (standardized beta = 0.627) and their interaction with green view index, morning leisure activities were negatively associated with management sounds, and recreational sounds strengthened the effect of resting facilities on morning middle-aged visitation; temperature rather than soundscape was the key temporal driver overall.","Table 3, morning SIA (R2 = 0.559, adj R2 = 0.532): RS B = 0.627, SE = 0.098, Beta = 0.627, T = 6.421, Sig. = 0; Z1*RS B = 0.366, SE = 0.096, Beta = 0.377, T = 3.825, Sig. = 0. Table 3, morning LA (R2 = 0.456, adj R2 = 0.421): MS B = −0.487, SE = 0.2, Beta = −0.487, T = −2.437, Sig. = 0.019; S3*MS B = −2.006, SE = 0.384, Beta = −1.023, T = −5.226, Sig. = 0; S2*MS B = 0.539, SE = 0.229, Beta = 0.266, T = 2.353, Sig. = 0.023. Table 4, morning middle-aged adults (R2 = 0.299, adj R2 = 0.255): S3*RS B = 0.319, SE = 0.139, Beta = 0.287, T = 2.293, Sig. = 0.026. Spearman correlations (Figure 12, FDR-adjusted p < 0.05) not given numerically in text; observations per model NR."
nft_10,1305,DB,FINAL_INCLUDE,2026,GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH,Transforming urban landscapes: characteristics of urban green spaces for year-round green exercise in Germany,Germany,"park (urban green spaces used for green exercise across Germany; not site-specific, respondents rate UGS in general)","survey (online questionnaire via SoSci Survey, snowball sampling through social media and sports federations, Jan-Mar 2024)",408 participants (772 completed questionnaires; remainder excluded for missing data),"Self-rated importance of natural sounds in urban green spaces for year-round green exercise (single 5-point Likert item within a 12-item natural-elements battery, alpha = 0.88); no acoustic measurement or site-specific sound exposure",activity,"Self-reported green exercise activity in UGS under different meteorological conditions (precipitation, cold, strong wind, heat, sun radiation; item wording and scale not reported); type of sport practiced (sport clusters such as endurance, strength-based, team and gymnastic sports); GE frequency (typical 2-3 times/week, Table 2)",self-report (online questionnaire),both,"Natural sounds were the most highly rated natural element for year-round green exercise (76.3% rather important). Their importance correlated weakly and positively with green exercise under precipitation (rho = 0.151) and cold (rho = 0.170) but not under strong wind, heat or sun radiation, and natural-element ratings did not differ significantly between sport clusters.","Table 4 Spearman correlation, natural sounds vs activity during meteorological conditions: precipitation 0.151**, cold 0.170**, strong wind 0.076, heat 0.051, sun radiation 0.034 (* p< 0.05; ** p< 0.01); natural elements effect sizes eta2 0.010-0.050 (p.5); sport clusters: 'Only minor but no significant differences' (p.5)"
nft_10,CT0142,CT,SENS_ONLY,2017,Urban forestry & urban greening,Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park,Spain,"park (Retiro Park, Madrid city centre; 114 ha historic urban forest park divided into 7 zones and 2 main paths)","survey (on-site visitor questionnaire with contingent valuation payment card, plus sound level measurements at 14 points)","191 participants (240 approached, response rate 79.6%; acoustic unit: 14 sampling points in 9 zones/paths)","Measured sound levels with a type II SLM (A-weighted, 4 x 30-min per point, second half of August 2015): LAeq 53.4-63.3 dB(A), highest on main paths 1 and 2 (63.3, 62.1) and zone 4 (60.7); perceived hearing and pleasant/annoying rating of 13 sound sources (birds, wind, water, trees, road traffic, loud voices, musicians, sirens, etc.); perceived annoyance and amount of noise pollution during the visit",activity,"Stated willingness to pay a once-in-a-lifetime donation for a noise reduction programme inside the park (payment card EUR 1-80, interval maximum likelihood model); reason for visit (walk around 51.3%, walk the pet 20.9%, physical activity 18.3%) reported descriptively only",self-report (face-to-face on-site questionnaire),forward,"Although LAeq exceeded 55 dB(A) in 6 of 9 zones, 75.4% of visitors reported no or low annoyance and most perceived the amount of noise pollution as low or medium. 39.3% were willing to pay for a noise reduction programme (weighted mean WTP EUR 6.36 per visitor), with income the only significant predictor; no association between sound measures or perceptions and WTP was tested.","NR for sound-behaviour relation (WTP modelled only against socio-economic variables: Table 7 constant 1.398, bid -0.132, income 1.418, all significant at 1%; mean WTP 6.36 EUR, 95% CI 4.13-7.08; WTP x income chi2 = 159,328, p = 0.001 as printed)"
nft_11,CT0223,CT,FINAL_INCLUDE,2019,Journal of Outdoor Recreation and Tourism,Perceived importance of and satisfaction with nature observation activities in urban green areas,Estonia; Finland,"park (four large urban green areas used for nature observation, 60–150 ha: Paljassaare Bird Conservation Area, Rocca al Mare coastal green area and Kadriorg park in Tallinn; Pornaistenniemi-Lammassaari in Viikki nature reserve, Helsinki; 2–3.4 km nature trails with boardwalks, information boards and birdwatching towers)","survey (on-site interviewer-assisted visitor questionnaire, May–July 2018, 20 days, 08:00–21:00; factor analysis and ordered logistic regression)","802 visitors aged 11–85 (Site 1 n=168, Site 2 n=168, Site 3 n=307, Site 4 n=159); listening-satisfaction (A10) model n=528","Reverse: self-reported visit behaviours (planned duration of the current visit <1 h / 1–2 h / 2–5 h / >5 h; years of visiting history; usual visiting days; yes/no use of nature trail or boardwalk, information boards and birdwatching tower) as predictors of on-site satisfaction with 'listening to nature sounds' (A10, 5-point) at bird-rich coastal and park green areas; no acoustic measurement or sound-source assessment",staying; space-use; activity,"Self-reported planned duration of the current visit (4 categories), length of visiting history (first time to >10 years), usual visiting days (weekdays / weekend-holidays / both), and yes/no use of nature trail or boardwalk, reading of information boards and visiting the birdwatching tower at the site",self-report (on-site questionnaire filled in by respondents with interviewer help or recorded by the interviewer),reverse,"Visitors planning to stay more than 5 h were more satisfied with listening to nature sounds at the site than those staying less than an hour (ordered logit coef 1.35, OR 3.9, p<0.05), whereas 1–2 h and 2–5 h stays, visiting history, reading information boards and using nature trails/boardwalks (and the birdwatching tower in a 3-site model) showed no significant association. Visitors who usually came on weekdays as well as weekends/holidays rated the general importance of nature observation (listening, watching and learning combined) higher (OR 1.6).","Table 5, A10 'listen to nature sounds' ordinal logistic model (n = 528, p = 0.000), planned duration of visit (base: less than an hour): 1–2 h Coef 0.11, OR 1.1; 2–5 h 0.42, OR 1.5; More than 5 h 1.35**, OR 3.9; Visiting history −0.04, OR 1.0; Reading infoboards 0.06, OR 1.1; Going to nature trails or boardwalks −0.09, OR 0.9 (** significant at 0.05 level); birdtower use effect 'insignificant' in 3-site model (note under Table 5). Table 3 importance of nature observation (n = 637): usual visit times on weekdays, weekend as well as holidays 0.471**, OR 1.6, p = 0.013; on the weekend/holidays 0.244, OR 1.3, p = 0.284; visiting history 0.071, OR 1.1, p = 0.329"
nft_13,888,DB,FINAL_INCLUDE,2023,International Journal of Environmental Research and Public Health,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,China; United Kingdom,"square (four urban public spaces: Guanqian Square and Central Park Square, Suzhou; Peace Garden and Barker's Pool, Sheffield)","qualitative (grounded theory; on-site unstructured open-ended in-depth interviews of about 30 min, convenience sampling until data saturation, January-March 2018; open, axial and selective semantic coding in NVivo 12)","23 participants (13 male, 10 female; aged 18-70; Table 1: Suzhou 10 [pilot phase, January 2018], Sheffield 13)","Everyday in-situ acoustic environments of four urban public spaces, no manipulation; sound sources noted by the researcher (wind, birds, water/fountains, music, cars/traffic, talking, footsteps, children); LAeq measured with a 01dB Solo sound level meter during each interview: Guanqian Square 65.0-68.5 dB, Central Park Square 70.5-75.8 dB, Peace Garden 68.5-70.8 dB, Barker's Pool 59.1-60.7 dB (section 2.1). Reverse pathway: self-described activities and companion/social-relationship types (friends, family, couples) as determinants of soundscape preferences.",activity; social; movement,"Interview-reported companion type, reason for visit, current activity and visit habit (Table 2 background questions), coded into activity 'images' by social relationship (friend, family, couple) (section 3.4.2); self-reported coping strategies toward unwanted sounds: tolerance, avoidance by leaving the place, and complaint such as posting online (section 3.3.3)",self-report (on-site in-depth interviews coded by grounded theory),both,"Users' activities, organised by social relationships, shaped soundscape preferences: a 'friend image' was tied to eventful soundscapes (festivals, performances), a 'family image' to relaxing, peaceful nature sounds and a 'couple image' to quietness and a private sound environment, as people preferred sounds that supported their activities (section 3.4.2, section 4). In the forward direction, users coped with unwanted sounds by tolerance (e.g., traffic noise), avoidance by leaving the place, or complaint, although the authors conclude people mostly handled noise at the psychological level (section 3.3.3); no magnitudes are reported.","NR (qualitative grounded-theory coding; activity images in section 3.4.2 and Figure 1 with codes a4, a13, a14, a77, a85, a91, a97, a98; avoidance codes a39, a92; complaint codes a31, a55, a63)"
nft_14,104,DB,FINAL_INCLUDE,2009,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,Germany; Greece; Italy; Switzerland; United Kingdom; China,"square (19 urban open spaces in 9 cities incl. squares, gardens, a street, a seashore and a park - e.g. Kassel Bahnhofsplatz, Athens Seashore, Sheffield Peace Gardens and Barkers Pool, Cambridge All Saint's Garden and Silver Street, Beijing Xi Dan Square, Shanghai Xu Jia Hui Park; located in city centres (7), residential areas (5), tourist spots (5) and near railway stations (2), Table I)","survey (large-scale on-site questionnaire interviews with concurrent multi-sensor physical measurements; site-level Pearson/Spearman correlations, t-tests and chi-square screening of physical, behavioural, social/demographic and psychological factors, followed by artificial neural network models and an ordinal logistic regression comparison)","over 9000 interviewees in Europe and over 800 in China (section II.A); 62-1041 per site (Table I); acoustic comfort evaluation only at 7 sites (2 Sheffield, 5 China)","Reverse: user behavioural factors recorded at interview (B1 wearing earphones, B2 reading or writing, B3 watching somewhere, B4 movement status sitting/standing/playing with kids/sporting, B5 frequency of coming to the site 1 first time-5 every day, B6 reason for coming, B7 grouping none/1/more than 1 companion; Table II) as predictors of soundscape evaluation. Acoustic context: SPL (dBA, 1-min measurement) plus air temperature, wind speed, humidity and luminance measured with a multi-sensor station immediately before or after each interview; CadnaA-calculated SPL used for prediction maps (section IV)",activity; staying; space-use; social,"Binary items for wearing earphones, reading/writing and watching somewhere; movement status (sitting, standing, playing with kids, sporting); frequency of coming to the site (5-point, first time to every day); reason for coming (equipment/services, children playing and social meetings, business/meeting/break, social events, passing by); grouping (alone, with 1 person, with more than 1 person) (Table II)",self-report (on-site face-to-face questionnaire interviews; recording mode for observable items B1-B4 not specified in this paper),reverse,"Behavioural factors had limited, site-specific associations with the subjective sound level evaluation: watching somewhere (7/19 sites), reason for coming (7/16) and frequency of coming (5/19) were significant in at least 5 sites, whereas wearing earphones (0/4), reading/writing (2/19), movement status (2/19) and grouping (4/19) rarely were, and correlation signs varied across sites (e.g. frequency of coming r = -0.11 to 0.15). For acoustic comfort (7 sites) behavioural factors had limited importance, although grouping and movement status were retained as ANN inputs in some models.","Table III (sound level evaluation; Pearson/Spearman r for 3+ scale factors, two-tailed t-test mean differences for 2-scale factors, Pearson chi-square significance level for B6; * p<0.05, ** p<0.01; minus signs recovered from the source PDF because the text extraction dropped them): B5 frequency of coming significant at site 4 -0.10**, site 5 -0.11**, site 6 0.10**, site 7 0.15**, site 9 -0.07* (5/19, 26.3%); B7 grouping site 4 0.12**, site 8 0.10*, site 10 -0.09**, site 14 0.10* (4/19); B4 movement status site 2 -0.10*, site 8 -0.12** (2/19); B3 watching site 3 0.13*, 4 0.30**, 5 -0.31**, 7 -0.18*, 11 0.20*, 12 0.48**, 14 -0.49** (7/19); B2 reading/writing site 6 0.26*, site 14 0.46** (2/19); B6 reason for coming chi-square site 2 0.01*, 4 0.00**, 6 0.01**, 7 0.02*, 8 0.04*, 11 0.00**, 12 0.01** (7/16); B1 earphones 0/4. Acoustic comfort: behavioural factors described only as having limited importance, no statistics (section II.D). ANN inputs including behavioural factors, e.g. Peace Gardens acoustic comfort model with B7: test coefficient 0.79, RMSE 0.103 (Table VIII)"
