uid,branch,kind,verdict,reason_code,boundary_rule,source_set,content_hash,integrated_at
CT0017,CT,new-study,FINAL_EXCLUDE,X4,,newft,0c8ece7dbd1c01c8,2026-09-18 17:02 KST
CT0034,CT,new-study,FINAL_EXCLUDE,X4,,newft,68d51c169681b7b0,2026-09-18 17:02 KST
CT0100,CT,new-study,FINAL_EXCLUDE,X3,,newft_b,82b7c2a236bf23e6,2026-09-18 17:02 KST
CT0108,CT,new-study,FINAL_EXCLUDE,X3,,newft,1c210d2d70806d3d,2026-09-18 17:02 KST
CT0125,CT,new-study,FINAL_EXCLUDE,X2,,newft_b,be62ad95c3680fb7,2026-09-18 17:02 KST
CT0142,CT,new-study,SENS_ONLY,,R2,newft,6903a9eeb938718f,2026-09-18 17:02 KST
CT0153,CT,new-study,FINAL_EXCLUDE,X4,,newft_b,e81913f2419a9ad3,2026-09-18 17:02 KST
CT0171,CT,new-study,FINAL_INCLUDE,,R3,newft_b,576f75d5c7131ac8,2026-09-18 17:02 KST
CT0190,CT,new-study,FINAL_EXCLUDE,X2,,newft,69e044de50980ba5,2026-09-18 17:02 KST
CT0221,CT,new-study,FINAL_EXCLUDE,X3,,newft_b,b87952f555b72e25,2026-09-18 17:02 KST
CT0223,CT,new-study,FINAL_INCLUDE,,R3,newft,ae6a8c683edd85ef,2026-09-18 17:02 KST
CT0264,CT,new-study,FINAL_EXCLUDE,X3,,newft_b,8397a6b47e559d0c,2026-09-18 17:02 KST
CT0307,CT,new-study,FINAL_EXCLUDE,X4,,newft_b,c83959dbb8fb7385,2026-09-18 17:02 KST
CT0313,CT,new-study,FINAL_EXCLUDE,X3,,newft_b,aff7cd3eb14ffa9d,2026-09-18 17:02 KST
CT0329,CT,new-study,FINAL_EXCLUDE,X4,,newft_b,f568001c24fac834,2026-09-18 17:02 KST
CT0360,CT,new-study,FINAL_EXCLUDE,X4,,newft_b,d11f88b41be18af2,2026-09-18 17:02 KST
