id,branch,year,journal,title,doi,screening,source_file,txt,pages,chars
CT0017,CT,2004,Applied Acoustics,Acoustic comfort evaluation in urban open public spaces,10.1016/j.apacoust.2004.07.011,UNCERTAIN,2004_ApplAcoust_Yang & Kang_Acoustic comfort evaluation in urban open public spaces.pdf,TXT_CT0017.txt,19,41036
CT0034,CT,2013,Landscape and Urban Planning,Spatiotemporal variability of soundscapes in a multiple functional urban area,10.1016/j.landurbplan.2013.03.008,UNCERTAIN,2013_LUP_Liu et al_Spatiotemporal variability of soundscapes in a multiple functional urb.pdf,TXT_CT0034.txt,9,58839
CT0108,CT,2010,URBAN DESIGN International,Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS,10.1057/udi.2010.20,UNCERTAIN,2010_UrbaDesi_Marušić_Analysis of patterns of spatial occupancy in urban open space using be.pdf,TXT_CT0108.txt,15,51983
CT0142,CT,2017,Urban forestry & urban greening,Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park,10.1016/j.ufug.2017.08.018,UNCERTAIN,2017_UrbaFore_Calleja et al_Acoustic and economic valuation of soundscape An application to the ‘R.pdf,TXT_CT0142.txt,7,37782
CT0190,CT,2020,Environment and Planning B Urban Analytics and City Science,The effects of activity-related contexts on individual sound exposures: A time–geographic approach to soundscape studies,10.1177/2399808320965243,RETRIEVE,2020_EnviAnd_Kou et al_The effects of activity-related contexts on individual sound exposures.pdf,TXT_CT0190.txt,20,63121
CT0223,CT,2019,Journal of Outdoor Recreation and Tourism,Perceived importance of and satisfaction with nature observation activities in urban green areas,10.1016/j.jort.2019.100227,UNCERTAIN,2019_JORT_Kuldna et al_Perceived importance of and satisfaction with nature observation activ.pdf,TXT_CT0223.txt,8,51282
22,DB,1995,International Journal of Environmental Studies,An interdisciplinary study of urban noise pollution: Part II,10.1080/00207239508710998,BORDERLINE,1995_InteJour_Verzini et al_An interdisciplinary study of urban noise pollution part II.pdf,TXT_0022.txt,12,29394
29,DB,1997,ENVIRONMENT INTERNATIONAL,Subjective reactions to traffic noise with regard to some personality traits,10.1016/s0160-4120(97)00008-1,BORDERLINE,1997_EnvInt_Belojevic_Subjective reactions to traffic noise with regard to some personality.pdf,TXT_0029.txt,6,23239
46,DB,2002,American Journal of Epidemiology,Neighborhood environment and loss of physical function in older adults: Evidence from the Alameda County Study,10.1093/aje/155.6.507,BORDERLINE,2002_AmerJour_Balfour_Neighborhood Environment and Loss of Physical Function in Older Adults.pdf,TXT_0046.txt,9,46712
55,DB,2004,Journal of the Acoustical Society of America,"Longitudinal surveys on effects of changes in road traffic noise - Annoyance, activity disturbances, and psycho-social well-being",10.1121/1.1639333,BORDERLINE,2004_JASA_Öhrström_Longitudinal surveys on effects of changes in road traffic noise—annoy.pdf,TXT_0055.txt,11,68616
68,DB,2007,ROAD & TRANSPORT RESEARCH,Daytime population tracking for planning and pollution exposure assessment,,BORDERLINE,2007_RoadTran_Collins & Greaves_Daytime population tracking for planning and pollution exposure assess.pdf,TXT_0068.txt,18,46577
80,DB,2008,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",10.1121/1.2821955,INCLUDE,"2008_JASA_Yu & Kang_Effects of social, demographical and behavioral factors on the sound l.pdf",TXT_0080.txt,13,56147
94,DB,2009,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,Effects of noise pollution on traffic policemen,,BORDERLINE,2009_InteJour_Unknown_Effects of noise pollution on traffic policemen.pdf,TXT_0094.txt,8,24153
104,DB,2009,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,10.1121/1.3183377,INCLUDE,2009_JASA_Yu & Kang_Modeling subjective evaluation of soundscape quality in urban open spa.pdf,TXT_0104.txt,12,55020
186,DB,2012,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Influence of vehicle driving parameters on the noise caused by passenger cars in urban traffic,10.1016/j.trd.2012.06.002,BORDERLINE,2012_TransRes_Calvo et al_Influence of vehicle driving parameters on the noise caused by passeng.pdf,TXT_0186.txt,5,14095
188,DB,2012,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Multiple environmental burdens and neighborhood-related health of city residents,10.1016/j.jenvp.2012.05.002,BORDERLINE,2012_JEnvPsych_Honold et al_Multiple environmental burdens and neighborhood-related health of city.pdf,TXT_0188.txt,13,94023
194,DB,2012,NOISE CONTROL ENGINEERING JOURNAL,Relating the near field noise of passenger cars with the driving behavior,10.3397/1.3682961,BORDERLINE,2012_NoisCont_Ibarra et al_Relating the near field noise of passenger cars with the driving behav.pdf,TXT_0194.txt,13,30663
251,DB,2014,URBAN FORESTRY & URBAN GREENING,"Elderly visitors of an urban park, health anxiety and individual awareness of nature experiences",10.1016/j.ufug.2014.05.006,BORDERLINE,"2014_UrbaFore_Dzhambov & Dimitrova_Elderly visitors of an urban park, health anxiety and individual aware.pdf",TXT_0251.txt,35,55763
268,DB,2014,APPLIED ACOUSTICS,The effects of expectation on the perception of soundscapes,10.1016/j.apacoust.2014.03.016,BORDERLINE,2014_ApplAcoust_Bruce & Davies_The effects of expectation on the perception of soundscapes.pdf,TXT_0268.txt,11,46780
301,DB,2015,ENVIRONMENTAL HEALTH,Street-level noise in an urban setting: assessment and contribution to personal exposure,10.1186/s12940-015-0006-y,BORDERLINE,0301_2015_Street-level noise in an urban setting assessment and contri.xml,TXT_0301.txt,0,43779
351,DB,2016,Environment International,Long-term transportation noise annoyance is associated with subsequent lower levels of physical activity,10.1016/j.envint.2016.03.011,BORDERLINE,2016_EnvInt_Foraster et al_Long-term transportation noise annoyance is associated with subsequent.pdf,TXT_0351.txt,9,59216
378,DB,2016,Journal of Transportation Engineering,Urban noise analysis using multinomial logistic regression,10.1061/(asce)te.1943-5436.0000843,BORDERLINE,2016_JourOf_Geraghty & O’Mahony_Urban Noise Analysis Using Multinomial Logistic Regression.pdf,TXT_0378.txt,11,49050
387,DB,2017,SCIENCE OF THE TOTAL ENVIRONMENT,A comprehensive methodology for the multidimensional and synchronic data collecting in soundscape,10.1016/j.scitotenv.2016.12.061,BORDERLINE,2017_STOTEN_Kogan et al_A comprehensive methodology for the multidimensional and synchronic da.pdf,TXT_0387.txt,10,66726
411,DB,2017,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,Effects of urban motorways on physical activity and sedentary behaviour in local residents: a natural experimental study,10.1186/s12966-017-0557-0,BORDERLINE,0411_2017_Effects of urban motorways on physical activity and sedentar.xml,TXT_0411.txt,0,50094
412,DB,2017,EXPOSURE AND HEALTH,"Environmental Quality Assessment in Areas Used for Physical Activity and Recreation in a City Affected by Intense Urban Expansion (Fortaleza-CE, Brazil): Implications for Public Health Policy",10.1007/s12403-016-0230-x,BORDERLINE,2017_ExpoAnd_Rocha et al_Environmental Quality Assessment in Areas Used for Physical Activity a.pdf,TXT_0412.txt,14,62750
433,DB,2017,ENVIRONMENT INTERNATIONAL,"Residential road traffic noise and general mental health in youth: The role of noise annoyance, neighborhood restorative quality, physical activity, and social cohesion as potential mediators",10.1016/j.envint.2017.09.009,BORDERLINE,2017_EnvInt_Dzhambov et al_Residential road traffic noise and general mental health in youth The.pdf,TXT_0433.txt,9,64571
444,DB,2017,Social and Cultural Geography,The role of fluctuating soundscapes in shaping the emotional geographies of individuals living with Ménière’s disease,10.1080/14649365.2016.1228116,BORDERLINE,2017_SociAmp_Bell_The role of fluctuating soundscapes in shaping the emotional geographi.pdf,TXT_0444.txt,21,75577
484,DB,2018,ENVIRONMENTAL RESEARCH,Multiple pathways link urban green- and bluespace to mental health in young adults,10.1016/j.envres.2018.06.004,BORDERLINE,2018_EnviRese_Dzhambov et al_Multiple pathways link urban green- and bluespace to mental health in.pdf,TXT_0484.txt,11,80262
485,DB,2018,NOISE & HEALTH,Negative impact of noise and noise sensitivity on mental health in childhood,10.4103/nah.nah_9_18,BORDERLINE,0485_2018_Negative impact of noise and noise sensitivity on mental hea.xml,TXT_0485.txt,0,65064
489,DB,2018,ENVIRONMENTAL RESEARCH,Pathways linking residential noise and air pollution to mental ill-health in young adults,10.1016/j.envres.2018.06.031,BORDERLINE,2018_EnviRese_Dzhambov et al_Pathways linking residential noise and air pollution to mental ill-hea.pdf,TXT_0489.txt,8,59924
499,DB,2018,URBAN FORESTRY & URBAN GREENING,Spatial-temporal change analysis of plant soundscapes and their design methods,10.1016/j.ufug.2017.11.002,BORDERLINE,2018_UrbaFore_Song et al_Spatial-temporal change analysis of plant soundscapes and their design.pdf,TXT_0499.txt,10,41409
509,DB,2018,Urban Forestry and Urban Greening,Tranquillity Trails for urban areas,10.1016/j.ufug.2017.11.015,BORDERLINE,2018_UrbaFore_Watts_Tranquillity Trails for urban areas.pdf,TXT_0509.txt,8,28794
512,DB,2018,ENVIRONMENTAL RESEARCH,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,10.1016/j.envres.2017.09.015,BORDERLINE,2018_EnviRese_Dzhambov et al_Urban residential greenspace and mental health in youth Different appr.pdf,TXT_0512.txt,13,97606
556,DB,2019,LANDSCAPE AND URBAN PLANNING,"Neighbourhood greenness and mental wellbeing in Guangzhou, China: What are the pathways?",10.1016/j.landurbplan.2019.103602,BORDERLINE,"2019_LUP_Liu et al_Neighbourhood greenness and mental wellbeing in Guangzhou, China What.pdf",TXT_0556.txt,9,65107
559,DB,2019,APPLIED ACOUSTICS,Patterns to characterise the weekend effect on the environmental noise in coastal tourist towns,10.1016/j.apacoust.2019.07.014,BORDERLINE,2019_ApplAcoust_Sanchez-Sanchez et al_Patterns to characterise the weekend effect on the environmental noise.pdf,TXT_0559.txt,10,33168
562,DB,2019,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,"Recreational walking decisions in urban away-from-home environments: The relevance of air quality, noise, traffic, and the natural environment",10.1016/j.trf.2019.08.006,BORDERLINE,2019_TransRes_Bunds et al_Recreational walking decisions in urban away-from-home environments Th.pdf,TXT_0562.txt,13,61599
599,DB,2020,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Changes in noise levels in the city of Madrid during COVID-19 lockdown in 2020a),10.1121/10.0002008,BORDERLINE,0599_2020_Changes in noise levels in the city of Madrid during COVID-1.xml,TXT_0599.txt,0,30036
615,DB,2020,APPLIED ACOUSTICS,Evaluation of noise pollution related to human perception in a university campus in Brazil,10.1016/j.apacoust.2019.107023,BORDERLINE,2020_ApplAcoust_de Souza et al_Evaluation of noise pollution related to human perception in a univers.pdf,TXT_0615.txt,11,41448
623,DB,2020,UCL open. Environment,How did the 'state of emergency' declaration in Japan due to the COVID-19 pandemic affect the acoustic environment in a rather quiet residential area?,10.14324/111.444/ucloe.000009,BORDERLINE,2020_UclOpen_Sakagami_How did the ‘state of emergency’ declaration in Japan due to the COVID.pdf,TXT_0623.txt,10,32078
624,DB,2020,TOURISM MANAGEMENT PERSPECTIVES,How do Chinese tourists perceive tranquillity during the tour?,10.1016/j.tmp.2020.100666,BORDERLINE,2020_TourMana_Hu et al_How do Chinese tourists perceive tranquillity during the tour.pdf,TXT_0624.txt,14,93751
639,DB,2020,NOISE MAPPING,"Noise at the time of COVID 19: The impact in some areas in Rome and Milan, Italy",10.1515/noise-2020-0021,BORDERLINE,2020_NoiseMapp_Pagès et al_Noise at the time of COVID 19 The impact in some areas in Rome and Mil.pdf,TXT_0639.txt,17,41753
692,DB,2021,FRONTIERS IN SOCIOLOGY,Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Middle-Income-Country Secondary Cities and Their Implications for Long-Term Livability,10.3389/fsoc.2021.729453,BORDERLINE,2021_FronIn_Cinderby et al_Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Mi.pdf,TXT_0692.txt,17,75462
709,DB,2021,PEOPLE AND NATURE,Ecosystem services enhanced through soundscape management link people and wildlife,10.1002/pan3.10156,BORDERLINE,2021_PeopAnd_Levenhagen et al_Ecosystem services enhanced through soundscape management link people.pdf,TXT_0709.txt,15,73580
713,DB,2021,APPLIED ACOUSTICS,Effects of environmental sound quality on soundscape preference in a public urban space,10.1016/j.apacoust.2020.107570,BORDERLINE,2021_ApplAcoust_Ma et al_Effects of environmental sound quality on soundscape preference in a p.pdf,TXT_0713.txt,10,49062
772,DB,2021,INTERNATIONAL JOURNAL OF MULTILINGUALISM,The sacred and the banal: linguistic landscapes inside the Grand Mosque of Mecca,10.1080/14790718.2020.1766048,BORDERLINE,2021_InteJour_Alsaif & Starks_The sacred and the banal linguistic landscapes inside the Grand Mosque.pdf,TXT_0772.txt,23,59674
819,DB,2022,APPLIED ACOUSTICS,"Does social perception data express the spatio-temporal pattern of perceived urban noise? A case study based on 3,137 noise complaints in Fuzhou, China",10.1016/j.apacoust.2022.109129,BORDERLINE,2022_ApplAcoust_Guo et al_Does social perception data express the spatio-temporal pattern of per.pdf,TXT_0819.txt,10,57997
823,DB,2022,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,Enhancing the park experience by giving visitors control over the park's soundscape,10.3233/ais-220621,BORDERLINE,2022_JourOf_De Pessemier et al_Enhancing the park experience by giving visitors control over the park.pdf,TXT_0823.txt,18,73953
831,DB,2022,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,Forest 404: Using a BBC drama series to explore the impact of nature?s changing soundscapes on human wellbeing and behavior,10.1016/j.gloenvcha.2022.102497,BORDERLINE,0831_2022_Forest 404 Using a BBC drama series to explore the impact of.xml,TXT_0831.txt,0,83027
888,DB,2023,International Journal of Environmental Research and Public Health,A Perceptual Structure of Soundscapes in Urban Public Spaces Using Semantic Coding Based on the Grounded Theory,10.3390/ijerph20042932,BORDERLINE,2023_IJERPH_Cao & Kang_A Perceptual Structure of Soundscapes in Urban Public Spaces Using Sem.pdf,TXT_0888.txt,14,54541
927,DB,2023,ENVIRONMENTAL RESEARCH,"Joint associations and pathways from greenspace, traffic-related air pollution, and noise to poor self-rated general health: A population-based study in Sofia, Bulgaria",10.1016/j.envres.2023.116087,BORDERLINE,"2023_EnviRese_Dzhambov et al_Joint associations and pathways from greenspace, traffic-related air p.pdf",TXT_0927.txt,13,105685
932,DB,2023,Mobilities,Negotiating the city during the dark season: a study of recreational running,10.1080/17450101.2023.2226357,BORDERLINE,2023_Mobi_Lepoša et al_Negotiating the city during the dark season a study of recreational ru.pdf,TXT_0932.txt,17,69520
957,DB,2023,Civil Engineering and Architecture,The Difference of the Surrounding Environment's Function Complexity on the Formation of Environmental Sound Character,10.13189/cea.2023.110132,BORDERLINE,2023_CiviEngi_Syamsiyah et al_The Difference of the Surrounding Environment's Function Complexity on.pdf,TXT_0957.txt,11,33447
972,DB,2023,ENVIRONMENTAL RESEARCH,Unintended impacts of the Open Streets program on noise complaints in New York City,10.1016/j.envres.2023.115501,BORDERLINE,2023_EnviRese_Benavides et al_Unintended impacts of the Open Streets program on noise complaints in.pdf,TXT_0972.txt,8,40218
1002,DB,2024,DISCOVER SUSTAINABILITY,Comparison of current and proposed travel modes for students considering travelling and sustainable indicators,10.1007/s43621-024-00605-8,BORDERLINE,2024_Sustainability_Farooq et al_Comparison of current and proposed travel modes for students consideri.pdf,TXT_1002.txt,18,67486
1013,DB,2024,INNOVATION IN AGING,Engaging Nigerian Older Persons in Neighborhood Environment Assessment for Physical Activity Participation: A Citizen Science Project,10.1093/geroni/igad066,BORDERLINE,1013_2024_Engaging Nigerian Older Persons in Neighborhood Environment.xml,TXT_1013.txt,0,40948
1092,DB,2025,ENVIRONMENTAL RESEARCH,A sensor-based study on the environmental determinants of sleep in older adults,10.1016/j.envres.2025.120874,BORDERLINE,2025_EnviRese_Montanari et al_A sensor-based study on the environmental determinants of sleep in old.pdf,TXT_1092.txt,37,94223
1143,DB,2025,SCIENTIFIC REPORTS,Human sounds and associated tonality disrupting perceived soundscapes in protected natural areas,10.1038/s41598-025-08524-y,BORDERLINE,1143_2025_Human sounds and associated tonality disrupting perceived so.xml,TXT_1143.txt,0,84416
1169,DB,2025,LANDSCAPE ARCHITECTURE AND ART,SOUND STUDIES OF THE ARCHITECTURAL ENVIRONMENT: URBAN SOUNDSCAPE AND SOUND SEMANTICS,10.22616/j.landarchart.2025.27.02,BORDERLINE,2025_LandArch_Troshkina et al_Sound studies of the architectural environment urban soundscape and so.pdf,TXT_1169.txt,7,48042
1172,DB,2025,SCIENTIFIC REPORTS,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Canal National Cultural Park based on the expert perspective,10.1038/s41598-025-30347-0,BORDERLINE,1172_2025_Study on the correlation between soundscape perception and p.xml,TXT_1172.txt,0,67753
1175,DB,2025,ENVIRONMENT INTERNATIONAL,"The ""things"" we adjust for in greenness epidemiology: relationships between greenness and lifestyle and environmental factors in the Swedish SCAPIS cohort",10.1016/j.envint.2025.109876,BORDERLINE,2025_EnvInt_Sdona et al_The “things” we adjust for in greenness epidemiology relationships bet.pdf,TXT_1175.txt,13,70075
1179,DB,2025,SCIENTIFIC REPORTS,The impact of spatial distribution of noise pollution from music recreation facilities and residents' perceptions in Chongqing municipality,10.1038/s41598-025-19918-3,BORDERLINE,1179_2025_The impact of spatial distribution of noise pollution from m.xml,TXT_1179.txt,0,50403
1182,DB,2025,ERJ OPEN RESEARCH,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical activity of people with COPD,10.1183/23120541.00132-2025,BORDERLINE,2025_ErjOpen_Vásquez-Andrade et al_The role of neighbourhood-level sociodemographic and socioeconomic cha.pdf,TXT_1182.txt,11,49972
1190,DB,2025,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,What's your type? A taxonomy of pedestrian route choice behaviour in cities,10.1016/j.trf.2025.01.012,BORDERLINE,2025_TransRes_Wozniak et al_What’s your type A taxonomy of pedestrian route choice behaviour in ci.pdf,TXT_1190.txt,18,97331
1191,DB,2026,"Journal of Engineering, Project, and Production Management",A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park,10.32738/jeppm-2025-228,BORDERLINE,2026_JourOf_Sun et al_A Perceived Acoustic Landscape Model for Zhangjiajie National Forest P.pdf,TXT_1191.txt,13,53373
1200,DB,2026,Scientific reports,"Assessing noise levels at social events within Kumasi Metropolis, Ghana.",10.1038/s41598-026-61794-y,BORDERLINE,"2026_SciRep_Sackey et al_Assessing noise levels at social events within Kumasi Metropolis, Ghan.pdf",TXT_1200.txt,27,56426
1203,DB,2026,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,Assessing the relationship between space-time behaviours and personal noise exposure using isotemporal substitution models in the Grand Paris area,10.1038/s41370-025-00765-3,BORDERLINE,2026_JourOf_Fancello et al_Assessing the relationship between space-time behaviours and personal.pdf,TXT_1203.txt,34,76082
1215,DB,2026,DATA IN BRIEF,Data from a public participation GIS survey on the everyday active travel experiences of residents from five European cities,10.1016/j.dib.2026.112981,BORDERLINE,1215_2026_Data from a public participation GIS survey on the everyday.xml,TXT_1215.txt,0,30686
1218,DB,2026,LAND,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Public Recreational Behavior in Urban Parks,10.3390/land15050811,BORDERLINE,2026_Land_Huang et al_Dynamic Perspectives Spatiotemporal Characteristics and Time-Segmented.pdf,TXT_1218.txt,26,86689
1239,DB,2026,PNAS NEXUS,Heart rate synchrony as a marker of real-world social engagement,10.1093/pnasnexus/pgag181,BORDERLINE,1239_2026_Heart rate synchrony as a marker of real-world social engage.xml,TXT_1239.txt,0,67029
1250,DB,2026,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"Less parking, more life? Promises and challenges of urban parking-space repurposing. Evidence from a controlled before-after quasi-experimental study in Berlin",10.1016/j.tra.2026.105090,BORDERLINE,"2026_TransRes_Salomo_Less parking, more life Promises and challenges of urban parking-space.pdf",TXT_1250.txt,16,88178
1275,DB,2026,LAND,Public Perception of Urban Forests in Portugal,10.3390/land15060919,BORDERLINE,2026_Land_Guedes et al_Public Perception of Urban Forests in Portugal.pdf,TXT_1275.txt,19,66658
