id,branch,year,journal,title,doi,screening,source_file,txt,pages,chars
CT0100,CT,2023,Journal of Outdoor Recreation and Tourism,"National forest park visitors’ connectedness to nature and pro-environmental behavior: The effects of cultural ecosystem service, place and event attachment",10.1016/j.jort.2023.100621,UNCERTAIN,2023_JORT_Zhang et al_National forest park visitors’ connectedness to nature and pro-environ.pdf,TXT_CT0100.txt,10,78666
CT0125,CT,2022,Journal of Transport Geography,Residential and workplace neighborhood environments and life satisfaction: Exploring chain-mediation effects of activity and place satisfaction,10.1016/j.jtrangeo.2022.103435,UNCERTAIN,2022_JTransGeogr_Sun et al_Residential and workplace neighborhood environments and life satisfact.pdf,TXT_CT0125.txt,10,70712
CT0153,CT,2024,Computers Environment and Urban Systems,Machine-based understanding of noise perception in urban environments using mobility-based sensing data,10.1016/j.compenvurbsys.2024.102204,UNCERTAIN,2024_CompEnvi_Song et al_Machine-based understanding of noise perception in urban environments.pdf,TXT_CT0153.txt,14,75293
CT0171,CT,2021,The Science of The Total Environment,Effects of a human sound-based index on the soundscapes of urban open spaces,10.1016/j.scitotenv.2021.149869,UNCERTAIN,2021_STOTEN_Yang et al_Effects of a human sound-based index on the soundscapes of urban open.pdf,TXT_CT0171.txt,11,61342
CT0221,CT,2024,Applied Geography,Association between built environment factors and collective walking behavior in peri-urban area: Evidence from Chengdu,10.1016/j.apgeog.2024.103274,UNCERTAIN,2024_ApplGeogr_Zeng et al_Association between built environment factors and collective walking b.pdf,TXT_CT0221.txt,12,81054
CT0264,CT,2024,Applied Geography,Comparing the impacts of built environment across different objective life neighborhoods on the out-of-home leisure activities of employed people using massive mobile phone data,10.1016/j.apgeog.2024.103382,UNCERTAIN,2024_ApplGeogr_Xiong et al_Comparing the impacts of built environment across different objective.pdf,TXT_CT0264.txt,13,68479
CT0307,CT,2023,Environmental Science and Pollution Research,Drastic mobility restrictions during SARS-CoV-2 pandemic: an opportunity to learn about constraints on the way to a pollution-free city,10.1007/s11356-023-30631-4,UNCERTAIN,2023_EnviScie_Vílchez-Gómez et al_Drastic mobility restrictions during SARS-CoV-2 pandemic an opportunit.pdf,TXT_CT0307.txt,18,80214
CT0313,CT,2025,Computers Environment and Urban Systems,The association of subjective physical disorder and pedestrian volume: A big urban data and machine-learning approach,10.1016/j.compenvurbsys.2025.102348,UNCERTAIN,2025_CompEnvi_Liu et al_The association of subjective physical disorder and pedestrian volume.pdf,TXT_CT0313.txt,18,85345
CT0329,CT,2025,Urban forestry & urban greening,"Soundscape diversity in urban green spaces: Spatial-temporal variations, influencing factors and optimization strategies",10.1016/j.ufug.2025.128929,UNCERTAIN,2025_UrbaFore_Xiang et al_Soundscape diversity in urban green spaces Spatial-temporal variations.pdf,TXT_CT0329.txt,15,75943
CT0360,CT,2026,Computers Environment and Urban Systems,Decoding urban soundscapes: spatial prediction and influence mechanism analysis with interpretable semi-supervised learning,10.1016/j.compenvurbsys.2026.102412,UNCERTAIN,2026_CompEnvi_Cai et al_Decoding urban soundscapes spatial prediction and influence mechanism.pdf,TXT_CT0360.txt,17,92842
CT0369,CT,2025,Transport Policy,"Identifying the effect of street network system on activity behaviours near the homes of older adults: An analytical framework integrating transportation, social, and natural attributes",10.1016/j.tranpol.2025.05.015,UNCERTAIN,2025_TransPolicy_Han et al_Identifying the effect of street network system on activity behaviours.pdf,TXT_CT0369.txt,17,98386
CT0373,CT,2026,Environmental Impact Assessment Review,Health-related activity outcomes of visual characteristics in urban green spaces: An on-site comparison between self-reported and observed activities,10.1016/j.eiar.2026.108451,UNCERTAIN,2026_EnviImpa_Zhang et al_Health-related activity outcomes of visual characteristics in urban gr.pdf,TXT_CT0373.txt,16,74755
CT0391,CT,2025,PRESENCE Virtual and Augmented Reality,The Impact of Auditory Traffic Perception on Pedestrians’ Street-Crossing Behavior: Insights from Real and Virtual Environments,10.1162/pres.a.8,RETRIEVE,2025_PresVirt_Feldstein & Cavallo_The Impact of Auditory Traffic Perception on Pedestrians’ Street-Cross.pdf,TXT_CT0391.txt,19,80741
CT0422,CT,2026,Sustainable Cities and Society,Prioritizing jogging-friendly streets in active mobility planning: A decision-support framework integrating trajectory evidence and expert judgment,10.1016/j.scs.2026.107693,UNCERTAIN,2026_SCS_Tu et al_Prioritizing jogging-friendly streets in active mobility planning A de.pdf,TXT_CT0422.txt,20,129488
89,DB,2009,Park Science,A program of research to support management of visitor-caused noise at Muir Woods National Monument,,BORDERLINE,2009_ParkScie_Manning et al_A program of research to support management of visitor-caused noise at.pdf,TXT_0089.txt,10,19165
103,DB,2009,Park Science,Modeling and mapping hikers' exposure to transportation noise in Rocky Mountain National Park,,BORDERLINE,2009_ParkScie_Park et al_Modeling and mapping hikers' exposure to transportation noise in Rocky.pdf,TXT_0103.txt,6,24243
137,DB,2011,JOURNAL OF PARK AND RECREATION ADMINISTRATION,An Examination of the Guided Night Hiking Experience in Parks and Protected Areas,,BORDERLINE,2011_JourOf_Beeco et al_An Examination of the Guided Night Hiking Experience in Parks and Prot.pdf,TXT_0137.txt,110,364916
240,DB,2014,JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES: A CASE STUDY ON THE QUALITATIVE DIMENSIONS OF SOUNDS,,BORDERLINE,2014_JourOf_Hellström_ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES A CASE STU.pdf,TXT_0240.txt,12,35883
357,DB,2016,LANDSCAPE ARCHITECTURE FRONTIERS,PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE,,BORDERLINE,2016_Land_Han & Zhao_PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE.pdf,TXT_0357.txt,5,36496
