id,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
1172,other,"Self-reported environmentally responsible behaviours (ER1-ER4, 5-point Likert latent variable)","SEM standardized direct paths from natural (NS), artificial (AS), mechanical (MS) and canal cultural (CCS) soundscape perception to ER, with place attachment as mediator",regression,"HA1 NS->ER 0.235, S.E 0.077, CR 3.063, p 0.002; HA2 AS->ER 0.120, 0.065, 1.833, 0.067; HA3 MS->ER -0.067, 0.053, -1.258, 0.208; HA4 CCS->ER 0.252, 0.066, 3.835, ***; total effects (Table 9) NS 0.351, AS 0.277, MS -0.130, CCS 0.282",172 expert participants (valid questionnaires); each rated all 16 sound sources (within-subject exposure),Table 8; Table 9; Results section,canal cultural soundscapes had the strongest promotional effect on environmentally responsible behaviors,NO
1172,other,"Self-reported heritage conservation behaviours (HP1-HP4, 5-point Likert latent variable)","SEM standardized direct paths from natural (NS), artificial (AS), mechanical (MS) and canal cultural (CCS) soundscape perception to HP, with place attachment as mediator",regression,"HB1 NS->HP 0.263, S.E 0.064, CR 4.144, ***; HB2 AS->HP 0.181, 0.052, 3.455, ***; HB3 MS->HP -0.068, 0.040, -1.690, 0.091; HB4 CCS->HP 0.208, 0.052, 4.019, ***; total effects (Table 9) NS 0.263**, AS 0.255**, MS -0.096**, CCS 0.208**",172 expert participants (valid questionnaires); each rated all 16 sound sources (within-subject exposure),Table 8; Table 9; Results section,natural soundscapes exert the strongest positive influence on heritage conservation behaviors,NO
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 1 (Germany Kassel, Bahnhofsplatz): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.01/0.81 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",418 interviewees at site 1 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 2 (Germany Kassel, Florentiner): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.10/0.04 * (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",406 interviewees at site 2 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 3 (Greece Athens, Karaiskaki): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.05/0.24 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",655 interviewees at site 3 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 4 (Greece Athens, Seashore): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.06/0.06 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",848 interviewees at site 4 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 5 (Greece Thessaloniki, Kritis): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.03/0.41 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",777 interviewees at site 5 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 6 (Greece Thessaloniki, Makedonomahon): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.03/0.29 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",1037 interviewees at site 6 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 7 (Italy Milan, IV Novembre): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.02/0.57 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",574 interviewees at site 7 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
80,correlation,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 8 (Italy Milan, Piazza Petazzi): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.12/0.00** (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",599 interviewees at site 8 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V,significant differences and corrections are only found at two case study sites,YES
