no,verdict,doi,status,pdf_url,title
7,INCLUDE,10.1080/00224545.1978.9924035,PAYWALLED,,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo
14,INCLUDE,10.1016/s0272-4944(88)80035-5,PAYWALLED,,Urban stress and helping behavior: Effects of environmental overload and noise on behavior
53,INCLUDE,10.1080/00140130410001712609,PAYWALLED,,Directional guidance from audible pedestrian signals for street crossing
71,INCLUDE,10.1016/j.landurbplan.2007.03.003,PAYWALLED,,Noise and well-being in urban residential environments:: The potential role of perceived availabilit
80,INCLUDE,10.1121/1.2821955,ERR:HTTPError,https://pubs.aip.org/asa/jasa/article-pdf/123/2/772/14902576/772_1_online.pdf,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open "
104,INCLUDE,10.1121/1.3183377,PAYWALLED,,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural netw
121,INCLUDE,10.3390/ijerph7113890,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/7/11/3890/pdf?version=1403138657,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas
123,INCLUDE,10.1016/j.apacoust.2010.02.005,PAYWALLED,,Factors influencing the sound preference in urban open spaces
271,INCLUDE,10.18848/2324-7576/cgp/v09i01/53520,PAYWALLED,,Towards an evidence-based model for assessing urban squares as social places
323,INCLUDE,10.3390/app6100276,NOT_PDF_CONTENT,https://www.mdpi.com/2076-3417/6/10/276/pdf?version=1475140853,An Experimental Study on the Influence of Soundscapes on People's Behaviour in an Open Public Space
341,INCLUDE,10.1016/j.scitotenv.2016.08.130,PAYWALLED,,Effect of sound-related activities on human behaviours and acoustic comfort in urban open spaces
372,INCLUDE,10.3390/ijerph13121229,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/13/12/1229/pdf?version=1481763375,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective
379,INCLUDE,10.1515/noise-2016-0016,NOT_PDF_CONTENT,https://www.degruyter.com/document/doi/10.1515/noise-2016-0016/pdf,Urban park soundscape in distinct sociocultural and geographical contexts
406,INCLUDE,10.1016/j.scitotenv.2017.06.017,PAYWALLED,,Effect of temporary open-air markets on the sound environment and acoustic perception based on the c
435,INCLUDE,10.1080/20551940.2018.1451221,PAYWALLED,,Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions in Udlajan
461,INCLUDE,10.3390/ijerph15040752,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/15/4/752/pdf?version=1526286119,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed
469,INCLUDE,10.1080/10941665.2018.1494614,PAYWALLED,,Exploring tourists' soundscape emotion and its impact on sustainable tourism development
480,INCLUDE,10.3390/app8122524,NOT_PDF_CONTENT,https://www.mdpi.com/2076-3417/8/12/2524/pdf?version=1544619430,Influence of Contextual Factors on Soundscape in Urban Open Spaces
481,INCLUDE,10.3389/fpsyg.2018.00596,OK,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00596/pdf,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces
492,INCLUDE,10.3389/fpsyg.2018.01593,ERR:HTTPError,https://fjfsdata01prod.blob.core.windows.net/articles/files/366858/pubmed-zip/.versions/1/.package-entries/fpsyg-09-01593/fpsyg-09-01593.pdf?sv=2018-03-28&sr=b&sig=NwsyYu3WqZaUTvSOSiSxyEmJe93v4TNb3Q3%2FdCDnhOE%3D&se=2021-02-19T10%3A13%3A44Z&sp=r&rscd=attachment%3B%20filename%2A%3DUTF-8%27%27fpsyg-09-01593.pdf,Public Space Users' Soundscape Evaluations in Relation to Their Activities. An Amsterdam-Based Study
494,INCLUDE,10.1016/j.scitotenv.2017.12.148,NO_OA_PDF_URL,,"Relationships among satisfaction, noise perception, and use of urban green spaces"
520,INCLUDE,10.3813/aaa.919327,NO_OA_PDF_URL,,An Exploratory Study on the Influence of Activities on Public Space Users' Descriptions of Their Aud
532,INCLUDE,10.7717/peerj.7711,NO_OA_PDF_URL,,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons
539,INCLUDE,10.1016/j.ufug.2017.11.003,ERR:HTTPError,https://discovery.ucl.ac.uk/10058746/1/Factors%20associated%20with%20soundscape%20experiences%20in%20urban%20green%20spaces.pdf,"Factors associated with soundscape experiences in urban green spaces: A case study in Rostock, Germa"
560,INCLUDE,10.1016/j.ufug.2019.126470,NO_OA_PDF_URL,,Perceptions and use of urban green spaces on the basis of size
566,INCLUDE,10.3390/ijerph16101865,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/16/10/1865/pdf?version=1558952440,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention
602,INCLUDE,10.1016/j.buildenv.2020.107327,PAYWALLED,,"Comparing associations among sound sources, human behaviors, and soundscapes on central business and"
617,INCLUDE,10.3390/su12114619,NOT_PDF_CONTENT,https://www.mdpi.com/2071-1050/12/11/4619/pdf?version=1591861452,Examining the Associations between Oases Soundscape Components and Walking Speed: Correlation or Cau
661,INCLUDE,10.3390/app10082913,NOT_PDF_CONTENT,https://www.mdpi.com/2076-3417/10/8/2913/pdf,The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decision-Making: A Study in a Virt
665,INCLUDE,10.1016/j.buildenv.2020.107104,ERR:HTTPError,https://discovery.ucl.ac.uk/10107341/1/whiterose-bmh.pdf,The effects of sounds and food odour on crowd behaviours in urban public open spaces
666,INCLUDE,10.1016/j.landurbplan.2020.103890,PAYWALLED,,The influence of human behavioral characteristics on soundscape perception in urban parks: Subjectiv
724,INCLUDE,10.1016/j.emospa.2021.100848,PAYWALLED,,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Italy
725,INCLUDE,10.3389/fpubh.2021.759444,OK,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2021.759444/pdf,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During the COVID
732,INCLUDE,10.1016/j.buildenv.2020.107490,NO_OA_PDF_URL,,Investigating contextual influences on urban soundscape evaluations with structural equation modelin
744,INCLUDE,10.1142/s0219525921500119,PAYWALLED,,PEDESTRIAN DYNAMICS IN SINGLE-FILE MOVEMENT UNDER BACKGROUND MUSIC WITH DIFFERENT TEMPOS
746,INCLUDE,10.1016/j.tbs.2021.01.002,PAYWALLED,,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago, Chile"
760,INCLUDE,10.22034/ijhcum.2021.01.02,PAYWALLED,,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kano Model
761,INCLUDE,10.3390/f12040468,NOT_PDF_CONTENT,https://www.mdpi.com/1999-4907/12/4/468/pdf?version=1618228711,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational Forest Pa
770,INCLUDE,10.3390/ijerph182312618,NOT_PDF_CONTENT,https://www.mdpi.com/1660-4601/18/23/12618/pdf?version=1638261343,The influence of emotional health on the activity characteristics of the elderly and the selection o
779,INCLUDE,10.1016/j.envint.2021.106700,ERR:HTTPError,https://www.sciencedirect.com/science/article/pii/S0160412021003251/pdf,Urban environment and obesity and weight-related behaviours in primary school children
804,INCLUDE,10.3390/f13060948,NOT_PDF_CONTENT,https://www.mdpi.com/1999-4907/13/6/948/pdf?version=1655790505,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in China
818,INCLUDE,10.3390/land11091505,NOT_PDF_CONTENT,https://www.mdpi.com/2073-445X/11/9/1505/pdf?version=1662559670,Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in Longcanggou
833,INCLUDE,10.1016/j.jth.2021.101325,PAYWALLED,,How are air pollution and noise perceived en route? Investigating cyclists' and pedestrians' persona
853,INCLUDE,10.2148/benv.48.2.244,PAYWALLED,,Revisiting Public Space Transformations from a Sonic Perspective during the COVID-19 Pandemic
