sid,verdict,reason_code,note,doi,title
111,EXCLUDE,E5,소음 건강 정책 논설·실증 아님,10.1016/j.outlook.2017.08.001,Reduce noise: Improve the nation's health
112,EXCLUDE,E5,도시 청취 도서 서평·비실증,10.1353/atj.2020.0049,Tokyo Listening: Sound and Sense in a Contemporary City by Lorraine Plourde
113,EXCLUDE,E7,카탈루냐어 지역 논문·문헌유형 불명,,El Sanatori del Montseny
114,EXCLUDE,E5,특집호 편집 사설·실증 아님,10.1515/noise-2021-0015,Noise Mapping Special Issue: The noise climate at the time of SARS-CoV-2 Virus/COVID-19 Disease
115,EXCLUDE,E5,신경발달 소음 논평·실증 아님,10.1038/s41370-024-00725-3,Neurodevelopmental costs of noise pollution–is history rhyming again?
116,EXCLUDE,E5,도시화·정신건강 사설·비실증,10.4103/ipj.ipj_299_23,Declining mental health: An aftermath of fast-paced urbanization
117,EXCLUDE,E2,치매 환자 임상 청각검사·실내 임상,10.1002/alz.080144,The auditory phenotype of behavioural variant frontotemporal dementia
118,EXCLUDE,E5,제인 오스틴 소설 문학비평·비실증,10.1353/ecy.2023.a950265,“Noisy Pleasures” and “Noisy Evil[s]”: The Political Dimensions of Sound in Jane Austen’s Mansfield Park
119,EXCLUDE,E4,위성영상 소음지도 추정·행태 아웃컴 없음,10.6008/cbpc2179-6858.2022.007.0006,Environmental noise assessment using vegetation indices extracted from satellite imaging
120,EXCLUDE,E1,고대 문헌 속 조류 도서 서평,10.1093/auk/ukz001,Birds in the Ancient World: Winged Words
121,EXCLUDE,E5,환경·정신건강 임상진료지침·비실증,10.4103/indianjpsychiatry.indianjpsychiatry_792_23,Clinical practice guidelines on the environment and mental well-being
122,EXCLUDE,E5,예술 설치작품 소개 논설·비실증,10.21037/cdt.2017.03.08,The landscape of congenital heart disease
123,EXCLUDE,E5,차량추종 교통소음 예측 시뮬레이션·행태 없음,,Research on Road Traffic Noise Prediction Model Based on Car-following Theory
124,EXCLUDE,E1,동물 의사소통 진화 도서 서평,10.1641/0006-3568(2006)56[849:waash]2.0.co;2,The Evolution of Animal Communication: Reliability and Deception in Signaling Systems
125,RETRIEVE,,도시광장 이용·체류 의향과 교통소음 함께 다룸,10.47116/apjcri.2025.08.30,"An Analysis of Environmental Design Perception and Experience in Urban Squares Based on Phenomenology of Perception: A Citizen Interview Study of Dongfanghong Square in Lanzhou, China"
126,EXCLUDE,E7,말레이어 논문·언어 부적합,,Tahap kebisingan trafik dan kesannya terhadap persekitaran pengajaran-pembelajaran sekolah di pusat bandar Kuala Terengganu (Traffic noise and its impact on school teaching and learning environment in Kuala Terengganu city center)
127,EXCLUDE,E4,관상동맥 석회화 결과·행태 아웃컴 아님,10.1097/01.ede.0000392485.59925.d8,Does Traffic Noise Explain the Association of Residential Proximity to Traffic With Coronary Artery Calcification?
128,EXCLUDE,E4,SID 127 동일연구 독일 학회초록·건강 결과만,10.1055/s-0030-1266411,Does traffic noise explain the association of residential proximity to traffic with coronary artery calcification?
129,EXCLUDE,E1,동물 전통·문화 도서 서평,10.1641/0006-3568(2004)054[0958:dfc]2.0.co;2,DIVING FOR CHOCOLATE
130,EXCLUDE,E3,"직장인 스트레스·대처, 음환경 변수 없음",10.1016/0091-7435(79)90307-4,Perceived stress and coping behavior: A social-psychologic comparison of hypertensive and normotensive employees
131,EXCLUDE,E7,INTER-NOISE 학회초록·차량 소음규제,,A speed and acceleration limit in the noise type approval of vehicles will enable silent cars to reveal their silence.
132,EXCLUDE,E5,청소년 비만·야간소음 논평·비실증,10.1002/oby.20712,"Teens' obesity, noise and sleep deprivation: A perverse liaison. Let's move beyond “movida”"
133,EXCLUDE,E6,대류권 전파 산란 물리학·주제 무관,10.1016/0021-9169(59)90103-5,Radio scattering by tropospheric irregularities
134,EXCLUDE,E4,소음짜증·혈압 결과·행태 아웃컴 없음,10.1097/00001648-200407000-00416,"URBANIZATION, HOUSING QUALITY AND COMMUNITY NOISE ANNOYANCE"
135,EXCLUDE,E6,건물일체형 태양광 리모델링·주제 무관,10.69554/tmpv1796,BIPV solutions in district renovations towards nearly zero-energy cities
136,EXCLUDE,E2,학교 실내 대상·옥외 공공공간 아님,,Impact of Traffic-Related Environmental Noise on School Children and Teachers in a Northeast Brazilian Capital
137,EXCLUDE,E2,치매 환자 임상 청각검사·실내 임상,10.1002/alz.091457,The auditory phenotype of behavioural variant and right temporal variant frontotemporal dementia
138,EXCLUDE,E4,혈압·고혈압 유병 결과·행태 아님,10.1055/s-0030-1266410,Do proximity to high traffic and traffic noise influence blood pressure and hypertension in the general population?
139,EXCLUDE,E1,조류-항공기 충돌 리뷰·동물 대상,10.1093/auk/119.3.587,Competition in the Air: Birds Versus Aircraft
140,EXCLUDE,E2,실내 소매점 배경음악 실험·매장 내부,10.15728/bbr.2012.9.3.5,Influence of musical styles on customers attitude: experimental evidences in a retail store
