sid,verdict,year,journal,doi,title,type,crossref_type,language,oa_status,result,reason,file
1,UNCERTAIN,2005,Environmental Monitoring and Assessment,10.1007/s10661-005-8039-2,Environmental Quality Of Urban Parks And Open Spaces In Hong Kong,article,,en,closed,ok-20260918,8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_004421.csv:user],
5,RETRIEVE,2018,Physics Letters A,10.1016/j.physleta.2018.12.019,Experimental study on the effect of background music on pedestrian movement at high density,article,,en,closed,ok-20260918,8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_004421.csv:user],
11,RETRIEVE,2024,Geographical Research,10.1111/1745-5871.12632,"Performance and atmosphere in urban public spaces: Street music in Guangzhou, China",article,,en,closed,ok-20260918,8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_142349.csv:user],
40,UNCERTAIN,2016,Civil and environmental research,,Noise Pollution and Its Impact on Human Health and Social Behavior using Systems Approach-A Case Study in Kurnool City,,,,,ok-20260918,8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_010058.csv:auto],
41,RETRIEVE,2025,Korea Institute of Design Research Society,10.46248/kidrs.2025.2.49,"Sound, Symbol, and Space: An Ethnosemiotic Analysis of Vernacular Soundscapes in Honghai Morning Market",article,,en,closed,ok-20260918,8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_142349.csv:user],
50,RETRIEVE,2025,Landscape Architecture,10.3724/j.fjyl.202409200552,Nonlinear Relationship Between the Elderly&amp;rsquo;s Perception of Green Spaces and Their Activity Characteristics,article,,en,diamond,ok-20260918,8월 미확보(http418) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_142349.csv:user],
73,RETRIEVE,1994,The Journal of the Acoustical Society of America,10.1121/1.409379,"Auto traffic noise, air traffic noise, and the environmental quality of city streets: Test of a model",article,,en,closed,ok-20260918,8월 미확보(no-oa-pdf) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_142349.csv:user],
125,RETRIEVE,2025,Asia-pacific Journal of Convergent Research Interchange,10.47116/apjcri.2025.08.30,"An Analysis of Environmental Design Perception and Experience in Urban Squares Based on Phenomenology of Perception: A Citizen Interview Study of Dongfanghong Square in Lanzhou, China",article,,en,bronze,ok,,OAS0125_2025_An Analysis of Environmental Design Perception and Experience in Urban Squares B.pdf
154,RETRIEVE,2024,STUDIES IN ENGINEERING AND EXACT SCIENCES,10.54021/seesv5n1-116,"Acoustic analysis and control measures for noise in university: a case study of Adrar University, Algeria",article,,en,diamond,ok,,OAS0154_2024_Acoustic analysis and control measures for noise in university a case study of A.pdf
157,RETRIEVE,2025,ABUAD Journal of the Humanities-AGIDIGBO,10.53982/agidigbo.2025.1302.15-j,"Prayers at Dawn, Fuji at Noon: Music, Spirituality and Everyday Wellbeing among Urban Informal Workers in Ibadan",article,,en,diamond,ok,,"OAS0157_2025_Prayers at Dawn, Fuji at Noon Music, Spirituality and Everyday Wellbeing among U.pdf"
198,RETRIEVE,2024,STUDIES IN ENGINEERING AND EXACT SCIENCES,10.54021/seesv5n3-086,Acoustic and perceptual spatial delimitation in public places - a multi-criteria method,article,,en,diamond,ok,,OAS0198_2024_Acoustic and perceptual spatial delimitation in public places - a multi-criteria.pdf
209,RETRIEVE,2023,ITF Coaching & Sport Science Review,10.52383/itfcoaching.v31i89.364,"Experiments to identify the optimal sound to use in a new sound ball to improve recruitment, retention, health, and wellness for blind and visually impaired tennis players",article,,en,diamond,prescreen-exclude,코칭 뉴스레터 — 동료심사 저널 아님,
220,RETRIEVE,2001,INFRASTRUCTURE PLANNING REVIEW,10.2208/journalip.18.181,Location of Large-Scale Retail Stores under Economic Regulation and their Impact Assessment on Neighborhood Environment,article,,en,bronze,ok,,OAS0220_2001_Location of Large-Scale Retail Stores under Economic Regulation and their Impact.pdf
222,RETRIEVE,2017,European Journal of Public Health,10.1093/eurpub/ckx187.280,Effects of road-traffic nuisance on the active travel modes. What are the consequences?,article,,en,bronze,ok-20260918,8월 미확보(http403) → 2026-09-18 추가 확보 [manual_pdf_ingest_20260918_004421.csv:user],
299,RETRIEVE,2024,The Hearing Journal,10.1097/01.hj.0001094988.49033.64,Situations Avoided by People with Hyperacusis,article,,en,closed,prescreen-exclude,업계지(trade magazine) — 동료심사 저널 아님,
