sid,verdict,reason_code,note,doi,title,year,journal
1,UNCERTAIN,,"홍콩 도시공원 환경질, 초록 없어 음환경·행태 판단 불가",10.1007/s10661-005-8039-2,Environmental Quality Of Urban Parks And Open Spaces In Hong Kong,2005,Environmental Monitoring and Assessment
2,EXCLUDE,E1,도시소음 속 조류 발성 조정 연구,10.1642/0004-8038(2006)123[639:aciunc]2.0.co;2,AVIAN COMMUNICATION IN URBAN NOISE: CAUSES AND CONSEQUENCES OF VOCAL ADJUSTMENT,2006,The Auk
3,EXCLUDE,E1,"SID 2 중복, 조류 발성 연구",10.1093/auk/123.3.639,Avian Communication in Urban Noise: Causes and Consequences of Vocal Adjustment,2006,The Auk
4,EXCLUDE,E4,"시각장애인 사운드스케이프 지각 차원, 행태 아웃컴 없음",10.1080/12265934.2020.1713863,Appraising the sonic environment of urban parks using the soundscape dimension of visually impaired people,2020,International Journal of Urban Sciences
5,RETRIEVE,,"배경음악이 보행자 이동에 미친 영향, 세팅 확인 필요",10.1016/j.physleta.2018.12.019,Experimental study on the effect of background music on pedestrian movement at high density,2018,Physics Letters A
6,EXCLUDE,E1,"도시 생물음향 논고, 동물 대상",10.1016/j.anbehav.2005.07.014,Urban bioacoustics: it's not just noise,2006,Animal Behaviour
7,EXCLUDE,E4,"머신러닝 사운드스케이프 지수, 인간 행태 없음",10.3390/s23104797,Toward the Definition of a Soundscape Ranking Index (SRI) in an Urban Park Using Machine Learning Techniques,2023,Sensors
8,EXCLUDE,E4,"도시 교통소음 모니터링·예측, 행태 없음",10.3390/app8020251,Monitoring and Prediction of Traffic Noise in Large Urban Areas,2018,Applied Sciences
9,EXCLUDE,E1,레크리에이션 소음이 야생동물 행동·공간이용 변화,10.1016/j.cub.2024.05.030,Experimental recreationist noise alters behavior and space use of wildlife,2024,Current Biology
10,EXCLUDE,E4,"가로녹지 소음저감 효과 측정, 행태 없음",10.3390/f13050765,"Assessing the Traffic Noise Reduction Effect of Roadside Green Space Using LiDAR Point Cloud Data in Shenzhen, China",2022,Forests
11,RETRIEVE,,"가로음악 공연이 공공공간 이용·분위기 형성, 참여관찰",10.1111/1745-5871.12632,"Performance and atmosphere in urban public spaces: Street music in Guangzhou, China",2024,Geographical Research
12,EXCLUDE,E4,"표준화 속성 기반 사운드스케이프 평가, 지각만",10.1016/j.apacoust.2023.109627,Cross-cultural comparison of soundscape evaluation between Japanese and Vietnamese using standardized attributes,2023,Applied Acoustics
13,EXCLUDE,E2,"택시 실내 소음·운전행동, 차량 내부 세팅",10.29252/jhehp.4.3.3,Association of Road Traffic Noise Exposure and Driving Behaviors,2018,Journal of Human Environment and Health Promotion
14,EXCLUDE,E4,"헬리포트 소음 VR 평가, 지각·경관질만",10.3390/ijerph19106116,Assessing the Soundscape Appropriateness in the Vicinity of a Heliport in an Urban Park of Quito (Ecuador) Using Immersive Audio-Visual Scenarios,2022,International Journal of Environmental Research and Public Health
