rec,screen,oa_status,year,journal,doi,landing,pdf_url,title
382,RETRIEVE,gold,2026,Acta Acustica,10.1051/aacus/2026051,https://doi.org/10.1051/aacus/2026051,,Introducing short informational-attentional masking sounds to improve staying in pocket urban parks: a laboratory study
410,RETRIEVE,diamond,2026,Landscape Architecture,10.3724/j.fjyl.la20250363,https://doi.org/10.3724/j.fjyl.la20250363,,Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity
414,RETRIEVE,gold,2026,Frontiers in Psychology,10.3389/fpsyg.2026.1733848,https://doi.org/10.3389/fpsyg.2026.1733848,,"Behavioral mapping of multisensory experience and engagement in accessible gardens: a case study of Xuanwu Lake Park, Nanjing"
273,RETRIEVE,hybrid,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128869,https://doi.org/10.1016/j.ufug.2025.128869,,Exploring multiscale relationships between environmental characteristics and recreational trail-based activities in urban natural areas: A regional study leveraging user-generated big data and machine learning
309,RETRIEVE,gold,2025,Infrastructures,10.3390/infrastructures10060137,https://doi.org/10.3390/infrastructures10060137,https://www.mdpi.com/2412-3811/10/6/137/pdf?version=1748768974,"Older Adults’ Walking Behavior and the Associated Built Environment in Medium-Income Central Neighborhoods of Santiago, Chile"
342,RETRIEVE,gold,2025,Sustainability,10.3390/su17167564,https://doi.org/10.3390/su17167564,https://www.mdpi.com/2071-1050/17/16/7564/pdf?version=1755786967,Sensory Heritage Is Vital for Sustainable Cities: A Case Study of Soundscape and Smellscape at Wong Tai Sin
348,RETRIEVE,gold,2025,Sensors,10.3390/s25123604,https://doi.org/10.3390/s25123604,,Noise Levels Due to Commercial and Leisure Activities in Urban Areas: Experimental Validation of a Numerical Model Fed with Crowd Density Estimation Using Computer Vision
395,RETRIEVE,gold,2025,Ecological Informatics,10.1016/j.ecoinf.2025.103548,https://doi.org/10.1016/j.ecoinf.2025.103548,,"Associations among park features, physical activities, and sensory perceptions from online reviews: A domain-specific named entity recognition model"
220,RETRIEVE,gold,2024,Land,10.3390/land14010050,https://doi.org/10.3390/land14010050,https://www.mdpi.com/2073-445X/14/1/50/pdf?version=1735481770,The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology
233,RETRIEVE,gold,2024,Journal of Urban Management,10.1016/j.jum.2024.05.004,https://doi.org/10.1016/j.jum.2024.05.004,,Spatiotemporal association of urban park characteristics and physical activity levels based on GTWR: A serial cross-sectional observational study
269,RETRIEVE,gold,2024,ISPRS International Journal of Geo-Information,10.3390/ijgi13070262,https://doi.org/10.3390/ijgi13070262,https://www.mdpi.com/2220-9964/13/7/262/pdf?version=1721714746,The Influence of Perceptions of the Park Environment on the Health of the Elderly: The Mediating Role of Social Interaction
322,RETRIEVE,gold,2024,Applied Sciences,10.3390/app142311212,https://doi.org/10.3390/app142311212,https://www.mdpi.com/2076-3417/14/23/11212/pdf?version=1733124151,Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acoustic Variables Related to Sound Energy in Urban Environments
