rec,source,screen,status,doi,year,journal,authors,meta_from,filename,orig_ct_file
1,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.scitotenv.2014.12.060,2015,Science of The Total Environment,Meng & Kang,crossref,2015_STOTEN_Meng & Kang_The influence of crowd density on the sound environment of commercial.pdf,CT0001_2014_The influence of crowd density on the sound environment of commercial pedestrian streets.pdf
7,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1016/j.jort.2023.100728,2024,Journal of Outdoor Recreation and Tourism,Fang et al,crossref,2024_JORT_Fang et al_Do soundscape perceptions vary over length of stay within urban parks.pdf,CT0007_2023_Do soundscape perceptions vary over length of stay within urban parks.pdf
10,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.buildenv.2025.113572,2025,Building and Environment,Barrigón Morillas et al,crossref,2025_BuildEnv_Barrigón Morillas et al_Percentile-level examination of ten acoustic indicators pinpoints urba.pdf,CT0010_2025_Percentile-level examination of ten acoustic indicators pinpoints urban noise factors af.pdf
18,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1177/001391656900100104,1969,Environment and Behavior,Anon,crossref,1969_EnvBehav_Anon_The Sonic Environment of Cities.pdf,CT0018_1969_The Sonic Environment of Cities.pdf
21,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1080/13574800500062395,2005,Journal of Urban Design,Yang & Kang,crossref,2005_JUrbanDes_Yang & Kang_Soundscape and Sound Preferences in Urban Squares A Case Study in Shef.pdf,CT0021_2005_Soundscape and Sound Preferences in Urban Squares A Case Study in Sheffield.pdf
25,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.1037/0022-3514.32.4.571,1975,Journal of Personality and Social Psychology,Mathews & Canon,crossref,1975_JPSP_Mathews & Canon_Environmental noise level as a determinant of helping behavior.pdf,CT0025_1975_Environmental noise level as a determinant of helping behavior..pdf
40,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.landurbplan.2015.11.002,2016,Landscape and Urban Planning,Scopelliti et al,crossref,2016_LUP_Scopelliti et al_Staying in touch with nature and well-being in different income groups.pdf,CT0040_2016_Staying in touch with nature and well-being in different income groups The experience of.pdf
63,citation-tracking,UNCERTAIN,candidate — 전문심사 전,10.1016/j.landurbplan.2016.12.004,2017,Landscape and Urban Planning,Veitch et al,crossref,2017_LUP_Veitch et al_Park attributes that encourage park visitation among adolescents A con.pdf,CT0063_2017_Park attributes that encourage park visitation among adolescents A conjoint analysis.pdf
80,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3390/ijerph7093359,2010,International Journal of Environmental Research and Public Health,Gidlöf-Gunnarsson & Öhrström,crossref,2010_IJERPH_Gidlöf-Gunnarsson & Öhrström_Attractive Quiet Courtyards A Potential Modifier of Urban Residents' R.pdf,CT0080_2010_Attractive Quiet Courtyards A Potential Modifier of Urban Residents Responses to Road Tr.pdf
90,citation-tracking,RETRIEVE,candidate — 전문심사 전,10.3389/fpsyg.2014.01361,2014,Frontiers in Psychology,FranÄ›k et al,crossref,2014_FrontPsych_Franěk et al_Tempo and walking speed with music in the urban context.pdf,CT0090_2014_Tempo and walking speed with music in the urban context.pdf
