no,filename
7,1978_TheJour_Boles & Hayward_Effects of Urban Noise and Sidewalk Density upon Pedestrian Cooperation.pdf
14,1988_JEnvPsych_Moser_Urban stress and helping behavior Effects of environmental overload and.pdf
53,2004_Ergo_Wall et al_Directional guidance from audible pedestrian signals for street crossing.pdf
71,2007_LUP_Gidlöf-Gunnarsson & Öhrström_Noise and well-being in urban residential environments The potential rol.pdf
121,2010_IJERPH_Krog et al_Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreat.pdf
123,2010_ApplAcoust_Yu & Kang_Factors influencing the sound preference in urban open spaces.pdf
234,2013_Acoustics_Popescu et al_Urban Noise Annoyance Between 2001 and 2013 – Study in a Romanian City.pdf
271,2014_TheInte_Bishop & Marshall_Towards an Evidence-based Model for Assessing Urban Squares as Social Pl.pdf
323,2016_ApplSci_Aletta et al_An Experimental Study on the Influence of Soundscapes on People’s Behavi.pdf
341,2016_STOTEN_Meng & Kang_Effect of sound-related activities on human behaviours and acoustic comf.pdf
372,2016_IJERPH_Cerwén et al_The Role of Soundscape in Nature-Based Rehabilitation A Patient Perspect.pdf
379,2016_NoiseMapp_Lobo Soares & Bento Coelho_Urban park soundscape in distinct sociocultural and geographical context.pdf
406,2017_STOTEN_Meng et al_Effect of temporary open-air markets on the sound environment and acoust.pdf
435,2017_SounStud_Pakravan_Soundscape and sonic memory dynamics of Jewish and Muslim day-to-day soc.pdf
461,2018_IJERPH_Franěk et al_Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Spe.pdf
469,2018_AsiaPaci_Qiu et al_Exploring tourists’ soundscape emotion and its impact on sustainable tou.pdf
480,2018_ApplSci_Zhao et al_Influence of Contextual Factors on Soundscape in Urban Open Spaces.pdf
481,2018_FrontPsych_Meng et al_Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces.pdf
492,2018_FrontPsych_Bild et al_Public Space Users’ Soundscape Evaluations in Relation to Their Activiti.pdf
494,"2018_STOTEN_Rey Gozalo et al_Relationships among satisfaction, noise perception, and use of urban gre.pdf"
520,2019_ActaAcus_Bild et al_An Exploratory Study on the Influence of Activities on Public Space User.pdf
532,2019_Peer_Franěk et al_Effect of birdsongs and traffic noise on pedestrian walking speed during.pdf
539,2019_UrbaFore_Liu et al_Factors associated with soundscape experiences in urban green spaces A c.pdf
560,2019_UrbaFore_Rey Gozalo et al_Perceptions and use of urban green spaces on the basis of size.pdf
566,2019_IJERPH_Steele et al_Soundtracking the Public Space Outcomes of the Musikiosk Soundscape Inte.pdf
602,"2020_BuildEnv_Young Hong & Yong Jeon_Comparing associations among sound sources, human behaviors, and soundsc.pdf"
613,2020_IJERPH_Gražulevičienė et al_Environmental Quality Perceptions and Health A Cross-Sectional Study of.pdf
617,2020_Sustainability_Berkouk et al_Examining the Associations between Oases Soundscape Components and Walki.pdf
648,2020_Sustainability_Zhao et al_Residents’ Spatial Perceptions of Urban Gardens Based on Soundscape and.pdf
661,2020_ApplSci_Soares et al_The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decisi.pdf
665,2020_BuildEnv_Ba et al_The effects of sounds and food odour on crowd behaviours in urban public.pdf
666,2020_LUP_Jo & Jeon_The influence of human behavioral characteristics on soundscape percepti.pdf
694,2021_IJERPH_Aletta & Van Renterghem_Associations between Personal Attitudes towards COVID-19 and Public Spac.pdf
724,2021_EmotSpac_Alves et al_Exploring the soundscape and the atmosphere of the Gigli di Nola cultura.pdf
725,2021_FronIn_Li et al_Factors Affecting Perceived Health Benefits and Use Behaviors in Urban G.pdf
726,2021_IJERPH_Kim & Shin_Forest Therapy Alone or with a Guide Is There a Difference between Self-.pdf
729,2021_IJERPH_Pearson et al_Increased Use of Porch or Backyard Nature during COVID-19 Associated wit.pdf
732,2021_BuildEnv_Tarlao et al_Investigating contextual influences on urban soundscape evaluations with.pdf
746,2021_TravBeha_Herrmann-Lunecke et al_Perception of the built environment and walking in pericentral neighbour.pdf
760,2021_InteJour_Unknown_Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method.pdf
761,2021_Forests_Fang et al_Soundscape Perceptions and Preferences for Different Groups of Users in.pdf
