no,doi,pmcid,status
7,10.1080/00224545.1978.9924035,,NO_PMCID
14,10.1016/s0272-4944(88)80035-5,,NO_PMCID
53,10.1080/00140130410001712609,,NO_PMCID
71,10.1016/j.landurbplan.2007.03.003,,NO_PMCID
80,10.1121/1.2821955,,NO_PMCID
104,10.1121/1.3183377,,NO_PMCID
121,10.3390/ijerph7113890,PMC2996215,NO_OA_PDF(tgz-only or not in OA subset)
123,10.1016/j.apacoust.2010.02.005,,NO_PMCID
271,10.18848/2324-7576/cgp/v09i01/53520,,NO_PMCID
323,10.3390/app6100276,,NO_PMCID
341,10.1016/j.scitotenv.2016.08.130,,NO_PMCID
372,10.3390/ijerph13121229,PMC5201370,NO_OA_PDF(tgz-only or not in OA subset)
379,10.1515/noise-2016-0016,,NO_PMCID
406,10.1016/j.scitotenv.2017.06.017,,NO_PMCID
435,10.1080/20551940.2018.1451221,,NO_PMCID
461,10.3390/ijerph15040752,PMC5923794,NO_OA_PDF(tgz-only or not in OA subset)
469,10.1080/10941665.2018.1494614,,NO_PMCID
480,10.3390/app8122524,,NO_PMCID
492,10.3389/fpsyg.2018.01593,PMC6123620,NO_OA_PDF(tgz-only or not in OA subset)
494,10.1016/j.scitotenv.2017.12.148,,NO_PMCID
520,10.3813/aaa.919327,,NO_PMCID
532,10.7717/peerj.7711,PMC6777478,NO_OA_PDF(tgz-only or not in OA subset)
539,10.1016/j.ufug.2017.11.003,,NO_PMCID
560,10.1016/j.ufug.2019.126470,,NO_PMCID
566,10.3390/ijerph16101865,PMC6571869,NO_OA_PDF(tgz-only or not in OA subset)
602,10.1016/j.buildenv.2020.107327,,NO_PMCID
617,10.3390/su12114619,,NO_PMCID
661,10.3390/app10082913,,NO_PMCID
665,10.1016/j.buildenv.2020.107104,,NO_PMCID
666,10.1016/j.landurbplan.2020.103890,,NO_PMCID
724,10.1016/j.emospa.2021.100848,,NO_PMCID
732,10.1016/j.buildenv.2020.107490,,NO_PMCID
744,10.1142/s0219525921500119,,NO_PMCID
746,10.1016/j.tbs.2021.01.002,,NO_PMCID
760,10.22034/ijhcum.2021.01.02,,NO_PMCID
761,10.3390/f12040468,,NO_PMCID
770,10.3390/ijerph182312618,PMC8657121,NO_OA_PDF(tgz-only or not in OA subset)
779,10.1016/j.envint.2021.106700,,NO_PMCID
804,10.3390/f13060948,,NO_PMCID
818,10.3390/land11091505,,NO_PMCID
833,10.1016/j.jth.2021.101325,,NO_PMCID
853,10.2148/benv.48.2.244,,NO_PMCID
862,10.3390/f13111751,,NO_PMCID
880,10.1016/j.envres.2022.113956,,NO_PMCID
883,10.1002/pan3.10409,,NO_PMCID
901,10.1016/j.ecolind.2023.110729,,NO_PMCID
912,10.1016/j.scitotenv.2023.161819,,NO_PMCID
930,10.3390/su15054255,,NO_PMCID
931,10.1016/j.landurbplan.2023.104870,,NO_PMCID
941,10.15302/j-laf-1-020106,,NO_PMCID
951,10.1016/j.scs.2022.104336,,NO_PMCID
971,10.3390/f14091758,,NO_PMCID
979,10.1177/14703572211052638,PMC9900689,ERR:HTTPError
984,10.1080/01426397.2024.2307003,,NO_PMCID
999,10.1016/j.scitotenv.2024.172198,,NO_PMCID
1005,10.1016/j.heliyon.2024.e27918,PMC10963327,NO_OA_PDF(tgz-only or not in OA subset)
1018,10.1016/j.ecolind.2024.112022,,NO_PMCID
1020,10.3390/land13091468,,NO_PMCID
1053,10.1007/s11252-024-01593-3,,NO_PMCID
1069,10.1016/j.buildenv.2024.112094,,NO_PMCID
1076,10.3390/f15101751,,NO_PMCID
