no,mmat_category,S1,S2,Q1,Q2,Q3,Q4,Q5,n_yes,quality_tier,note,year,journal,title
7,Undetermined,CT,CT,CT,CT,CT,CT,CT,0,low,"스캔본 PDF·본문 텍스트 부재로 평가 불가 (scanned PDF, manual check needed)",1978,Journal of Social Psychology,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo
14,Quantitative non-randomised,Y,Y,Y,Y,Y,CT,Y,4,high,"요일·시간대·기상 등 시간적 교란 미통제, 관찰자 신뢰도 미보고",1988,Journal of Environmental Psychology,Urban stress and helping behavior: Effects of environmental overload and noise on behavior
53,Quantitative non-randomised,Y,Y,CT,Y,N,Y,Y,3,moderate,"소표본 편의표집, 실험2 좌우 위치 기록 누락으로 결측 발생",2004,ERGONOMICS,Directional guidance from audible pedestrian signals for street crossing
71,Quantitative descriptive,Y,Y,Y,CT,Y,N,Y,3,moderate,"응답률 59%·무응답 편의 분석 부재, 녹지접근 단일문항 측정",2007,LANDSCAPE AND URBAN PLANNING,Noise and well-being in urban residential environments:: The potential role of perceived a
121,Quantitative non-randomised,Y,Y,Y,N,N,Y,Y,3,moderate,"개인 소음노출 미측정, 패널 탈락 40% 이상이며 체계적 차이 확인됨",2010,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas
123,Quantitative descriptive,Y,Y,CT,CT,N,CT,N,0,low,"표본크기·응답률·표집절차 미보고, 다중검정 무보정 단변량 분석",2010,APPLIED ACOUSTICS,Factors influencing the sound preference in urban open spaces
271,Mixed methods,Y,Y,Y,N,N,N,N,1,low,"단일사례 파일럿, 정성·정량 통합 형식적이며 음압레벨·관찰자 신뢰도 미보고",2014,International Journal of Interdisciplinary Social and Commun,Towards an evidence-based model for assessing urban squares as social places
323,Quantitative non-randomised,Y,Y,Y,Y,Y,Y,CT,4,high,"세션 중 신호대잡음비 미검증, 영상 코딩 신뢰도 미보고",2016,APPLIED SCIENCES-BASEL,An Experimental Study on the Influence of Soundscapes on People's Behaviour in an Open Pub
341,Quantitative descriptive,Y,Y,CT,CT,Y,CT,N,1,low,"응답률 미보고, 주요 행동 결과에 통계검정 없음, 결정계수 중복 보고",2016,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of sound-related activities on human behaviours and acoustic comfort in urban open 
372,Qualitative,Y,Y,Y,N,Y,Y,CT,3,moderate,"사운드 목적 아닌 인터뷰의 2차분석, IPA와 키워드 추출 절차 불일치",2016,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective
