uid,why,doi,year,apa
323,Aletta 2016 — music and dwell time,10.3390/app6100276,2016,"Aletta, F., Lepore, F., Kostara-Konstantinou, E., Kang, J., & Astolfi, A. (2016). An Experimental Study on the Influence of Soundscapes on People’s Behaviour in an Open Public Space. *Applied Sciences*, *6*(10), 276. https://doi.org/10.3390/app6100276"
665,Ba & Kang 2020 — music and dwell time,10.1016/j.buildenv.2020.107104,2020,"Ba, M., Kang, J., & Li, Z. (2020). The effects of sounds and food odour on crowd behaviours in urban public open spaces. *Building and Environment*, *182*, 107104. https://doi.org/10.1016/j.buildenv.2020.107104"
941,"environmental manipulation, walking speed 1.24→1.18 m/s",10.15302/j-laf-1-020106,2024,"Ba, M., Li, Z., & Kang, J. (2024). Research on the combined effects of plant odor and traffic noise on crowd behaviors in urban environments. *Landscape Architecture Frontiers*, *12*(6), 46-63. https://doi.org/10.15302/j-laf-1-020106"
980,Bao 2023 — dwell time and restorativeness,10.3390/f14122329,2023,"Bao, Y., Gao, M., Zhao, C., & Zhou, X. (2023). White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceived Characteristics in Urban Parks during Winter. *Forests*, *14*(12), 2329. https://doi.org/10.3390/f14122329"
617,"Oases street — nature vs traffic, field observation",10.3390/su12114619,2020,"Berkouk, D., Bouzir, T. A. K., Maffei, L., & Masullo, M. (2020). Examining the Associations between Oases Soundscape Components and Walking Speed: Correlation or Causation?. *Sustainability*, *12*(11), 4619. https://doi.org/10.3390/su12114619"
CT0175,Dublin 2018 — park sound level and visit frequency,10.3390/ijerph15040815,2018,"Burrows, E., O’Mahony, M., & Geraghty, D. (2018). How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland. *International Journal of Environmental Research and Public Health*, *15*(4), 815. https://doi.org/10.3390/ijerph15040815"
CT0184,Cao & Kang 2021 — companionship and sound noticing,10.1016/j.scs.2021.102860,2021,"Cao, J., & Kang, J. (2021). The influence of companion factors on soundscape evaluations in urban public spaces. *Sustainable Cities and Society*, *69*, 102860. https://doi.org/10.1016/j.scs.2021.102860"
931,"Chen 2023 — natural vs noise, group interaction",10.1016/j.landurbplan.2023.104870,2023,"Chen, X., & Kang, J. (2023). Natural sounds can encourage social interactions in urban parks. *Landscape and Urban Planning*, *239*, 104870. https://doi.org/10.1016/j.landurbplan.2023.104870"
1069,"Chen 2024 — natural vs noise, paired interaction",10.1016/j.buildenv.2024.112094,2024,"Chen, X., Kang, J., & Wang, M. (2024). The impact of the community's sound environment on social interactions among residents. *Building and Environment*, *266*, 112094. https://doi.org/10.1016/j.buildenv.2024.112094"
1226,noise positively associated with physical activity,10.1016/j.ijheh.2026.114816,2026,"Dzhambov, A. M., Burov, A., Markevych, I., Kostadinov, K. R., Dimitrova, D., Helbich, M., & Nieuwenhuijsen, M. J. (2026). Environmental characteristics and physical activity: A cross-sectional study in Bulgaria's five largest cities. *International Journal of Hygiene and Environmental Health*, *275*, 114816. https://doi.org/10.1016/j.ijheh.2026.114816"
CT0090,Franěk 2014 — music tempo and walking speed,10.3389/fpsyg.2014.01361,2014,"Franěk, M., van Noorden, L., & Režný, L. (2014). Tempo and walking speed with music in the urban context. *Frontiers in Psychology*, *5*. https://doi.org/10.3389/fpsyg.2014.01361"
