no,verdict,doi,status,url,n_cand,journal
7,INCLUDE,10.1080/00224545.1978.9924035,NO_REPO_CANDIDATE,,0,Journal of Social Psychology
14,INCLUDE,10.1016/s0272-4944(88)80035-5,NO_REPO_CANDIDATE,,0,Journal of Environmental Psychology
22,BORDERLINE,10.1080/00207239508710998,NO_REPO_CANDIDATE,,0,International Journal of Environmental Studies
29,BORDERLINE,10.1016/s0160-4120(97)00008-1,NO_REPO_CANDIDATE,,0,ENVIRONMENT INTERNATIONAL
46,BORDERLINE,10.1093/aje/155.6.507,ERR:HTTPError,,1,American Journal of Epidemiology
53,INCLUDE,10.1080/00140130410001712609,NO_REPO_CANDIDATE,,0,ERGONOMICS
55,BORDERLINE,10.1121/1.1639333,NO_REPO_CANDIDATE,,0,Journal of the Acoustical Society of America
71,INCLUDE,10.1016/j.landurbplan.2007.03.003,NO_REPO_CANDIDATE,,0,LANDSCAPE AND URBAN PLANNING
80,INCLUDE,10.1121/1.2821955,ERR:HTTPError,,1,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA
104,INCLUDE,10.1121/1.3183377,NO_REPO_CANDIDATE,,0,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA
123,INCLUDE,10.1016/j.apacoust.2010.02.005,NO_REPO_CANDIDATE,,0,APPLIED ACOUSTICS
186,BORDERLINE,10.1016/j.trd.2012.06.002,NO_REPO_CANDIDATE,,0,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT
188,BORDERLINE,10.1016/j.jenvp.2012.05.002,NO_REPO_CANDIDATE,,0,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY
194,BORDERLINE,10.3397/1.3682961,NO_REPO_CANDIDATE,,0,NOISE CONTROL ENGINEERING JOURNAL
251,BORDERLINE,10.1016/j.ufug.2014.05.006,NO_REPO_CANDIDATE,,0,URBAN FORESTRY & URBAN GREENING
268,BORDERLINE,10.1016/j.apacoust.2014.03.016,ERR:HTTPError,,3,APPLIED ACOUSTICS
271,INCLUDE,10.18848/2324-7576/cgp/v09i01/53520,NO_REPO_CANDIDATE,,0,International Journal of Interdisciplinary Social and Commun
301,BORDERLINE,10.1186/s12940-015-0006-y,NOT_PDF,,2,ENVIRONMENTAL HEALTH
341,INCLUDE,10.1016/j.scitotenv.2016.08.130,NO_REPO_CANDIDATE,,0,SCIENCE OF THE TOTAL ENVIRONMENT
351,BORDERLINE,10.1016/j.envint.2016.03.011,NOT_PDF,,3,Environment International
378,BORDERLINE,10.1061/(asce)te.1943-5436.0000843,NO_REPO_CANDIDATE,,0,Journal of Transportation Engineering
379,INCLUDE,10.1515/noise-2016-0016,ERR:HTTPError,,2,NOISE MAPPING
387,BORDERLINE,10.1016/j.scitotenv.2016.12.061,ERR:URLError,,2,SCIENCE OF THE TOTAL ENVIRONMENT
406,INCLUDE,10.1016/j.scitotenv.2017.06.017,NO_REPO_CANDIDATE,,0,SCIENCE OF THE TOTAL ENVIRONMENT
411,BORDERLINE,10.1186/s12966-017-0557-0,NOT_PDF,,9,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL A
412,BORDERLINE,10.1007/s12403-016-0230-x,ERR:URLError,,1,EXPOSURE AND HEALTH
433,BORDERLINE,10.1016/j.envint.2017.09.009,ERR:URLError,,1,ENVIRONMENT INTERNATIONAL
435,INCLUDE,10.1080/20551940.2018.1451221,NO_REPO_CANDIDATE,,0,Sound Studies
444,BORDERLINE,10.1080/14649365.2016.1228116,NOT_PDF,,1,Social and Cultural Geography
469,INCLUDE,10.1080/10941665.2018.1494614,NO_REPO_CANDIDATE,,0,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH
484,BORDERLINE,10.1016/j.envres.2018.06.004,ERR:URLError,,1,ENVIRONMENTAL RESEARCH
