uid,branch,screening,status,round,nr_category,evidence
7,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
14,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
22,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
29,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
46,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
53,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
55,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
68,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
71,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
80,DB,INCLUDE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
89,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_142349.csv:user
94,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_010058.csv:auto
103,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_142349.csv:user
104,DB,INCLUDE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
121,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
123,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
137,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_142349.csv:user
186,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
188,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
194,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
234,DB,BORDERLINE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
240,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_142349.csv:user
251,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
268,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
271,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
301,DB,BORDERLINE,retrieved,20260917,,db_oa_retrieval_20260917_233746.csv:OK_XML
323,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
341,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
351,DB,BORDERLINE,retrieved,20260917,,db_oa_retrieval_20260917_233746.csv:OK_PDF
357,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_142349.csv:user
365,DB,BORDERLINE,not-retrieved,,No DOI (not located),db_oa_retrieval_20260917_233746.csv: oa_status= tried=; 수동 편입 기록 없음
372,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
378,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
379,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
387,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
406,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
411,DB,BORDERLINE,retrieved,20260917,,db_oa_retrieval_20260917_233746.csv:OK_XML
412,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
433,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
435,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
444,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
461,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
469,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
480,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
481,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
484,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
485,DB,BORDERLINE,retrieved,20260917,,db_oa_retrieval_20260917_233746.csv:OK_XML
489,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
492,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
494,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
499,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
509,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
512,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
520,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
532,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
539,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
556,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
559,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
560,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
562,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
566,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
569,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_142349.csv:user
599,DB,BORDERLINE,retrieved,20260917,,db_oa_retrieval_20260917_233746.csv:OK_XML
602,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
613,DB,BORDERLINE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
615,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
617,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
623,DB,BORDERLINE,retrieved,20260917,,db_oa_retrieval_20260917_233746.csv:OK_PDF
624,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_003527.csv:user
639,DB,BORDERLINE,retrieved,20260917,,db_oa_retrieval_20260917_233746.csv:OK_PDF
648,DB,BORDERLINE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
661,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
665,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
666,DB,INCLUDE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
684,DB,BORDERLINE,retrieved,20260918,,manual_pdf_ingest_20260918_142349.csv:user
692,DB,BORDERLINE,retrieved,20260917,,db_oa_retrieval_20260917_233746.csv:OK_PDF
694,DB,BORDERLINE,retrieved,2026-08,,fulltext_status_20260803.csv pdf=Y
