file,action,doi,target,note
1-s2.0-S0048969722065056-main.pdf,DUP-DELETE,10.1016/j.scitotenv.2022.159406,2023_STOTEN_Montes González et al_Effects of noise on pedestrians in urban environments where road traff.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0169204615002261-main.pdf,DUP-DELETE,10.1016/j.landurbplan.2015.11.002,2016_LUP_Scopelliti et al_Staying in touch with nature and well-being in different income groups.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0169204616302705-main.pdf,DUP-DELETE,10.1016/j.landurbplan.2016.12.004,2017_LUP_Veitch et al_Park attributes that encourage park visitation among adolescents A con.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0169204625001707-main.pdf,MOVE,10.1016/j.landurbplan.2025.105463,2025_LUP_Zhang et al_The associations between landscape elements and soundscape perception A.pdf,
1-s2.0-S0264275116305364-main.pdf,MOVE,10.1016/j.cities.2017.07.005,2017_Cities_Kang_Measuring the effects of street network configurations on walking in Seo.pdf,
1-s2.0-S0264275124004670-main.pdf,DUP-DELETE,10.1016/j.cities.2024.105253,2024_Cities_Sun et al_COVID-19 pandemic changes the outdoor physical activity preference in.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0264275124007571-main.pdf,DUP-DELETE,10.1016/j.cities.2024.105543,2025_Cities_Li et al_How do urban green space attributes affect visitation and satisfaction.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0264275125007681-main.pdf,DUP-DELETE,10.1016/j.cities.2025.106467,2026_Cities_Panahi et al_Women's walking behavior Investigating contributing factors in urban c.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S036013232401103X-main.pdf,DUP-DELETE,10.1016/j.buildenv.2024.112261,2025_BuildEnv_LIN et al_Determinants of soundscape quality of communal open space in Hong Kong.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0360132326008644-main.pdf,DUP-DELETE,10.1016/j.buildenv.2026.115060,2026_BuildEnv_Feng & Li_Dynamic audio-visual preference in waterfront walking environments Eff.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0966692322002332-main.pdf,DUP-DELETE,10.1016/j.jtrangeo.2022.103510,2023_JTransGeogr_Naseri et al_The role of neighbourhood design in cycling activity during COVID-19 A.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0966692324000206-main.pdf,DUP-DELETE,10.1016/j.jtrangeo.2024.103811,2024_JTransGeogr_Wang et al_Sociospatial inclusiveness of streets through the lens of urban pedest.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0966692325000705-main.pdf,DUP-DELETE,10.1016/j.jtrangeo.2025.104179,2025_JTransGeogr_Gao & Fang_Deciphering urban cycling Analyzing the nonlinear impact of street env.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S0966692326001079-main.pdf,DUP-DELETE,10.1016/j.jtrangeo.2026.104653,2026_JTransGeogr_Xie et al_Understanding the cooling and air purification effects of green spaces.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S1439179125001033-main.pdf,DUP-DELETE,10.1016/j.baae.2025.12.007,2026_BasiAnd_Egerer et al_Social-ecological relationships on biodiverse and health-promoting cit.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S1574954125005576-main.pdf,DUP-DELETE,10.5281/zeno,"2026_EcolInform_Li et al_Associations among park features, physical activities, and sensory per.pdf",라이브러리에 동일 DOI 존재
1-s2.0-S1618866724001237-main.pdf,DUP-DELETE,10.1016/j.ufug.2024.128325,2024_UrbaFore_Nelson et al_Is the grass greener or the water bluer Drivers of local park visitati.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S1618866724003376-main.pdf,DUP-DELETE,10.1016/j.ufug.2024.128539,2024_UrbaFore_Krajter Ostoić et al_Exploring the negative perceptions of tree-based urban green space. Pe.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S1618866725002031-main.pdf,DUP-DELETE,10.1016/j.ufug.2025.128869,2025_UrbaFore_Chang et al_Exploring multiscale relationships between environmental characteristi.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S2210670716300336-main.pdf,DUP-DELETE,10.1016/j.scs.2016.03.002,2016_SCS_Aletta et al_Differences in soundscape appreciation of walking sounds from differen.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S2214367X21000442-main.pdf,DUP-DELETE,10.1016/j.tbs.2021.05.006,2021_TravBehavSoc_Blitz_How does the individual perception of local conditions affect cycling.pdf,라이브러리에 동일 DOI 존재
1-s2.0-S2226585624000633-main.pdf,DUP-DELETE,10.1016/j.jum.2024.05.004,2024_JUrbanMgmt_Tao et al_Spatiotemporal association of urban park characteristics and physical.pdf,라이브러리에 동일 DOI 존재
10.1177_09574565221114660.pdf,DUP-DELETE,10.1177/09574565221114660,2022_NoisAmp_Berkouk et al_Evaluation of the soundscapes through the cafe terraces before and aft.pdf,라이브러리에 동일 DOI 존재
10.1515_icom-2022-0020.pdf,DUP-DELETE,10.1515/icom-2022-0020,2022_ICom_Schrapel et al_EnvironZen Immersive Soundscapes via Augmented Footstep Sounds in Urba.pdf,라이브러리에 동일 DOI 존재
"14,+5695-5706,+16432,+BOUTTABA+et+al-new.pdf",DUP-DELETE,10.15243/jdmlm.2024.113.5695,2024_Land_Bouttaba et al_Peri-urban forests an exploratory study of users' recreational activit.pdf,라이브러리에 동일 DOI 존재
22214967-MIT.pdf,MOVE,,1967_MIT_Southworth_The Sonic Environment of Cities (masters thesis).pdf,DOI 없는 학위논문 — 1969 EnvBehav 저널판과 다른 문서라 별도 보존(수동 판정)
4474_1_online.pdf,DUP-DELETE,10.1121/10.0008928,2021_JASA_Mitchell et al_Investigating urban soundscapes of the COVID-19 lockdown A predictive.pdf,라이브러리에 동일 DOI 존재
Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity.pdf,DUP-DELETE,10.3724/j.fjyl.la20250363,2026_Land_WANG et al_Emotional Mediation of the Effect of Urban Park Audiovisual Elements o.pdf,라이브러리에 동일 DOI 존재
