sid,study,year,country,setting,design,n,exposure_short,behaviour_domain,measure_gen,direction,quality,in_ma
1,Boles & Hayward (1978),1978,NR,street,NR,NR,urban noise and sidewalk density; levels NR,movement;social,NR,forward,low,
2,Moser (1988),1988,France,street,field experiment,NR,roadworks jackhammer noise vs quiet; 70-80 dBA peak,social,G2,forward,high,MA3
3,Wall et al. (2004),2004,USA,street,field experiment,12,"five audible pedestrian signals, 72 dBC",movement,G2,forward,moderate,
4,Gidlöf-Gunnarsson & Öhrström (2007),2007,Sweden,residential,survey,500,road traffic LAeq24h 60-68 dB; quiet-side access,activity;space-use,G1,forward,moderate,
5,Krog et al. (2010),2010,Norway,recreation,quasi-experiment,1264+1370,aircraft noise change after airport relocation,space-use;activity,G1,forward,moderate,
6,Yu & Kang (2010),2010,6 countries,mixed,mixed,NR,"natural, human, mechanical, instrumental sound sources",space-use;activity,G1;G2,reverse,low,
7,Bishop & Marshall (2014),2014,Australia,square,mixed,NR,in-situ square soundscape; high measured sound levels,movement;staying;space-use,G2,forward,low,
8,Aletta et al. (2016),2016,UK,campus,field experiment,NR,"classical, jazz, ambient music vs no music",staying;space-use,G2,forward,high,MA2
9,Cerwén et al. (2016),2016,Sweden,campus,qualitative,59,"rehabilitation garden natural, technological, human sounds",space-use;staying;movement;social,G1,forward,moderate,
10,Lobo Soares & Bento Coelho (2016),2016,Brazil; Portugal,park,mixed,NR,"park traffic, human, animal, natural sounds",activity;space-use,G1,reverse,low,
11,Meng & Kang (2016),2016,China,park,mixed,NR,seven music- and human-sound-related park activities,movement;staying;activity,G2,both,low,
12,Meng et al. (2017),2017,China,street,mixed,NR,temporary open-air market opening and zoning,space-use,G2,reverse,moderate,
13,Pakravan (2017),2017,Iran,street,qualitative,10,"historic neighbourhood vendor, religious and traffic sounds",space-use;social;movement,G1,both,high,
14,Bild et al. (2018),2018,Netherlands,mixed,mixed,NR,everyday in-situ soundscapes of three public spaces,activity;social;space-use,G1;G2,reverse,moderate,
15,Franěk et al. (2018),2018,Czech Republic,street,field experiment,83,forest birdsong vs traffic noise headphone playback,movement,G3,forward,low,MA1
16,Meng et al. (2018),2018,China,square,field experiment,NR,familiar pop song 88-90 dBA vs silence,movement;staying;space-use,G2,forward,high,MA1(sens)
17,Qiu et al. (2018),2018,China,recreation,survey,566,"island resort tourist soundscape (piano, waves)",social;activity,G1,forward,high,
18,Rey Gozalo et al. (2018),2018,Spain,park,survey,182,green space Leq; traffic and human sounds,activity;space-use;social,G1,forward,high,
19,Zhao et al. (2018),2018,China,street,mixed,26 days,"shop openness, season, commercial zone soundscape",social;space-use,G1;G2;G3,reverse,moderate,
