sid,uid,source,study,year,country,setting,design,n,exposure_short,behaviour_domain,measure_gen,direction,quality,in_ma,verdict
1,CT0025,citation-tracking,[CT0025] Environmental noise level as a det…,1975,NR (본문에 수집국 미명시; 저자 소속 Uni…,street,field experiment,132 total (Exp1 실험…,Exp2: 머플러를 제거한 가솔린 릴형 잔디깎기를 가동해 낙하 지점 약 87 dB(…,social,G2,forward,moderate,MA3,FINAL_INCLUDE
2,7,db-search,Boles & Hayward (1978),1978,NR,street,NR,NR,urban noise and sidewalk density; levels NR,movement; social,NR,forward,low,,FINAL_INCLUDE
3,14,db-search,Moser (1988),1988,France,street,field experiment,NR,roadworks jackhammer noise vs quiet; 70-80 dBA peak,social,G2,forward,high,MA3,FINAL_INCLUDE
4,53,db-search,Wall et al. (2004),2004,USA,street,field experiment,12,"five audible pedestrian signals, 72 dBC",movement,G2,forward,moderate,,FINAL_INCLUDE
5,71,db-search,Gidlöf-Gunnarsson & Öhrström (2007),2007,Sweden,residential,survey,500,road traffic LAeq24h 60-68 dB; quiet-side access,activity; space-use,G1,forward,moderate,,FINAL_INCLUDE
6,121,db-search,Krog et al. (2010),2010,Norway,recreation,quasi-experiment,1264+1370,aircraft noise change after airport relocation,space-use; activity,G1,forward,moderate,,FINAL_INCLUDE
7,123,db-search,Yu & Kang (2010),2010,6 countries,mixed,mixed,NR,"natural, human, mechanical, instrumental sound sources",space-use; activity,G1;G2,reverse,low,,FINAL_INCLUDE
8,CT0001,citation-tracking,[CT0001] The influence of crowd density on …,2014,China,street,mixed,662 valid question…,상업보행가로 음환경 — 언급 빈도 교통소음 526회·PA 시스템 482회·상점음악 …,space-use; social,G2,reverse,moderate,,FINAL_INCLUDE
9,CT0090,citation-tracking,[CT0090] Tempo and walking speed with music…,2014,Czech Republic,park,field experiment,Exp1 79 (무음악 조건) →…,헤드폰 mp3 음악 — Exp1: 명확한 비트의 월드팝 9곡 트랙을 ±8% 조정해 …,movement,G3,forward,high,MA1(sens),FINAL_INCLUDE
10,271,db-search,Bishop & Marshall (2014),2014,Australia,square,mixed,NR,in-situ square soundscape; high measured sound levels,movement; staying; space-use,G2,forward,low,,FINAL_INCLUDE
11,323,db-search,Aletta et al. (2016),2016,UK,campus,field experiment,NR,"classical, jazz, ambient music vs no music",staying; space-use,G2,forward,high,MA2,FINAL_INCLUDE
12,372,db-search,Cerwén et al. (2016),2016,Sweden,campus,qualitative,59,"rehabilitation garden natural, technological, human sounds",space-use; staying; movement; social,G1,forward,moderate,,FINAL_INCLUDE
13,379,db-search,Lobo Soares & Bento Coelho (2016),2016,Brazil; Portugal,park,mixed,NR,"park traffic, human, animal, natural sounds",activity; space-use,G1,reverse,low,,FINAL_INCLUDE
14,341,db-search,Meng & Kang (2016),2016,China,park,mixed,NR,seven music- and human-sound-related park activities,movement; staying; activity,G2,both,low,,FINAL_INCLUDE
15,406,db-search,Meng et al. (2017),2017,China,street,mixed,NR,temporary open-air market opening and zoning,space-use,G2,reverse,moderate,,FINAL_INCLUDE
16,435,db-search,Pakravan (2017),2017,Iran,street,qualitative,10,"historic neighbourhood vendor, religious and traffic sounds",space-use; social; movement,G1,both,high,,FINAL_INCLUDE
17,CT0175,citation-tracking,[CT0175] How Urban Parks Offer Opportunitie…,2018,Ireland,park,survey,865명 (학생 585 + 교직원…,자기보고 공원 음량 인상 4범주 — Very quiet 6.1% / Quiet 49…,space-use; activity,G1,forward,low,MA2(sens),FINAL_INCLUDE
