no,verdict,doi,journal,year,title,is_oa,oa_status,oa_url,pdf_url,license,host
22,BORDERLINE,10.1080/00207239508710998,International Journal of Environmental Studies,1995,An interdisciplinary study of urban noise pollution: Part II,False,closed,,,,
29,BORDERLINE,10.1016/s0160-4120(97)00008-1,ENVIRONMENT INTERNATIONAL,1997,Subjective reactions to traffic noise with regard to some personality traits,False,closed,,,,
46,BORDERLINE,10.1093/aje/155.6.507,American Journal of Epidemiology,2002,Neighborhood environment and loss of physical function in older adults: Evidence from the Alameda County Study,True,bronze,https://academic.oup.com/aje/article-pdf/155/6/507/131892/507.pdf,https://academic.oup.com/aje/article-pdf/155/6/507/131892/507.pdf,,American Journal of Epidemiology
55,BORDERLINE,10.1121/1.1639333,Journal of the Acoustical Society of America,2004,"Longitudinal surveys on effects of changes in road traffic noise - Annoyance, activity disturbances, and psycho-social well-being",False,closed,,,,
68,BORDERLINE,,ROAD & TRANSPORT RESEARCH,2007,Daytime population tracking for planning and pollution exposure assessment,,,,,,
80,INCLUDE,10.1121/1.2821955,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2008,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",False,closed,,,,
89,BORDERLINE,,Park Science,2009,A program of research to support management of visitor-caused noise at Muir Woods National Monument,,,,,,
94,BORDERLINE,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,2009,Effects of noise pollution on traffic policemen,,,,,,
103,BORDERLINE,,Park Science,2009,Modeling and mapping hikers' exposure to transportation noise in Rocky Mountain National Park,,,,,,
104,INCLUDE,10.1121/1.3183377,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2009,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,False,closed,,,,
137,BORDERLINE,,JOURNAL OF PARK AND RECREATION ADMINISTRATION,2011,An Examination of the Guided Night Hiking Experience in Parks and Protected Areas,,,,,,
186,BORDERLINE,10.1016/j.trd.2012.06.002,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,2012,Influence of vehicle driving parameters on the noise caused by passenger cars in urban traffic,False,closed,,,,
188,BORDERLINE,10.1016/j.jenvp.2012.05.002,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,2012,Multiple environmental burdens and neighborhood-related health of city residents,False,closed,,,,
194,BORDERLINE,10.3397/1.3682961,NOISE CONTROL ENGINEERING JOURNAL,2012,Relating the near field noise of passenger cars with the driving behavior,False,closed,,,,
240,BORDERLINE,,JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,2014,ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES: A CASE STUDY ON THE QUALITATIVE DIMENSIONS OF SOUNDS,,,,,,
251,BORDERLINE,10.1016/j.ufug.2014.05.006,URBAN FORESTRY & URBAN GREENING,2014,"Elderly visitors of an urban park, health anxiety and individual awareness of nature experiences",False,closed,,,,
268,BORDERLINE,10.1016/j.apacoust.2014.03.016,APPLIED ACOUSTICS,2014,The effects of expectation on the perception of soundscapes,True,bronze,https://www.sciencedirect.com/science/article/pii/S0003682X14000802,https://www.sciencedirect.com/science/article/pii/S0003682X14000802,,Applied Acoustics
301,BORDERLINE,10.1186/s12940-015-0006-y,ENVIRONMENTAL HEALTH,2015,Street-level noise in an urban setting: assessment and contribution to personal exposure,True,gold,https://ehjournal.biomedcentral.com/counter/pdf/10.1186/s12940-015-0006-y,https://ehjournal.biomedcentral.com/counter/pdf/10.1186/s12940-015-0006-y,cc-by,Environmental Health
351,BORDERLINE,10.1016/j.envint.2016.03.011,Environment International,2016,Long-term transportation noise annoyance is associated with subsequent lower levels of physical activity,True,hybrid,https://www.sciencedirect.com/science/article/pii/S0160412016300897/pdf,https://www.sciencedirect.com/science/article/pii/S0160412016300897/pdf,cc-by-nc-nd,Environment International
357,BORDERLINE,,LANDSCAPE ARCHITECTURE FRONTIERS,2016,PERCEPTION AND PLANNING DESIGN FOR URBAN OUTDOOR PUBLIC SPACE,,,,,,
365,BORDERLINE,,LANDSCAPE ARCHITECTURE FRONTIERS,2016,SOUNDSCAPE PERCEPTION OF URBAN RECREATIONAL GREEN SPACE,,,,,,
378,BORDERLINE,10.1061/(asce)te.1943-5436.0000843,Journal of Transportation Engineering,2016,Urban noise analysis using multinomial logistic regression,True,green,http://hdl.handle.net/2262/79625,,cc-by-nc-sa,Trinity's Access to Research Output (TARA) (Trinity College Dublin)
