openalex_id,doi,title,year,journal,cited_by
W3139513664,10.1073/pnas.2013097118,A synthesis of health benefits of natural sounds and their distribution in national parks,2021,Proceedings of the National Academy of Sciences,261
W2064200067,10.1016/j.scitotenv.2013.03.038,Landscape effects on soundscape experience in city parks,2013,The Science of The Total Environment,168
W343808915,10.1016/j.landurbplan.2015.05.005,Classification of urban park soundscapes through perceptions of the acoustical environments,2015,Landscape and Urban Planning,159
W2170452364,10.1121/1.3693644,Perception of urban park soundscape,2012,The Journal of the Acoustical Society of America,102
W2525969396,10.3390/app6100276,An Experimental Study on the Influence of Soundscapes on People’s Behaviour in an Open Public Space,2016,Applied Sciences,85
W2072118008,10.1016/j.apacoust.2011.01.001,Towards standardization in soundscape preference assessment,2011,Applied Acoustics,372
W3040706215,10.1016/j.landurbplan.2020.103890,The influence of human behavioral characteristics on soundscape perception in urban parks: Subjective and observational approaches,2020,Landscape and Urban Planning,111
W2516591736,10.1016/j.scitotenv.2016.08.130,Effect of sound-related activities on human behaviours and acoustic comfort in urban open spaces,2016,The Science of The Total Environment,96
W1987624550,10.1016/j.scitotenv.2009.08.039,Analysis and evaluation of soundscapes in public parks through interviews and measurement of noise,2009,The Science of The Total Environment,170
W2056131828,10.1016/j.anbehav.2009.09.015,A behavioural mechanism explaining noise-dependent frequency use in urban birdsong,2009,Animal Behaviour,265
W2040896127,10.1007/s10661-005-8039-2,Environmental Quality Of Urban Parks And Open Spaces In Hong Kong,2005,Environmental Monitoring and Assessment,104
W4386157565,10.1016/j.landurbplan.2023.104870,Natural sounds can encourage social interactions in urban parks,2023,Landscape and Urban Planning,40
W2071259548,10.1121/1.3183377,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,2009,The Journal of the Acoustical Society of America,112
W2793579700,10.1016/j.ufug.2018.01.022,"Soundscape effects on visiting experience in city park: A case study in Fuzhou, China",2018,Urban forestry & urban greening,95
W2128490389,10.1098/rspb.2009.0586,Effects of urban noise on song and response behaviour in great tits,2009,Proceedings of the Royal Society B Biological Sciences,195
W1986829622,10.1016/j.apacoust.2010.02.005,Factors influencing the sound preference in urban open spaces,2010,Applied Acoustics,156
W2947748902,10.3390/ijerph16101865,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention,2019,International Journal of Environmental Research and Public Health,64
W2766494433,10.1016/j.ufug.2017.11.003,"Factors associated with soundscape experiences in urban green spaces: A case study in Rostock, Germany",2017,Urban forestry & urban greening,108
W2066028676,10.1121/1.2821955,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",2008,The Journal of the Acoustical Society of America,108
W2625692484,10.1016/j.landurbplan.2017.05.018,Using Virtual Reality for assessing the role of noise in the audio-visual design of an urban public space,2017,Landscape and Urban Planning,180
W2049452681,10.1111/j.1365-294x.2007.03487.x,Birdsong and anthropogenic noise: implications and applications for conservation,2007,Molecular Ecology,652
W2013425049,10.1016/j.cub.2006.10.008,Cities Change the Songs of Birds,2006,Current Biology,498
W2803092915,10.3389/fpsyg.2018.00596,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces,2018,Frontiers in Psychology,48
