openalex_id,doi,title,year,journal,cited_by,relevance
W3139513664,10.1073/pnas.2013097118,A synthesis of health benefits of natural sounds and their distribution in national parks,2021,Proceedings of the National Academy of Sciences,261,808.24
W2064200067,10.1016/j.scitotenv.2013.03.038,Landscape effects on soundscape experience in city parks,2013,The Science of The Total Environment,168,801.83
W343808915,10.1016/j.landurbplan.2015.05.005,Classification of urban park soundscapes through perceptions of the acoustical environments,2015,Landscape and Urban Planning,159,801.15
W2170452364,10.1121/1.3693644,Perception of urban park soundscape,2012,The Journal of the Acoustical Society of America,102,642.25
W2525969396,10.3390/app6100276,An Experimental Study on the Influence of Soundscapes on People’s Behaviour in an Open Public Space,2016,Applied Sciences,85,591.99
W2072118008,10.1016/j.apacoust.2011.01.001,Towards standardization in soundscape preference assessment,2011,Applied Acoustics,372,589.87
W3040706215,10.1016/j.landurbplan.2020.103890,The influence of human behavioral characteristics on soundscape perception in urban parks: Subjective and observational approaches,2020,Landscape and Urban Planning,111,580.27
W2516591736,10.1016/j.scitotenv.2016.08.130,Effect of sound-related activities on human behaviours and acoustic comfort in urban open spaces,2016,The Science of The Total Environment,96,576.31
W1987624550,10.1016/j.scitotenv.2009.08.039,Analysis and evaluation of soundscapes in public parks through interviews and measurement of noise,2009,The Science of The Total Environment,170,570.79
W2056131828,10.1016/j.anbehav.2009.09.015,A behavioural mechanism explaining noise-dependent frequency use in urban birdsong,2009,Animal Behaviour,265,556.97
W2040896127,10.1007/s10661-005-8039-2,Environmental Quality Of Urban Parks And Open Spaces In Hong Kong,2005,Environmental Monitoring and Assessment,104,547.38
W4386157565,10.1016/j.landurbplan.2023.104870,Natural sounds can encourage social interactions in urban parks,2023,Landscape and Urban Planning,40,545.26
W2071259548,10.1121/1.3183377,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,2009,The Journal of the Acoustical Society of America,112,544.68
W2793579700,10.1016/j.ufug.2018.01.022,"Soundscape effects on visiting experience in city park: A case study in Fuzhou, China",2018,Urban forestry & urban greening,95,510.49
W2128490389,10.1098/rspb.2009.0586,Effects of urban noise on song and response behaviour in great tits,2009,Proceedings of the Royal Society B Biological Sciences,195,496.32
W1986829622,10.1016/j.apacoust.2010.02.005,Factors influencing the sound preference in urban open spaces,2010,Applied Acoustics,156,486.37
W2947748902,10.3390/ijerph16101865,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention,2019,International Journal of Environmental Research and Public Health,64,479.21
W2766494433,10.1016/j.ufug.2017.11.003,"Factors associated with soundscape experiences in urban green spaces: A case study in Rostock, Germany",2017,Urban forestry & urban greening,108,472.55
W2066028676,10.1121/1.2821955,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",2008,The Journal of the Acoustical Society of America,108,444.81
W2625692484,10.1016/j.landurbplan.2017.05.018,Using Virtual Reality for assessing the role of noise in the audio-visual design of an urban public space,2017,Landscape and Urban Planning,180,440.18
W2049452681,10.1111/j.1365-294x.2007.03487.x,Birdsong and anthropogenic noise: implications and applications for conservation,2007,Molecular Ecology,652,433.16
W2013425049,10.1016/j.cub.2006.10.008,Cities Change the Songs of Birds,2006,Current Biology,498,420.91
W2803092915,10.3389/fpsyg.2018.00596,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces,2018,Frontiers in Psychology,48,400.45
W2889237112,10.3389/fpsyg.2018.01593,Public Space Users’ Soundscape Evaluations in Relation to Their Activities. An Amsterdam-Based Study,2018,Frontiers in Psychology,60,394.27
W2142744229,10.1642/0004-8038(2006)123[639:aciunc]2.0.co;2,AVIAN COMMUNICATION IN URBAN NOISE: CAUSES AND CONSEQUENCES OF VOCAL ADJUSTMENT,2006,The Auk,330,391.7
W1941877463,10.1111/j.1365-2664.2010.01914.x,Negative impact of traffic noise on avian reproductive success,2010,Journal of Applied Ecology,517,390.3
W3153539430,10.3390/f12040468,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational Forest Parks,2021,Forests,61,374.88
W1970053778,10.1016/j.anbehav.2012.01.034,Birdsongs keep pace with city life: changes in song over time in an urban songbird affects communication,2012,Animal Behaviour,142,355.09
W3048920453,10.1016/j.apacoust.2020.107570,Effects of environmental sound quality on soundscape preference in a public urban space,2020,Applied Acoustics,92,342.73
W3088886402,10.1126/science.abd5777,Singing in a silent spring: Birds respond to a half-century soundscape reversion during the COVID-19 shutdown,2020,Science,278,342.35
W1970246931,10.1642/0004-8038(2006)123[650:ssmmsv]2.0.co;2,SONG SPARROW (MELOSPIZA MELODIA) SONG VARIES WITH URBAN NOISE,2006,The Auk,245,340.8
W2474715542,10.1289/ehp220,Urban and Transport Planning Related Exposures and Mortality: A Health Impact Assessment for Cities,2016,Environmental Health Perspectives,265,334.75
W2898066108,10.3354/meps12784,Humpback whales Megaptera novaeangliae alter calling behavior in response to natural sounds and vessel noise,2018,Marine Ecology Progress Series,65,327.18
W1254698036,10.1016/j.cities.2015.08.002,A grounded theory approach to the subjective understanding of urban soundscape in Sheffield,2015,Cities,102,324.75
W4248070815,10.1093/auk/123.3.639,Avian Communication in Urban Noise: Causes and Consequences of Vocal Adjustment,2006,The Auk,207,315.06
W2761422938,10.1016/j.envres.2017.09.015,Urban residential greenspace and mental health in youth: Different approaches to testing multiple pathways yield different conclusions,2017,Environmental Research,304,307.54
W3109761116,10.1016/j.buildenv.2020.107490,Investigating contextual influences on urban soundscape evaluations with structural equation modeling,2020,Building and Environment,73,292.88
W3089050219,10.1016/j.buildenv.2020.107327,"Comparing associations among sound sources, human behaviors, and soundscapes on central business and commercial streets in Seoul, Korea",2020,Building and Environment,40,291.15
W3000603226,10.1080/12265934.2020.1713863,Appraising the sonic environment of urban parks using the soundscape dimension of visually impaired people,2020,International Journal of Urban Sciences,25,290.14
W2898870964,10.1016/j.apacoust.2018.10.029,"Effect of background and foreground music on satisfaction, behavior, and emotional responses in public spaces of shopping malls",2018,Applied Acoustics,69,287.39
