doi,year,journal,title
10.1016/j.landurbplan.2015.05.005,2015,Landscape and Urban Planning,Classification of urban park soundscapes through perceptions of the acoustical environments
10.1121/1.3693644,2012,The Journal of the Acoustical Society of America,Perception of urban park soundscape
10.1016/j.apacoust.2011.01.001,2011,Applied Acoustics,Towards standardization in soundscape preference assessment
10.1016/j.scitotenv.2009.08.039,2009,The Science of The Total Environment,Analysis and evaluation of soundscapes in public parks through interviews and measurement of noise
10.1007/s10661-005-8039-2,2005,Environmental Monitoring and Assessment,Environmental Quality Of Urban Parks And Open Spaces In Hong Kong
10.1016/j.landurbplan.2017.05.018,2017,Landscape and Urban Planning,Using Virtual Reality for assessing the role of noise in the audio-visual design of an urban public space
10.1642/0004-8038(2006)123[639:aciunc]2.0.co;2,2006,The Auk,AVIAN COMMUNICATION IN URBAN NOISE: CAUSES AND CONSEQUENCES OF VOCAL ADJUSTMENT
10.1093/auk/123.3.639,2006,The Auk,Avian Communication in Urban Noise: Causes and Consequences of Vocal Adjustment
10.1080/12265934.2020.1713863,2020,International Journal of Urban Sciences,Appraising the sonic environment of urban parks using the soundscape dimension of visually impaired people
10.1093/auk/123.3.650,2006,The Auk,Song Sparrow (Melospiza Melodia) Song Varies with Urban Noise
10.1016/j.physleta.2018.12.019,2018,Physics Letters A,Experimental study on the effect of background music on pedestrian movement at high density
10.1016/j.anbehav.2005.07.014,2006,Animal Behaviour,Urban bioacoustics: it's not just noise
10.18666/jpra-2016-v34-i3-6927,2016,Journal of Park and Recreation Administration,Urban Park Soundscapes: Association of Noise and Danger With Perceived Restoration
10.1016/j.eiar.2020.106399,2020,Environmental Impact Assessment Review,Spatial variations in pedestrian soundscape evaluation of traffic noise
10.3390/s23104797,2023,Sensors,Toward the Definition of a Soundscape Ranking Index (SRI) in an Urban Park Using Machine Learning Techniques
10.3390/app8020251,2018,Applied Sciences,Monitoring and Prediction of Traffic Noise in Large Urban Areas
10.1016/j.cub.2024.05.030,2024,Current Biology,Experimental recreationist noise alters behavior and space use of wildlife
10.3390/f13050765,2022,Forests,"Assessing the Traffic Noise Reduction Effect of Roadside Green Space Using LiDAR Point Cloud Data in Shenzhen, China"
10.1111/1745-5871.12632,2024,Geographical Research,"Performance and atmosphere in urban public spaces: Street music in Guangzhou, China"
10.15517/rbt.v0i0.3152,2010,Revista de Biología Tropical,Traffic noise affects forest bird species in a protected tropical forest
10.3390/f15030417,2024,Forests,"Differences in Soundscape Perception of Plants Space in Urban Green Space and the Influence of Factors: The Case of Fuzhou, China"
10.47836/pjssh.31.4.14,2023,Pertanika journal of social science & humanities,Influence of Perceived Soundscape and Sound Environment on Subjective Well-being of Park Visitors
10.3390/f14101946,2023,Forests,Predicting and Visualizing Human Soundscape Perception in Large-Scale Urban Green Spaces: A Case Study of the Chengdu Outer Ring Ecological Zone
10.1016/j.apacoust.2023.109627,2023,Applied Acoustics,Cross-cultural comparison of soundscape evaluation between Japanese and Vietnamese using standardized attributes
10.29252/jhehp.4.3.3,2018,Journal of Human Environment and Health Promotion,Association of Road Traffic Noise Exposure and Driving Behaviors
10.3390/ijerph19106116,2022,International Journal of Environmental Research and Public Health,Assessing the Soundscape Appropriateness in the Vicinity of a Heliport in an Urban Park of Quito (Ecuador) Using Immersive Audio-Visual Scenarios
10.1016/j.ufug.2025.129131,2025,Urban forestry & urban greening,Elucidating the influence of vegetation spatial characteristics on bio-anthrophonic soundscapes in urban parks using lidar data
10.1016/j.rsase.2022.100903,2023,Remote Sensing Applications Society and Environment,Soundscapes of the Yungas Andean forest: Identifying the acoustic footprint of an anuran assemblage
10.3390/app11188363,2021,Applied Sciences,Optimized Sensors Network and Dynamical Maps for Monitoring Traffic Noise in a Large Urban Zone
,2012,Developing Country Studies,"TREE CANOPY COVER VARIATION EFFECTS ON URBAN HEAT ISLAND IN ENUGU CITY, NIGERIA"
10.5505/megaron.2014.46338,2014,MEGARON / Yıldız Technical University Faculty of Architecture E-Journal,An Applied Approach to the Examination of Urban Acoustic Comfort: The Soundscape Concept - Statistical Analysis
10.4236/nr.2017.82004,2017,Natural Resources,The Impact of Urban Noise on the Behavior of Two Mouse Species Belonging to the Genus &amp;lt;i&amp;gt;Apodemus&amp;lt;/i&amp;gt;
10.3389/fpsyg.2024.1362096,2024,Frontiers in Psychology,Development and validation of the perceived restorative soundscape scale for children
10.1007/s12273-025-1387-7,2025,Building Simulation,Assessing the spatial variation of soundscape perception in high-density urban mountain parks
10.13047/kjee.2024.38.4.405,2024,Korean Journal of Environment and Ecology,Analysis of Soundscape Characteristics of Urban Park Using Acoustic Indices&lt;sup&gt;1a&lt;/sup&gt;
