pmid,doi,title,year,journal
42475104,10.1001/jamaneurol.2026.2262,"Road Traffic Noise, Noise Difference Between Residential Facades, and Risk of Parkinson Disease.",2026,JAMA neurology
42468671,10.1016/j.bbr.2026.116381,A multisensory integrative forebrain area (NCC) in female zebra finches discriminates between normal and abnormal conspecific song.,2026,Behavioural brain research
42446340,10.4103/nah.nah_45_26,"Socio-Demographic, Environmental, and Self-Mediated Aural Practices Determinants of Aural Health in Urban Slums of Bhubaneswar, India: A multivariable Analysis to Suggest Recommendations.",2026,Noise & health
42432183,10.1038/s41598-026-61794-y,"Assessing noise levels at social events within Kumasi Metropolis, Ghana.",2026,Scientific reports
42410201,10.1007/s10661-026-15646-x,"Street network configuration and traffic noise patterns: a GAM-based analysis of spatial associations in Jiroft, Iran.",2026,Environmental monitoring and assessment
42383895,10.1097/aud.0000000000001865,Cultural Differences in Listening Environments Between Hispanic and White Non-Hispanic Cochlear Implant Users.,2026,Ear and hearing
42382539,10.1016/j.dib.2026.112981,Data from a public participation GIS survey on the everyday active travel experiences of residents from five European cities.,2026,Data in brief
42345043,10.1093/pnasnexus/pgag181,Heart rate synchrony as a marker of real-world social engagement.,2026,PNAS nexus
42291283,10.1029/2025gh001567,"Natural Environment, Neighborhood Contexts, and Intra-Urban Suicidal Behavior.",2026,GeoHealth
42239724,10.1016/j.isci.2026.116073,Effects of forest park's biological sounds on the positive responses of stressed university student.,2026,iScience
42180412,10.1088/2515-7620/ae4a78,The Accra school health and environment study (ASHES): a study of the urban environment and child health and development in Accra.,2026,Environmental research communications
42105453,10.1016/j.ijheh.2026.114816,Environmental characteristics and physical activity: A cross-sectional study in Bulgaria's five largest cities.,2026,International journal of hygiene and environmental health
41888957,10.1186/s40359-026-04219-9,"Music preferences, listening purposes, perfectionism and substance use in Egyptian college students: a cross-sectional study.",2026,BMC psychology
41800682,10.4103/nah.nah_208_25,Relationship between Environmental Noise Exposure in Hospitals and Respiratory Infections in Elderly Individuals with Cognitive Decline: A Retrospective Analysis.,2026,Noise & health
41743573,10.1002/ece3.73145,Flexibility of Territorial Aggression in Urban and Rural Chaffinches.,2026,Ecology and evolution
