no,direction,reason,year,journal,title,doi
22,unclear,"초록 없음, 도시 소음 연구로 제목만으로 배제 불가",1995,International Journal of Environmental Studies,An interdisciplinary study of urban noise pollution: Part II,10.1080/00207239508710998
29,forward,"소음의 행동영향(창문개방·이웃관계) 자기보고, 세팅·행태 불확실",1997,ENVIRONMENT INTERNATIONAL,Subjective reactions to traffic noise with regard to some personality traits,10.1016/s0160-4120(97)00008-1
46,forward,"근린 소음 등 문제 인식과 신체기능 저하, 행태 해당 여부 불확실",2002,American Journal of Epidemiology,Neighborhood environment and loss of physical function in older adults: Evidence from the Alameda County Study,10.1093/aje/155.6.507
55,forward,"교통소음 감소와 activity disturbance·옥외환경 이용, 행태 측정 불확실",2004,Journal of the Acoustical Society of America,"Longitudinal surveys on effects of changes in road traffic noise - Annoyance, activity disturbances, and psycho-social well-being",10.1121/1.1639333
68,unclear,"주간 인구 추적·소음 노출 평가, 소음-행태 관계 불명확",2007,ROAD & TRANSPORT RESEARCH,Daytime population tracking for planning and pollution exposure assessment,
89,reverse,"국립공원 방문객 유발 소음·quiet zone, Park Science 동료심사 불확실",2009,Park Science,A program of research to support management of visitor-caused noise at Muir Woods National Monument,
94,forward,"교통경찰 소음 노출·행태 설문 언급, 행태 측정 불명확",2009,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,Effects of noise pollution on traffic policemen,
103,unclear,"국립공원 hiker GPS·소음 노출 모델링, 소음-행태 관계 불명확",2009,Park Science,Modeling and mapping hikers' exposure to transportation noise in Rocky Mountain National Park,
137,unclear,야간 하이킹 질적연구 — 소리 주제 포함되나 정보 불충분,2011,JOURNAL OF PARK AND RECREATION ADMINISTRATION,An Examination of the Guided Night Hiking Experience in Parks and Protected Areas,
186,reverse,주행행태가 도시 교통소음 형성 — 차량 내부 여부 불확실,2012,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Influence of vehicle driving parameters on the noise caused by passenger cars in urban traffic,10.1016/j.trd.2012.06.002
188,forward,근린 소음 부담과 자기보고 health behavior 포함,2012,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Multiple environmental burdens and neighborhood-related health of city residents,10.1016/j.jenvp.2012.05.002
194,reverse,운전행태별 차량 근접소음 측정 — 차량 내부 여부 불확실,2012,NOISE CONTROL ENGINEERING JOURNAL,Relating the near field noise of passenger cars with the driving behavior,10.3397/1.3682961
234,forward,도시소음 설문 — 일상생활·behavior 영향 자기보고 포함,2013,ARCHIVES OF ACOUSTICS,Urban Noise Annoyance Between 2001 and 2013-Study in a Romanian City,10.2478/aoa-2013-0024
240,forward,도시공원 음향 개입 실험 — 체류·행태 측정 여부 불확실,2014,JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,ACOUSTIC DESIGN ARTIFACTS AND METHODS FOR URBAN SOUNDSCAPES: A CASE STUDY ON THE QUALITATIVE DIMENSIONS OF SOUNDS,
251,unclear,공원 방문빈도·새소리 선호 예측변수 — 관계 방향 불확실,2014,URBAN FORESTRY & URBAN GREENING,"Elderly visitors of an urban park, health anxiety and individual awareness of nature experiences",10.1016/j.ufug.2014.05.006
268,both,soundscape 기대·지각 중심이나 활동·타인 행태 언급,2014,APPLIED ACOUSTICS,The effects of expectation on the perception of soundscapes,10.1016/j.apacoust.2014.03.016
301,unclear,가로 소음 노출평가에 보행·착석 시간 자기보고 포함,2015,ENVIRONMENTAL HEALTH,Street-level noise in an urban setting: assessment and contribution to personal exposure,10.1186/s12940-015-0006-y
