no,direction,reason,year,journal,title,doi
7,forward,sidewalk 소음·밀도가 보행속도·협조행동에 미친 효과,1978,Journal of Social Psychology,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo,10.1080/00224545.1978.9924035
14,forward,도로공사 소음이 가로에서 helping behavior에 미친 효과,1988,Journal of Environmental Psychology,Urban stress and helping behavior: Effects of environmental overload and noise on behavior,10.1016/s0272-4944(88)80035-5
53,forward,모의 횡단보도 음향신호·교통소음과 횡단 보행 정확도,2004,ERGONOMICS,Directional guidance from audible pedestrian signals for street crossing,10.1080/00140130410001712609
71,forward,도로소음·근린 녹지 가용성과 옥외공간 이용 증가,2007,LANDSCAPE AND URBAN PLANNING,Noise and well-being in urban residential environments:: The potential role of perceived availability to nearby green areas,10.1016/j.landurbplan.2007.03.003
80,reverse,도시 오픈스페이스 이용자 행태 요인이 sound level 평가에 미친 영향,2008,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Effects of social, demographical and behavioral factors on the sound level evaluation in urban open spaces",10.1121/1.2821955
104,reverse,도시 오픈스페이스 soundscape 평가에 behavioral factor 투입 ANN,2009,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Modeling subjective evaluation of soundscape quality in urban open spaces: An artificial neural network approach,10.1121/1.3183377
121,forward,항공기 소음 변화와 옥외 여가공간 이용 변화(패널),2010,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas,10.3390/ijerph7113890
123,reverse,도시 오픈스페이스 behavioural factor와 sound preference 평가,2010,APPLIED ACOUSTICS,Factors influencing the sound preference in urban open spaces,10.1016/j.apacoust.2010.02.005
271,forward,urban square에서 behaviour mapping + soundscape 분석,2014,International Journal of Interdisciplinary Social and Community Studies,Towards an evidence-based model for assessing urban squares as social places,10.18848/2324-7576/cgp/v09i01/53520
323,forward,옥외 공공공간 음악 조작과 정지·체류시간 관찰,2016,APPLIED SCIENCES-BASEL,An Experimental Study on the Influence of Soundscapes on People's Behaviour in an Open Public Space,10.3390/app6100276
341,both,옥외공간 sound-related 활동이 보행·체류 행태와 음환경 변화,2016,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of sound-related activities on human behaviours and acoustic comfort in urban open spaces,10.1016/j.scitotenv.2016.08.130
372,forward,재활정원 soundscape가 환자 정원 이용·행동에 영향,2016,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective,10.3390/ijerph13121229
379,both,Belem·Lisbon 공원 soundscape와 이용·활동 동시 조사,2016,NOISE MAPPING,Urban park soundscape in distinct sociocultural and geographical contexts,10.1515/noise-2016-0016
406,reverse,노천시장 군중밀도가 음환경·음향쾌적성 형성,2017,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of temporary open-air markets on the sound environment and acoustic perception based on the crowd density characteristics,10.1016/j.scitotenv.2017.06.017
435,both,테헤란 구시가 사운드스케이프와 일상 사회적 상호작용·공공공간 이용,2017,Sound Studies,"Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions in Udlajan, Tehran",10.1080/20551940.2018.1451221
461,forward,교통소음·새소리 청취가 실제 옥외 보행속도 변화,2018,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed,10.3390/ijerph15040752
469,forward,관광지 사운드스케이프 정서↔친환경 행동,2018,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,Exploring tourists' soundscape emotion and its impact on sustainable tourism development,10.1080/10941665.2018.1494614
480,reverse,보행상업가로 군중밀도·대화자수가 음환경 형성,2018,APPLIED SCIENCES-BASEL,Influence of Contextual Factors on Soundscape in Urban Open Spaces,10.3390/app8122524
