seq,no,seed,pool_size,sample_size
1,1263,20260917,1316,132
2,268,20260917,1316,132
3,636,20260917,1316,132
4,533,20260917,1316,132
5,1139,20260917,1316,132
6,485,20260917,1316,132
7,10,20260917,1316,132
8,293,20260917,1316,132
9,764,20260917,1316,132
10,1128,20260917,1316,132
11,673,20260917,1316,132
12,1115,20260917,1316,132
13,1066,20260917,1316,132
14,428,20260917,1316,132
15,438,20260917,1316,132
16,986,20260917,1316,132
17,812,20260917,1316,132
18,43,20260917,1316,132
19,766,20260917,1316,132
20,86,20260917,1316,132
21,310,20260917,1316,132
22,1183,20260917,1316,132
23,253,20260917,1316,132
24,597,20260917,1316,132
25,51,20260917,1316,132
26,1016,20260917,1316,132
27,3,20260917,1316,132
28,1013,20260917,1316,132
29,1278,20260917,1316,132
30,1081,20260917,1316,132
31,333,20260917,1316,132
32,1251,20260917,1316,132
33,705,20260917,1316,132
34,521,20260917,1316,132
35,451,20260917,1316,132
36,414,20260917,1316,132
37,851,20260917,1316,132
38,957,20260917,1316,132
39,411,20260917,1316,132
40,87,20260917,1316,132
41,785,20260917,1316,132
42,1029,20260917,1316,132
43,496,20260917,1316,132
44,441,20260917,1316,132
45,645,20260917,1316,132
46,1090,20260917,1316,132
47,628,20260917,1316,132
48,222,20260917,1316,132
49,1160,20260917,1316,132
50,1010,20260917,1316,132
51,79,20260917,1316,132
52,210,20260917,1316,132
53,125,20260917,1316,132
54,572,20260917,1316,132
55,62,20260917,1316,132
56,1126,20260917,1316,132
57,558,20260917,1316,132
58,202,20260917,1316,132
59,1145,20260917,1316,132
60,417,20260917,1316,132
61,904,20260917,1316,132
62,967,20260917,1316,132
63,269,20260917,1316,132
64,11,20260917,1316,132
65,617,20260917,1316,132
66,1002,20260917,1316,132
67,225,20260917,1316,132
68,163,20260917,1316,132
69,327,20260917,1316,132
70,782,20260917,1316,132
71,93,20260917,1316,132
72,256,20260917,1316,132
73,1025,20260917,1316,132
74,140,20260917,1316,132
75,366,20260917,1316,132
76,440,20260917,1316,132
77,208,20260917,1316,132
78,1207,20260917,1316,132
79,770,20260917,1316,132
80,1129,20260917,1316,132
81,925,20260917,1316,132
82,1175,20260917,1316,132
83,1061,20260917,1316,132
84,1134,20260917,1316,132
85,1158,20260917,1316,132
86,107,20260917,1316,132
87,804,20260917,1316,132
88,909,20260917,1316,132
89,290,20260917,1316,132
90,799,20260917,1316,132
91,566,20260917,1316,132
92,278,20260917,1316,132
93,960,20260917,1316,132
94,955,20260917,1316,132
95,297,20260917,1316,132
96,783,20260917,1316,132
97,589,20260917,1316,132
98,295,20260917,1316,132
99,1152,20260917,1316,132
100,741,20260917,1316,132
101,666,20260917,1316,132
102,57,20260917,1316,132
103,30,20260917,1316,132
104,631,20260917,1316,132
105,1178,20260917,1316,132
106,510,20260917,1316,132
107,571,20260917,1316,132
108,513,20260917,1316,132
109,629,20260917,1316,132
110,168,20260917,1316,132
111,209,20260917,1316,132
112,1200,20260917,1316,132
113,874,20260917,1316,132
114,116,20260917,1316,132
115,544,20260917,1316,132
116,1182,20260917,1316,132
117,1040,20260917,1316,132
118,1309,20260917,1316,132
119,1269,20260917,1316,132
120,364,20260917,1316,132
121,547,20260917,1316,132
122,1296,20260917,1316,132
123,646,20260917,1316,132
124,1099,20260917,1316,132
125,897,20260917,1316,132
126,593,20260917,1316,132
127,291,20260917,1316,132
128,795,20260917,1316,132
129,999,20260917,1316,132
130,1191,20260917,1316,132
131,481,20260917,1316,132
132,1225,20260917,1316,132
