no,sources,doi,year,journal,title,abstract
1,scopus,,1973,New Scientist,Noise laws don't protect the sensitive,"Until recently, it was thought that everyone reacted in much the same way to noise. However, there is evidence from both laboratory and field studies that this first order approximation is inadequate. Studies carried out at Salford University (U.K.) show there are very large differences between people in the way their annoyance grows with noise. A noise sensitive person notices noise at quite a low level (45 dB(A), typical of a quiet suburban street) while the noise insensitive person doesn't become aware of the noise until it is about 16 times louder (85 dB(A), the level of a busy city street). The first group consists of approximately one fifth of the population, the second group one third, and the rest are considered 'average'. It appears that the distribution of annoyance in the population is not normal but bi modal: there is evidence of two distinct groups with completely different behavior patterns when they are exposed to noise. The implications of the existence of a 'noise sensitive' group are discussed in this report. It is shown that because this group represents about one fifth of the population, their numbers are substantial and existing noise regulations provide little or no protection for them. Based upon an earlier study made at Heathrow airport in London, it has been estimated that in the vicinity of the proposed Maplin airport, at least 21,000 people will be seriously annoyed by aircraft noise, compared with the 500 predicted by planners on the Roskill Commission. Some proposals for the relief of 'noise sensitives' are briefly discussed in the concluding remarks of this report."
2,scopus,10.1002/eqe.4290020203,1973,Earthquake Engineering & Structural Dynamics,Structural response to random acoustic excitation,"The design of aerospace structures necessitates the study of their behaviour in intense acoustic environments. This is more so in recent times due to an increase in power of the vehicles. The present paper deals with an investigation of the response of structures such as flat, stiffened plates to such environments. A peaked type of power spectral density of excitation is assumed, which is more realistic and representative of actual random acoustic excitations than the conventionally assumed white noise type excitations, either ideal or band‐limited. The space correlation of the excitation field is assumed to be unity over the plate surface. Generalized harmonic analysis is used to obtain responses such as auto‐correlation functions and mean square values of both accelerations and stresses. To obtain the response quantities of stiffened plates the approximate method of analysis suggested by Lin12 is used. Copyright © 1973 John Wiley & Sons, Ltd"
3,scopus,10.1121/1.380804,1975,Journal of the Acoustical Society of America,Measurement of freeway noise and community response,"Personal interviews were conducted with 562 freeway-proximal residents and 134 residents in control neighborhoods. Five factor-analyzed scales were used to measure community response to freeway noise in terms of (1) subjective reactions and (2) behavioral interruptions due to noise. The social survey allowed for spontaneously mentioned and directly elicited responses. Noise exposure was measured by an Environmental Noise Classifier; one representative noise sample was taken for every residence, and L10, L50, L90, NPL, and TNI were computed. These noise measures correlated highly with each other, except TNI, and none of the measures demonstrated superiority over the others as a predictor of community response. Community response was analyzed as a function of noise level, and all response scales increased with increasing noise levels; for example, freeway noise was reported by 50% as the main cause of dissatisfaction, by 13% as main cause for complaints, by 25% as the reason for wanting to move, and by 43% as the reason for awakening at night. Noise levels correlated 0.99 with mean annoyance ratings for groups of residents within specified noise strata, and 0.31 for ratings based on individual annoyance scores. © 1975, Acoustical Society of America. All rights reserved."
4,wos,,1976,ACTA OTO-LARYNGOLOGICA,BEHAVIOR OF CNV DURING EXPOSURE TO URBAN TRAFFIC NOISE,
5,pubmed+scopus,10.3109/00016487609124919,1976,Acta Oto-Laryngologica,Behaviour of CNV during exposure to urban traffic noise,
6,scopus,10.14214/sf.a14795,1976,SILVA FENNICA,Tree stands in urban noise abatement,"The aim of the paper was to study the characteristics of tree stands suitable for urban noise control and their application in urban forestry. The results show: that excess noise attenuation caused by trees can be, under good conditions, 60% of the attenuation caused purely by geometric spreading when attenuation is expressed in energy units; that the total amount of needles or leaves is the most important factor, although the density and height of the stand also have rather high values in predicting the behavior of noise in a tree stand; that the noise level at any distance from the noise source can be predicted rather precisely, if the sound level of the noise source and the tree species composition, height and density of the tree stands between the noise source and the observation point are known; and that early successional stages of stand give better attenuation than mature stands. On the basis of these results the nomograms were developed with which the noise level at a certain point can be predicted when the tree stand characteristics, the distance from the noise source and the sound level of the noise source are known and vice versa. The goals of urban forestry are discussed based on different functions that urban forestism must fulfill."
7,scopus,10.1080/00224545.1978.9924035,1978,Journal of Social Psychology,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo,"Effects of three levels of environmental stimulation on pedestrian walking speed and cooperation were investigated in a sidewalk setting (N = 314 men and women). Three combinations of naturally occurring street noise and sidewalk density were employed in a naturalistic test of the urban sensory overload hypothesis. Findings revealed a significant linear relationship between stimulation level and cooperation, and significant effect of environmental stimulation on walking speed. Results are discussed in terms of potential adverse interactive effects of moderate stressors, and suggestions for naturalistic stress research, and applications for noise abatement legislation, are presented. © 1978 Taylor & Francis Group, LLC."
8,scopus,10.1121/1.381985,1978,Journal of the Acoustical Society of America,Nationwide urban noise survey,"Most current knowledge about community response to noise exposure is derived from studies of high-level transportation sources. A nationwide urban noise survey was undertaken to study effects associated with more moderate but far more common sorts of noise exposure. Over 2000 respondents at 24 sites in seven cities of varying noise exposure and population density were interviewed by telephone and in person about their reactions to everyday noises. A brief but comprehensive structured questionnaire was based on direct questioning about annoyance and related effects. Among the major findings of the survey were widespread annoyance and speech interference from exposure to urban noise and strong relationships between the extent of annoyance and exposure level, speech interference, and population density. © 1978, Acoustical Society of America. All rights reserved."
9,scopus,10.1250/ast.1.87,1980,Journal of the Acoustical Society of Japan (E),A new trial to estimate the noise propagation characteristics of a traffic noise system,"Generally speaking, a level fluctuation of road traffic noise is brought on by various causes. It is obvious that the ultimate causes are due to a variety of noise sources, i.e., uncertain behavior of individual cars, and to some effect of the noise propagation characteristics affected by reflections and/or absorptions owing to surrounding buildings and their topographical locations. By dividing the road into a suitable number of blocks, and paying close attention to the mean value of noise intensity in each block, the mean value can be proportional to the number of cars in the block. In this paper, on the basis of the additive property of sound energy, the unified method has been proposed to estimate the inherent characteristics of noise propagation in each block in the form of a synthetical evaluation with the number of cars for each car-type, also considering the entire background noise. We have confirmed the validity of our theoretical results, not only by means of digital simulation, but also by road traffic noise data experimentally observed near Hiroshima City. The experimental results clearly show a good agreement with the values recently reported by other official groups. © 1980, Acoustical Society of Japan. All rights reserved."
10,scopus+wos,10.1016/0143-1471(81)90030-1,1981,ENVIRONMENTAL POLLUTION SERIES A-ECOLOGICAL AND BIOLOGICAL,BEHAVIORAL-RESPONSES OF HERRING-GULLS LARUS-ARGENTATUS TO AIRCRAFT NOISE,"The behaviour of nesting and loafing herring gulls Larus argentatus was compared when the birds were exposed to supersonic transport, subsonic aircraft and normal colony noises at Jamaica Bay National Recreational Area. No effects of subsonic aircraft on nesting gulls were noted. However, when supersonic transports flew over, significantly more nesting gulls flew from their nests, and they engaged in more fights when they landed compared with the other conditions. Many eggs were broken during these fights, and subsequently eggs were eaten by intruders. At the end of the incubation period there were lower mean clutch sizes in dense sections (more potential for fights) of the colony compared with solitary nesting pairs of gulls. For loafing gulls, significantly more birds flushed when planes flew over compared with immediately before and after such plane noises. © 1981."
